city_name,latitude,longitude
Airdrie,51.30011,-114.03528
Athabasca,54.71687,-113.28537
Banff,51.17622,-115.56982
Barrhead,54.13345,-114.40211
Bassano,50.78342,-112.46854
Beaumont,53.35013,-113.41871
Beaverlodge,55.21664,-119.43605
Black Diamond,50.70011,-114.2353
Blackfalds,52.38342,-113.7853
Bon Accord,53.83345,-113.41872
Bonnyville,54.26684,-110.73505
Bow Island,49.86676,-111.36843
Brooks,50.58341,-111.88509
Calgary,51.05011,-114.08529
Calmar,53.26683,-113.81874
Camrose,53.01684,-112.83525
Canmore,51.08335,-115.35206
Cardston,49.19998,-113.3019
Carstairs,51.56681,-114.102
Chestermere,51.03341,-113.81867
Claresholm,50.03332,-113.58524
Coaldale,49.7167,-112.61854
Coalhurst,49.7464,-112.93246
Cochrane,51.18341,-114.46871
Cold Lake,54.46525,-110.18154
Crossfield,51.43341,-114.03528
Devon,53.36683,-113.73533
Diamond Valley,50.672,-114.233
Didsbury,51.66681,-114.13529
Drayton Valley,53.21682,-114.98544
Edmonton,53.55014,-113.46871
Edson,53.58345,-116.43559
Elk Point,53.90017,-110.9017
Fairview,56.06675,-118.38606
Falher,55.73339,-117.20262
Fort Macleod,49.71671,-113.41857
Fort McMurray,56.72676,-111.38103
Fort Saskatchewan,53.71684,-113.2187
Fox Creek,54.40007,-116.80238
Gibbons,53.83345,-113.33531
Grand Centre,54.41628,-110.21304
Grande Cache,53.88335,-119.13585
Grande Prairie,55.16667,-118.80271
Grimshaw,56.18339,-117.6027
Hanna,51.63343,-111.90181
Heritage Pointe,50.84213,-114.00493
High Level,58.51688,-117.13605
High Prairie,55.4334,-116.4858
High River,50.58341,-113.86867
Hinton,53.40009,-117.58567
Irricana,51.32372,-113.60475
Jasper Park Lodge,52.88633,-118.05625
Killam,52.78344,-111.85175
Lac La Biche,54.7669,-111.96861
Lacombe,52.46681,-113.7353
Lamont,53.76686,-112.80195
Larkspur,53.47942,-113.38142
Laurel,53.44667,-113.38197
Leduc,53.26682,-113.55201
Lethbridge,49.69999,-112.81856
Lloydminster,53.27237,-110.02256
Magrath,49.41668,-112.86856
Manning,56.91683,-117.61945
Mannville,53.33764,-111.1775
Maple Ridge,53.50172,-113.36274
Mayerthorpe,53.95015,-115.13547
Medicine Hat,50.03928,-110.67661
Mill Woods Town Centre,53.45639,-113.42751
Millet,53.10013,-113.4687
Morinville,53.80014,-113.65203
Nanton,50.35008,-113.76866
Okotoks,50.72885,-113.98281
Olds,51.78341,-114.10199
Peace River,56.23715,-117.29176
Penhold,52.13342,-113.8687
Picture Butte,49.8833,-112.78516
Pincher Creek,49.48328,-113.95195
Ponoka,52.6768,-113.58147
Provost,52.35014,-110.26828
Raymond,49.44998,-112.65185
Red Deer,52.26682,-113.802
Rideau Park,53.47899,-113.5047
Rimbey,52.6334,-114.23532
Rocky Mountain House,52.36683,-114.9188
Sexsmith,55.34998,-118.78602
Sherwood Park,53.51684,-113.3187
Silver Berry,53.45787,-113.3817
Slave Lake,55.28344,-114.76896
Smoky Lake,54.11687,-112.46863
Spirit River,55.78327,-118.83607
Springbrook,52.1792,-113.87981
Spruce Grove,53.53344,-113.91874
St. Albert,53.63344,-113.63533
Stettler,52.31683,-112.71861
Stony Plain,53.53343,-114.00205
Strathmore,51.05011,-113.38523
Sundre,51.8001,-114.63532
Swan Hills,54.71681,-115.40226
Sylvan Lake,52.311,-114.08375
Taber,49.78703,-112.14603
Tamarack,53.46441,-113.36235
Three Hills,51.70012,-113.26863
Tofield,53.36684,-112.66862
Two Hills,53.71686,-111.75181
Valleyview,55.06673,-117.28585
Vegreville,53.50015,-112.05182
Vermilion,53.35409,-110.85849
Viking,53.10014,-111.76844
Vulcan,50.40008,-113.25189
Wainwright,52.83482,-110.85342
Wembley,55.14995,-119.13602
Westlake,55.22228,-118.80415
Westlock,54.15016,-113.86876
Wetaskiwin,52.96683,-113.36869
Whitecourt,54.15015,-115.68548
Wild Rose,53.4708,-113.38119
