city_name,latitude,longitude
Abbotsford,49.05798,-122.25257
Agassiz,49.23298,-121.76926
Aldergrove,49.05801,-122.47087
Aldergrove East,49.05593,-122.42299
Anmore,49.31637,-122.85263
Arbutus Ridge,49.24966,-123.16934
Armstrong,50.44979,-119.20235
Ashcroft,50.72372,-121.28207
Barrière,51.18308,-120.1192
Bowen Island,49.3847,-123.33622
Burnaby,49.26636,-122.95263
Burns Lake,54.22972,-125.76084
Cache Creek,50.81011,-121.3246
Campbell River,50.01634,-125.24459
Castlegar,49.32317,-117.65831
Cedar,49.11633,-123.8527
Central Coast Regional,52.16638,-127.00323
Chase,50.8165,-119.68571
Chemainus,48.91633,-123.71937
Chetwynd,55.69988,-121.63627
Chilliwack,49.16638,-121.95257
Colwood,48.43293,-123.48591
Coombs,49.29963,-124.41946
Coquitlam,49.2846,-122.78217
Courtenay,49.68657,-124.9936
Cowichan Bay,48.73366,-123.61739
Cranbrook,49.49991,-115.76879
Creston,49.09987,-116.50211
Cumberland,49.61634,-125.03613
Dawson Creek,55.75984,-120.2403
Delta,49.14399,-122.9068
Denman Island,49.53294,-124.8195
Denman Island Trust Area,49.55189,-124.79881
Duck Lake,50.0088,-119.39672
Duncan,48.78293,-123.70266
East Wellington,49.17385,-124.01745
Elkford,50.05007,-114.8854
Ellison,49.93307,-119.36907
Enderby,50.5498,-119.15234
Fairwinds,49.27588,-124.12782
Fernie,49.49996,-115.06871
Fort Nelson,58.80533,-122.7002
Fort St. John,56.24988,-120.85292
Fraser Valley Regional,49.58299,-121.83587
French Creek,49.34123,-124.35541
Fruitvale,49.11654,-117.55222
Gibsons,49.39539,-123.50555
Golden,51.29995,-116.9689
Grand Forks,49.03309,-118.4356
Hanceville,51.91922,-123.04458
Hope,49.38299,-121.44144
Hornby Island,49.53448,-124.66923
Houston,54.39976,-126.67008
Invermere,50.51666,-116.03538
Kamloops,50.66648,-120.3192
Kelowna,49.88307,-119.48568
Kimberley,49.67071,-115.9776
Kitimat,54.05244,-128.65342
Ladner,49.08938,-123.08241
Ladysmith,48.99016,-123.81699
Lake Cowichan,48.82495,-124.05461
Langford,48.44963,-123.50261
Langley,49.10107,-122.65883
Lillooet,50.6856,-121.942
Lions Bay,49.45218,-123.2376
Logan Lake,50.49976,-120.80253
Lumby,50.24979,-118.96904
Mackenzie,55.33637,-123.09374
Maple Ridge,49.21939,-122.60193
Merritt,50.11225,-120.7942
Metchosin,48.38293,-123.53591
Metro Vancouver Regional,49.33296,-123.00264
Mission,49.13298,-122.30258
Nakusp,50.24987,-117.80226
Nanaimo,49.16638,-123.94003
Nelson,49.49985,-117.28553
New Westminster,49.20678,-122.91092
North Cowichan,48.84133,-123.68596
North Oyster/Yellow Point,49.04807,-123.83395
North Saanich,48.66634,-123.41933
North Vancouver,49.31636,-123.06934
Oak Bay,48.44964,-123.3026
Okanagan,50.36386,-119.34997
Okanagan Falls,49.35,-119.56667
Oliver,49.18306,-119.5524
Osoyoos,49.03306,-119.45237
Parksville,49.31947,-124.31575
Peace River Regional,56.6665,-122.75302
Peachland,49.76647,-119.73568
Pemberton,50.31641,-122.80273
Penticton,49.48062,-119.58584
Pitt Meadows,49.22119,-122.68965
Port Alberni,49.24133,-124.8028
Port Coquitlam,49.26637,-122.76932
Port McNeill,50.58716,-127.08053
Port Moody,49.28124,-122.82457
Powell River,49.83278,-124.52368
Prince George,53.9166,-122.75301
Prince Rupert,54.31507,-130.32098
Princeton,49.45802,-120.51076
Puntledge,49.66168,-125.05686
Quesnel,52.97842,-122.4931
Regional District of Alberni-Clayoquot,49.24962,-125.33615
Regional District of Central Okanagan,49.99978,-119.41908
Revelstoke,50.99712,-118.1953
Richmond,49.17003,-123.13683
Rossland,49.08313,-117.80224
Royston,49.64703,-124.9467
Salmo,49.19986,-117.2689
Salmon Arm,50.6998,-119.30237
Salt Spring Island,48.81852,-123.49061
Saltair,48.94963,-123.76939
Sechelt,49.47512,-123.75903
Sicamous,50.83312,-118.98565
Six Mile,48.45767,-123.46088
Smithers,54.78036,-127.17428
Sooke,48.37463,-123.72762
South Pender Harbour,49.62202,-124.02484
Sparwood,49.73332,-114.88532
Summerland,49.59977,-119.66911
Surrey,49.10635,-122.82509
Terrace,54.51634,-128.60345
Tofino,49.15314,-125.90744
Trail,49.09983,-117.70223
Tsawwassen,49.01667,-123.08333
Tumbler Ridge,55.13027,-120.99415
Ucluelet,48.94153,-125.54635
Vancouver,49.24966,-123.11934
Vanderhoof,54.01657,-124.01982
Vernon,50.26729,-119.27337
Victoria,48.4359,-123.35155
Walnut Grove,49.16473,-122.64042
Welcome Beach,49.47959,-123.89239
West End,49.28333,-123.13333
West Kelowna,49.8625,-119.58333
West Vancouver,49.36672,-123.16652
Whistler,50.11817,-122.95396
White Rock,49.01636,-122.8026
Williams Lake,52.14153,-122.14451
