city_name,latitude,longitude
Abitibi-Témiscamingue,48.10018,-77.7828
Acton Vale,45.65007,-72.56582
Adstock,46.05007,-71.08235
Albanel,48.88324,-72.44867
Alma,48.55009,-71.6491
Amos,48.56688,-78.11624
Amqui,48.46382,-67.43134
Ange-Gardien,45.35008,-72.93244
Asbestos,45.76678,-71.9324
Baie-Comeau,49.21679,-68.14894
Baie-D'Urfé,45.41397,-73.91586
Baie-Saint-Paul,47.44109,-70.49858
Barraute,48.43349,-77.63279
Bas-Saint-Laurent,48.0503,-68.02266
Beaconsfield,45.43341,-73.86586
Beauceville,46.21785,-70.77873
Beauharnois,45.31341,-73.8725
Beaupré,47.04428,-70.89529
Bécancour,46.34106,-72.43224
Bedford,45.11678,-72.98244
Beloeil,45.56839,-73.20568
Berthierville,46.08336,-73.18245
Blainville,45.66678,-73.88249
Bois-des-Filion,45.66678,-73.74918
Boisbriand,45.61678,-73.83249
Bonaventure,48.04573,-65.49259
Boucherville,45.59104,-73.43605
Breakeyville,46.68037,-71.22327
Bromont,45.31678,-72.64912
Brossard,45.45008,-73.46583
Brownsburg-Chatham,45.68342,-74.4159
Buckingham,45.58563,-75.4208
Cabano,47.68065,-68.8781
Cacouna,47.91657,-69.50054
Candiac,45.38338,-73.51587
Cantley,45.5668,-75.78265
Cap-Chat,49.10009,-66.68212
Cap-Santé,46.67159,-71.78812
Capitale-Nationale,47.376,-71.12337
Carignan,45.45008,-73.29916
Carleton,48.09838,-66.10036
Carleton-sur-Mer,48.10749,-66.128
Centre-du-Québec,46.01985,-71.98242
Chambly,45.45008,-73.28246
Chambord,48.43339,-72.06583
Chandler,48.34935,-64.67926
Chapais,49.78344,-74.84919
Charlemagne,45.71678,-73.48247
Château-Richer,46.96031,-71.03219
Châteauguay,45.38338,-73.74919
Chaudière-Appalaches,46.555,-70.8308
Chertsey,46.07109,-73.89095
Chibougamau,49.91684,-74.36586
Chute-aux-Outardes,49.11679,-68.39896
Coaticook,45.13339,-71.79907
Contrecoeur,45.85008,-73.23245
Cookshire,45.41536,-71.62962
Cookshire-Eaton,45.41675,-71.6324
Côte-Nord,50.86683,-65.81541
Côte-Saint-Luc,45.46536,-73.66585
Coteau-du-Lac,45.30008,-74.18253
Cowansville,45.20008,-72.74913
Crabtree,45.96677,-73.46586
Danville,45.78337,-72.0158
Daveluyville,46.20006,-72.13239
Delson,45.36678,-73.54917
Deux-Montagnes,45.53455,-73.90168
Disraeli,45.90007,-71.34907
Dolbeau-Mistassini,48.8786,-72.23142
Dollard-Des Ormeaux,45.49452,-73.82419
Donnacona,46.68042,-71.7239
Dorval,45.4473,-73.75335
Drummondville,45.88336,-72.48241
Dunham,45.13338,-72.79913
East Angus,45.48338,-71.66577
East Broughton,46.21358,-71.07674
Farnham,45.28338,-72.98244
Ferme-Neuve,46.70011,-75.44929
Fermont,52.78345,-67.08204
Forestville,48.73808,-69.08478
Fort-Coulonge,45.85011,-76.73272
Fossambault-sur-le-Lac,46.87662,-71.61541
Franklin,45.03338,-73.91591
Gaspé,48.83341,-64.48194
Gaspésie-Îles-de-la-Madeleine,48.87555,-65.4071
Gatineau,45.47723,-75.70164
Godefroy,51.75012,-68.08213
Granby,45.40008,-72.73243
Hampstead,45.48064,-73.66307
Hauterive,49.19572,-68.25813
Havre-Saint-Pierre,50.24342,-63.60264
Hérouxville,46.66617,-72.62512
Hudson,45.45008,-74.14922
Huntingdon,45.08339,-74.16593
Joliette,46.0164,-73.4236
Jonquière,48.41648,-71.24884
Kingsey Falls,45.85007,-72.0658
Kirkland,45.45008,-73.86586
L'Ancienne-Lorette,46.79392,-71.35191
L'Ange-Gardien,46.91976,-71.08253
L'Ascension-de-Notre-Seigneur,48.68339,-71.6658
L'Assomption,45.82318,-73.4294
L'Épiphanie,45.85008,-73.48246
L'Île-Perrot,45.38338,-73.9492
La Conception,46.15009,-74.69925
La Haute-Saint-Charles,46.89028,-71.37222
La Malbaie,47.654,-70.15268
La Minerve,46.25009,-74.93257
La Pocatière,47.36733,-70.03484
