city_name,latitude,longitude
Anbu,23.44895,116.68092
Baiyun,23.1606324,113.267895
Bao'an,22.5598573,113.8790404
Binhai,23.2524539,116.6853685
Boluo,23.3366924,114.3214778
Chancheng,23.0120197,113.1173438
Chao'an,23.4659435,116.6729801
Chaonan,23.2423708,116.434165
Chaoyang,23.268449,116.5969864
Chaozhou,23.656593,116.6204223
Chenghai,23.4694075,116.7515585
Chenghua,23.46132,116.77007
Chengqu,22.7817608,115.3599642
Chikan,21.2686886,110.3621143
Conghua,23.670764,113.6934958
Dabu,24.3505527,116.6902216
Daliang,22.84067,113.2503
Danshui,22.7984,114.46716
Dasha,23.11037,113.4418
Deqing,23.2868522,111.9695802
Dianbai,21.6855679,111.1614359
Dinghu,23.1618953,112.5625362
Dongbei,24.991957,112.295975
Dongbu,0,0
Dongguan,23.0183568,113.7452332
Donghai,22.94593,115.64204
Dongnan,24.233374,112.035975
Dongyuan,23.9661771,114.8428331
Doumen,22.2119876,113.2909793
Duanzhou,23.1018396,112.4594872
Ducheng,23.24212,111.5284
Encheng,22.18659,112.30424
Enping,22.2525211,112.2876964
Fengkai,23.521183,111.6979967
Fengshun,23.8972166,116.2476093
Fogang,23.8825802,113.5262764
Foshan,23.0239788,113.1159558
Foshan Shi,23.02264,112.96302
Futian,22.5243632,114.049894
Gaoming,22.9032867,112.8866883
Gaoyao,23.02432,112.44555
Gaoyao,23.0279783,112.452589
Gaozhou,21.93924,110.84607
Gaozhou,22.0461477,110.9644447
Guangming,22.7516872,113.9300061
Guangning,23.6348923,112.4317972
Guangzhou,23.1301964,113.2592945
Guangzhou Shi,23.37327,113.51219
Haifeng,23.0267537,115.3414869
Haimen,23.19346,116.61219
Haizhu,23.0859958,113.3119935
Haojiang,23.2851927,116.7218033
Heping,24.4400445,115.0082784
Hepo,23.43077,115.82991
Heshan,22.663757,112.8065463
Heyuan,23.746777,114.6954482
Huadu,23.4612392,113.2141965
Huaicheng,23.91952,112.17629
Huaiji,23.9228747,112.1616895
Huanggang,23.67704,116.99961
Huangpu,23.1829981,113.4748416
Huazhou,21.63333,110.58333
Huazhou,21.8302699,110.5300134
Huicheng,23.03845,116.28988
Huicheng,23.1509763,114.4895969
Huidong,23.1315213,115.0337206
Huilai,23.0325965,116.225746
Huiyang,22.8937884,114.4604579
Huizhou,23.1125153,114.4127007
Jiangcheng,21.7795872,111.8908375
Jianghai,22.5513033,113.1249948
Jiangmen,22.5816619,113.0761073
Jiaoling,24.6613582,116.1665092
Jiazi,22.87932,116.07318
Jiedong,23.5691604,116.4071625
Jieshi,22.81027,115.83058
Jiexi,23.4337991,115.8378454
Jieyang,23.553156,116.3680354
Jinping,23.3685403,116.6989182
Jinwan,22.1176731,113.3575196
Kaiping,22.3474568,112.5344174
Lechang,25.2546339,113.256682
Lecheng,25.128,113.35041
Leizhou,20.7610912,110.027989
Lianjiang,21.64673,110.28172
Lianjiang,21.6567913,110.148109
Liannan,24.577962,112.264317
Lianping,24.3761422,114.4885135
Lianshan,24.5730213,112.0885277
Lianzhou,24.9377373,112.4818454
Lianzhou,24.78186,112.3712
Licheng,23.29549,113.82465
Liwan,23.1100378,113.2136488
Longgang,22.7230369,114.2426561
Longhu,23.3740077,116.7120999
Longhua,22.6994309,114.0398603
Longmen,23.6671676,114.1328416
Lubu,23.17233,112.28298
Lufeng,22.9729159,115.7946525
Luhe,23.2812462,115.6153317
Lungchuan,0,0
Luocheng,22.76953,111.56882
Luoding,22.6925875,111.4851366
Luohu,22.5506391,114.1261389
Luoyang,23.16244,114.27342
Maba,24.68413,113.59839
Maoming,21.6656961,110.9209511
Maonan,21.6442556,110.9139827
Mazhang,21.1290003,110.2984428
Meijiang,24.3132062,116.1119122
Meixian,24.4146228,116.2342558
Meizhou,24.2918414,116.1171428
Nan'ao,23.4240181,117.0189654
Nanbu,22.7015606,114.3632037
Nanfeng,23.72695,111.79723
Nanhai,23.0314096,113.1375151
Nansha,22.8043913,113.5198188
Nanshan,22.5360142,113.9256222
Nanxiong,25.2127803,114.4450823
Panyu,22.9387253,113.3785422
Pengjiang,22.6466774,113.0513579
Pingshan,22.99376,114.71311
Pingshan,22.7113827,114.3461882
Pingyuan,24.660628,115.910067
Potou,21.2511115,110.4950611
Puning,23.31072,116.16869
Puning,23.3000453,116.160937
Qingcheng,23.6999044,113.0571911
Qingxin,23.8887571,112.8486756
Qingyuan,23.6832984,113.0505994
Qujiang,24.6457696,113.6103909
Raoping,23.6660886,116.9995994
Renhua,25.1493297,113.7958621
Rongcheng,23.5278913,116.3623373
Ruyuan,24.8188361,113.175057
Sanshui,23.15486,112.89161
Sanshui,23.1719966,112.8848344
Shantou,23.3563921,116.6775856
Shanwei,23.0123639,115.5099937
Shaoguan,24.8309489,113.8155263
Shaping,22.77019,112.95776
Shenzhen,22.5445741,114.0545429
Shilong,23.11444,113.84722
Shiqi,22.51682,113.38521
Shiqiao,22.9464,113.35769
Shiwan,23.00107,113.077
Shixing,24.94824,114.06572
Shixing,24.9563552,114.0566468
Shuixiang,21.6258278,111.9707428
Shunde,22.8545655,113.1865161
Sihui,23.4423808,112.6997273
