city_name,latitude,longitude
Babu,24.41667,111.51667
Babu,24.3320844,111.7803928
Baihe,22.1343,107.232
Baise,23.9053605,106.6148824
Baise,23.9,106.61667
Bama,24.1437442,107.2558901
Beihai,21.6740808,109.3729721
Beiliu,22.4427933,110.5314264
Binyang,23.1729928,108.9397846
Bobai,22.1173477,109.8853482
Cangwu,23.7626311,111.2443602
Cenxi,22.9212029,110.9898501
Changzhou,23.4885963,111.270561
Chengzhong,24.3625789,109.4591902
Chongzuo,22.4910206,107.328244
Dahua,23.982268,107.675469
Daxin,22.8393146,107.2107083
Dazhai,25.8098,110.15
Debao,23.3265574,106.6119199
Diecai,25.3169103,110.2972181
Donglan,24.5135608,107.3699251
Dongxing,21.6058074,108.0698483
Du'an,24.1621831,108.1521593
Fangcheng,21.7334318,108.0526815
Fangchenggang,21.8615,108.0271898
Fengshan,24.5475515,107.0407246
Fuchuan,24.821618,111.2693007
Fumian,22.4840102,110.0224107
Fusui,22.5172522,107.8085335
Gangbei,23.2325135,109.6497338
Gangkou,21.6494511,108.4510228
Gangnan,23.0776475,109.5958935
Gongcheng,24.9574263,110.8726488
Guanyang,25.4537387,111.042336
Guigang,23.3594346,110.0412939
Guilin,25.2779894,110.2910622
Guilin,25.28333,110.28333
Guiping,23.39336,110.07437
Guiping,23.2817204,110.0967393
Haicheng,21.4767126,109.1139792
Hechi,24.7169004,107.8857367
Hengzhou,22.773994,109.171195
Hepu,21.7471247,109.3491272
Heshan,23.7965273,108.9291517
Hezhou,24.3705146,111.3590955
Huanjiang,25.01784,108.2572278
Jiangnan,22.7848277,108.2691257
Jiangzhou,22.5571351,107.4596528
Jinchengjiang,24.6694836,107.8541551
Jingxi,23.1371896,106.4138603
Jinji,23.22806,110.82611
Jinxiu,24.0823577,110.1302124
Laibin,23.7532648,109.2169807
Leye,24.7886823,106.5570754
Liangqing,22.4935273,108.3320604
Lianzhou,21.66621,109.20116
Lingcheng,22.70722,110.34917
Lingchuan,25.3635724,110.4064175
Lingshan,22.3029951,109.1799818
Lingui,25.317961,110.0500475
Lingyun,24.349261,106.5606981
Lipu,24.4914297,110.3904799
Liubei,24.4252701,109.394302
Liucheng,24.6530412,109.2403085
Liujiang,24.1880418,109.2157342
Liunan,24.3633613,109.2349999
Liuzhou,25.0009993,109.3414252
Long'an,23.1038568,107.6946613
Longlin,24.7013802,105.3291021
Longsheng,25.8691106,110.0061021
Longxu,23.2385082,111.2635217
Longzhou,22.4360306,106.8719711
Luchuan,22.2597918,110.2637329
Luocheng,24.876009,108.7904579
Luorong,24.40583,109.60861
Luzhai,24.5296348,109.8454271
Mashan,23.711318,108.1740267
Mengshan,24.1216889,110.5657193
Nandan,25.1527458,107.4050876
Nandu,22.8525,110.82333
Nanning,22.8193063,108.3627211
Napo,23.2590121,105.8161913
Ningming,22.0232738,107.2828661
Pinggui,24.2657466,111.4439378
Pingguo,23.5576943,107.5643907
Pingle,24.5646129,110.8153125
Pingnan,23.54218,110.38946
Pingnan,23.5422149,110.3878006
Pingxiang,22.0840478,106.8323785
Pubei,22.2559843,109.4791784
Pumiao,22.75867,108.48111
Qinbei,22.1769151,108.5239778
Qingxiu,22.8093017,108.6559132
Qinnan,21.9009245,108.7695404
Qintang,23.1302575,109.448547
Qinzhou,21.9647835,108.620787
Qixing,25.265694,110.3398776
Quanzhou,25.9302709,111.0684754
Rong'an,25.161779,109.4979799
Rongshui,25.3241772,109.0220474
Rongxian,22.8621872,110.5271387
Sanjiang,25.7870306,109.6031323
Shanglin,23.512383,108.6408325
Shangsi,22.0729154,107.9049669
Tengxian,23.3367345,110.9822827
Tian'e,25.0059739,106.9972215
Tiandeng,23.083333,107.066667
Tiandong,23.5995314,107.1272702
Tianlin,24.2974811,106.2256982
Tianyang,23.7380833,106.9125394
Tieshangang,21.5622693,109.4793176
Wanxiu,23.5576937,111.3079827
Wuming,23.2716283,108.2496629
Wuxuan,23.5965829,109.6583496
Wuzhou,23.5715402,111.0139268
Xiangshan,25.2095621,110.2787873
Xiangzhou,24.0402845,109.7653662
Xilin,24.4949232,105.0931728
Xincheng,24.0000548,108.7509142
Xing'an,25.6144075,110.6682355
Xingbin,23.6628439,109.2161165
Xingning,22.9450369,108.5291283
Xingye,22.7936964,109.9310517
Xiufeng,25.2763793,110.2596116
Xixiangtang,22.9008465,108.1233208
Yangshuo,24.78081,110.48967
Yangshuo,24.8630286,110.4871831
Yanshan,25.1179329,110.3519147
Yashan,22.1975,109.94194
Yinhai,21.5109737,109.261189
Yizhou,24.503824,108.6074648
Yongfu,24.9835232,109.9783989
Yongning,22.5907161,108.6185632
Youjiang,23.9724514,106.5083299
Yufeng,24.3051585,109.435671
Yulin,22.4199189,110.2143149
"Yulin,",22.4199189,110.2143149
Yuzhou,22.6314632,110.1461735
Zhaoping,24.12362,110.96062
Zhongshan,24.5284691,111.2989334
Ziyuan,26.0457974,110.64816
