city_name,latitude,longitude
Anyang,35.9901282,114.5096506
Anyang Shi,36.13639,114.33667
Baofeng,33.911944,113.03
Beiguan,36.1588159,114.368984
Binhe,32.68833,112.8275
Biyang,32.8790165,113.4231836
Bo'ai,35.1704956,113.0668539
Changge,34.229524,113.848064
Changyuan,35.2000381,114.6629926
Chanhe Hui,34.6923547,112.4974097
Chengguan,35.45861,113.79778
Chengjiao,35.40495,114.06043
Chuanhui,33.6291287,114.7179394
Dancheng,33.6406649,115.1943501
Daokou,35.56389,114.50583
Dengfeng,34.4551772,113.0444455
Dengzhou,32.6880537,112.0818901
Dingcheng,32.12722,115.03944
Directly,0,0
Erqi,34.6852175,113.6095141
Fangcheng,33.2593594,113.0001059
Fanxian,35.8512482,115.4984522
Fengqiu,35.0432308,114.42108
Fengquan,35.3868374,113.9074861
Fugou,34.0560556,114.3890051
Gongyi,34.749075,113.0160586
Guancheng Hui,34.6956779,113.7488755
Guangshan,31.936953,114.821662
Gulou,34.7907681,114.3466204
Gushi,32.1711564,115.6488813
Hancheng,32.51861,112.35222
Hebi,35.7494986,114.2912899
Heshan,35.9535538,114.1520684
Hongqi,35.2855387,113.969442
Huaibin,32.448706,115.321893
Huaidian,33.43333,115.03333
Huaiyang,33.7330494,114.8842326
Hualong,35.7776658,115.0683893
Huangchuan,32.1175679,115.1511815
Huaxian,35.4802464,114.6741432
Huazhou,32.68222,112.08194
Hubin,34.7635284,111.2647573
Huichang,34.90376,112.78426
Huiji,34.889277,113.614013
Huixian,35.4625141,113.7976228
Huojia,35.258,113.6433269
Jian'an,34.124682,113.8168859
Jianshe,34.2175,113.76889
Jianxi,34.6589228,112.3893731
Jiaozuo,35.1375,113.143889
Jiaxian,34.024444,113.196667
Jiefang,35.2347332,113.2117373
Jinshui,34.8016429,113.654504
Jishui,33.73333,115.4
Jiyuan,35.09,112.58
Jiyuan,35.0945453,112.5810521
Kaifeng,34.604167,114.497222
Kaiyuan,36.06813,113.82209
Lankao,34.8775,114.965833
Laocheng,34.7118888,112.4440091
