city_name,latitude,longitude
Central and Western,22.28666,114.15497
Eastern,22.28411,114.22414
Islands,22.26114,113.94608
Kowloon City,22.3282,114.19155
Kwai Tsing,22.3634303,114.1229825
Kwun Tong,22.31326,114.22581
North,22.49471,114.13812
Sai Kung,21.6730519,108.3954313
Sha Tin,22.38715,114.19534
Sham Shui Po,22.2357383,114.1698162
Southern,22.24725,114.15884
Tai Po,22.45085,114.16422
Tsuen Wan,22.36281,114.12907
Tuen Mun,22.39163,113.9770885
Wan Chai,22.264499,114.1898216
Wong Tai Sin,22.33353,114.19686
Yau Tsim Mong,22.32138,114.1726
Yuen Long,22.4487051,114.0958704
