city_name,latitude,longitude
Aba,31.9015694,102.2229237
Anju,30.3527871,105.458964
Anyue,30.0039025,105.399258
Anzhou,31.5799722,104.3816734
Baiyu,31.0900374,99.3100696
Baoxing,30.5447631,102.7220504
Barkam,31.90059,102.22092
Batang,29.8784367,99.2335686
Bazhong,32.040248,107.062301
Bazhou,31.8157311,106.8749986
Beichuan,31.9719109,104.2934626
Butuo,27.7122852,102.8090723
Cangxi,31.935409,106.1624975
Changchi,32.16377,106.65814
Changning,28.5095035,104.9181454
Chaotian,32.6622256,105.9780542
Chengdu,30.659867,104.063315
Chenghua,30.6624173,104.099053
Chonglong,29.78062,104.85224
Chongzhou,30.6256088,103.6722448
Chuanshan,30.5147192,105.5898768
Cuiping,28.8812062,104.6666615
Da'an,29.3664297,104.7711037
Dachuan,31.1163078,107.3663078
Dadukou,26.5479,101.70539
Danba,30.9879233,101.7957369
Danleng,30.0349673,103.4078125
Daocheng,28.8743067,100.2327419
Daofu,30.9248944,101.1574419
Dayi,30.5901965,103.5212874
Daying,30.5973293,105.2335873
Dazhou,31.345115,107.650683
Dazhu,30.6550158,107.2787726
Dechang,27.3432343,102.1725822
Dege,32.0635691,99.014337
Derong,28.7340833,99.3440046
Deyang,31.1244028,104.39013
Dongpo,30.0581261,103.7237007
Dongqu,0,0
Dongxi,32.06577,106.24843
Dongxing,29.6599766,105.1921807
Dujiangyan,30.9965254,103.6142723
Ebian,29.0534445,103.1804462
Emeishan,29.5226655,103.3368637
Enyang,31.7100611,106.5893548
Fangting,31.12766,104.16649
Fubao,28.76905,106.07667
Fucheng,31.4100672,104.6954637
Fushun,29.1223198,105.0434604
Ganluo,28.9497546,102.8048954
Ganzi,30.0521496,101.9609839
Gaoping,30.77576,106.10294
Gaoping,30.7956272,106.2581565
Gaoxian,28.4698997,104.5747362
Garzê,30.0521496,101.9609839
Gongjing,29.3042944,104.5967479
Gongxian,28.2012751,104.7653553
Guang'an,30.4593051,106.6286646
Guang’an,30.47413,106.63696
Guanghan,30.9818013,104.2725546
Guangyuan,32.2685578,105.8395358
Gulin,27.9671596,105.9306192
Hanyuan,29.4363666,102.6407836
Heishui,32.1905378,103.084848
Hejiang,28.8058049,105.9049929
Hongya,29.6963538,103.1829565
Hongyuan,32.776473,102.652604
Huaying,30.3323347,106.7572484
Huidong,26.6384386,102.5768454
Huili,26.6600172,102.2438732
Jiajiang,29.7761215,103.5614573
Jialing,30.7066676,105.9439904
Jiancheng,30.39097,104.54912
Jiang'an,28.6901882,105.1061681
Jiange,31.90904,105.5017076
Jiangyang,28.8540711,105.418453
Jiangyou,31.76667,104.71667
Jiangyou,31.9525495,104.9347205
Jiannan,31.34355,104.19588
Jianyang,30.3915544,104.5532107
Jinchuan,31.5365939,101.8098326
Jingyan,29.6260234,104.0570648
Jingyang,31.1404211,104.3922358
Jinjiang,30.6013439,104.1143806
Jinkouhe,29.2815277,103.0719482
Jinniu,30.6936809,104.0489573
Jintang,30.7350928,104.6158195
Jinyang,27.6992197,103.2492812
Jiulong,28.8924516,101.6343179
Jiuzhaigou,33.3071597,103.9325993
Junlian,28.0428701,104.6085055
Kaijiang,31.0461763,107.8897693
Kangding,30.00222,101.9569
Kangding,30.0002558,101.9545581
Langzhong,31.55037,105.99381
Langzhong,31.5899565,106.0812814
Leibo,28.2785426,103.4732564
Leshan,29.2233495,103.5966083
Lezhi,30.3121951,105.0267469
Liangshan,27.8849814,102.2657395
Linqiong,30.41587,103.46089
Linshui,30.252604,106.982041
Litang,29.8454263,100.277728
Lixian,31.588027,103.021044
Lizhou,32.4322074,105.7734708
Longchang,29.3665565,105.2584289
Longmatan,28.9703018,105.4495236
Longquanyi,30.5937038,104.3084901
Luding,29.7629836,102.1419166
Luhuo,31.4932375,100.736197
Luocheng,30.98021,104.28081
Luojiang,31.30704,104.5035132
Lushan,30.425991,103.0097902
Luxian,29.1526216,105.487706
Luzhou,28.5297899,105.5382725
Ma'erkang,32.1016882,102.0090521
Mabian,28.8032373,103.5076845
