city_name,latitude,longitude
Bangjun,39.98839,117.2685
Baodi,39.5910334,117.0970628
Beicang,39.23007,117.11892
Beichen,39.2547896,117.009098
Beihuaidian,39.2622,117.57485
Beilizigu,39.49138889,117.465
Biaokou,39.3295,117.56914
Binhai New Area,39.00333333,117.71083333
Caijiapu,39.17305556,117.81055556
Caodian,39.61194444,117.47166667
Chabaihu,39.46555556,117.14833333
Changtun,39.44333333,117.07055556
Chengtougu,39.14,117.77888889
Chitu,39.20333333,117.40277778
Cuijiamatou,39.07472222,117.30055556
Dadunqiu,39.40611111,117.03305556
Dakoutun,39.58555556,117.23638889
Dashentang,39.21722222,117.9525
Dawangtai,39.275,117.485
Daxinzhuang,39.50361111,117.68611111
Dazhongzhuang,39.68083333,117.56416667
Dongditou,39.26638889,117.37277778
Dongli,39.1222353,117.2364031
Erwangzhuang,39.39166667,117.35388889
Fengtai (Ninghe),39.55805556,117.74916667
Gaojingzhuang,39.41611111,117.63
Hanjiashu,39.1875,117.07305556
Hebei,39.1618441,117.1731405
Hebeitun,39.57472222,117.11333333
Hedong,39.1213142,117.2162206
Heping,39.1190613,117.1802803
Hexi,39.0803492,117.1945855
Hexiwu,39.62249,116.95398
Hongqiao,39.1665992,117.1194505
Huangcaotuo,39.17944444,117.32166667
Huantuo,39.22638889,117.32388889
Huogezhuang,39.74388889,117.3675
Jiangwakou,39.5225,117.7025
Jinghai,38.8321717,116.6537573
Jinnan,38.9606109,117.2310981
Jizhou,40.0044091,117.1370582
Lianzhuang,39.41,117.75638889
Lintingkou,39.63027778,117.50027778
Liujiading,39.96305556,117.19111111
Liukuaizhuang,39.24777778,117.33944444
Liuzikou,39.87027778,117.34666667
Luotuofangzi,39.08361111,117.37694444
Meichang,39.36611111,117.18055556
Mengquan,39.82527778,117.47666667
Nankai,39.1065243,117.1115855
Ninghe,39.3854456,117.2986627
Qingguang,39.19668,117.05475
Sangzi,39.90853,117.16535
Shimianzhuang,39.418,117.1569
Sigaozhuang,39.46713,117.25554
Wangqinzhuang,39.22942,117.08968
Wuqing,39.4123853,116.7324226
Xiawuqi,39.61551,117.05523
Xiditou,39.2532,117.34709
Xinkaikou,39.67996,117.18877
Xiqing,39.0000358,116.9487531
Xitazhuang,39.93306,117.21083
Yangjinzhuang,39.86645,117.42592
Yangliuqing,39.1274,117.00885
Yinliu,39.98349,117.39904
Yixingfu,39.19917,117.21139
Youguzhuang,39.90802,117.24576
Yuguzhuang,39.6429,117.3647
Zaojiacheng,39.28174,117.42516
Zhangjiawo,39.05675,117.03624
Zhaoguli,39.16673,117.24191
