city_name,latitude,longitude
Anning,24.8377491,102.4026832
Baoshan,25.1147115,99.1591622
Binchuan,25.8985007,100.6187337
Cangyuan,23.1504488,99.2485069
Changning,24.8256972,99.6104198
Chenggong,24.8885797,102.8207599
Chengjiang,24.6746076,102.914471
Chuxiong,25.4320355,101.7047854
Daguan,27.8985811,103.9230603
Dali,25.6074778,100.2651597
Dali,25.68548,100.13104
Dayao,25.9651837,101.2150727
Dehong,24.4363819,98.5850386
Dêqên,27.82234,99.7017831
Deqin,28.4752009,98.9177313
Dongchuan,26.086128,103.1854548
Eryuan,26.1173022,99.9621817
Eshan,24.1722549,102.401765
Fengqing,24.5972728,99.9085952
Fugong,27.0054277,98.8686479
Fumin,25.3685209,102.5891954
Funing,23.704984,105.7751754
Fuyuan,25.5103916,104.3320257
Gejiu,23.36085,103.15372
Gejiu,23.3618738,103.1577391
Gengma,23.6411915,99.4836112
Gongshan,27.7443567,98.6672235
Guandu,25.0382533,102.8534629
Guangnan,24.0479436,105.0519035
Gucheng,26.8806477,100.2245593
Haikou,24.77985,102.57548
Hekou,22.7405358,103.8243528
Heqing,26.5622008,100.1750808
Honghe,23.3634018,103.3716107
Hongta,24.3117969,102.4974241
Huaning,24.2640422,103.0180631
Huaping,26.6318811,101.2628982
Huize,26.4473664,103.4383826
Jianchuan,26.418636,99.7403647
Jiangcheng,22.5868926,101.8615883
Jiangchuan,24.320726,102.7544429
Jianshui,23.6850155,102.9050114
Jingdong,24.4521201,100.8378793
Jinggu,23.5020342,100.7110063
Jinghong,21.99102,100.73409
Jinghong,22.0147814,100.7983916
Jinning,24.6724698,102.5941077
Jinping,22.757772,103.162832
Kaihua,23.3695,104.27721
Kaiyuan,23.69767,103.30372
Kaiyuan,23.7106875,103.378104
Kunming,25.0363006,102.7086139
Lancang,22.6720893,99.9742497
Lanping,26.6353415,99.2910541
Lianghe,24.750656,98.3030941
Lianran,24.92271,102.48496
Lijiang,26.8595868,100.2249797
Lincang,23.88848,100.0879344
Linxiang,23.88848,100.0879344
Longchuan,24.3411057,97.9457869
Longling,24.5089408,98.8558545
Longquan,24.67193,102.1613
Longyang,25.1241686,99.1645127
Lüchun,22.8699749,102.2493372
Ludian,27.1906108,103.5538604
Lufeng,25.1524346,102.0772106
Luliang,25.0313559,103.7270898
Luoping,24.8887552,104.305345
Luquan,25.5535459,102.4693459
Lushui,25.8255921,98.8573411
Luxi,24.4369028,98.5886667
Mabai,23.01279,104.45081
Maguan,22.9798261,104.2514343
Majie,25.0319,102.638
Malipo,23.128693,104.7001682
Malong,25.3813855,103.5219985
Mangshi,24.4369028,98.5886667
Menghai,21.9598828,100.4511886
Mengla,21.6551382,101.4786177
Menglian,22.2972278,99.4961708
Mengzi,23.3970868,103.3622458
Midu,25.1516719,100.6142132
Mile,24.2400119,103.3984977
Miyang,24.40417,103.44278
Mojiang,23.346152,101.5043913
Mouding,25.4104992,101.5867337
Nanhua,25.1163324,100.9929709
Nanjian,24.8879153,100.4122858
Ning'er,23.0975051,101.2015402
Ninglang,27.2819067,100.8474839
Nujiang,25.8211184,98.8571798
Panlong,25.266802,102.8273572
Pingbian,23.1034763,103.7981155
Pu'er,23.2948942,100.8784458
Qiaojia,27.0186922,103.1186512
Qilin,25.393333,103.864816
Qiubei,24.0494878,104.1752252
Qujing,25.719931,103.986131
Ruili,24.0355422,97.7796971
Shangri-La,27.82511,99.70779
Shidian,24.7292692,99.1868842
Shilin,24.81878,103.33237
Shilin,24.7611768,103.4269371
Shiping,23.7076697,102.4942389
Shizong,24.6818201,104.138081
Shuangbai,24.52896,101.6326471
Shuangjiang,23.4785482,99.8973504
Shuifu,28.5357114,104.1979754
Simao,23.2948942,100.8784458
Songming,25.2969534,103.0842962
Suijiang,28.5312429,104.0303128
Tengchong,25.1725265,98.5168272
Tonghai,24.1079585,102.7189249
Weishan,25.2542139,100.1667687
Weixi,27.5065449,99.1828087
Weixin,27.8473674,105.0410075
Wenlan,23.36002,103.43684
Wenshan,23.399102,104.2172181
Wenshan City,23.36306,104.25047
Wuding,25.728264,102.1770338
Wuhua,25.1366309,102.6741959
Xianggelila,27.8717021,99.8365499
Xiangyun,25.4868518,100.5490691
Xichou,23.3755141,104.6808592
Ximeng,22.7034758,99.5140021
Xinping,24.0110202,101.797838
Xishan,25.0411094,102.6649565
Xishuangbanna,22.0116128,100.7960029
Xuanwei,26.2311315,104.1000294
Xundian,25.654008,103.1349084
Yangbi,25.5519957,99.8955936
Yanjin,28.1378247,104.1443833
Yanshan,23.6833729,104.2308989
Yao'an,25.5074574,101.2401379
Yiliang,27.6406039,104.226149
Yimen,24.675563,102.098413
Yingjiang,24.8677811,97.945787
Yongde,24.07721,99.4224286
Yongping,25.3802622,99.6130491
Yongren,26.1229353,101.5812755
Yongshan,27.9943196,103.6554287
Yongsheng,26.4586986,100.7546467
Yuanjiang,23.5991148,101.9947641
Yuanmou,25.7075309,101.8732059
Yuanyang,23.0815324,102.8323996
Yulong,26.8265328,100.2350414
Yunlong,25.8883248,99.3690571
Yunxian,24.3526033,100.2996622
Yuxi,24.3511487,102.527044
Zhanyi,25.7788076,103.8506995
Zhaotong,27.3417508,103.7146923
Zhaoyang,27.3236062,103.7039262
Zhenkang,23.8736857,99.0200181
Zhenxiong,27.5831296,104.8371054
Zhenyuan,23.9298788,100.9375874
Zhongshu,24.51667,103.76667
