city_name,latitude,longitude
Addanki,15.81061,79.97338
Adoni,15.62788,77.27495
Akasahebpet,17.50455,82.56597
Akividu,16.58225,81.38112
Akkarampalle,13.65,79.42
Amalapuram,16.57868,82.00609
Amudalavalasa,18.41025,83.90295
Anakapalle,17.69134,83.00395
Anantapur,14.55,77.41667
Atmakur,15.88109,78.58704
Attili,16.7,81.6
Avanigadda,16.02148,80.91808
Badvel,14.7451,79.06288
Banganapalle,15.31771,78.22669
Bapatla,15.90422,80.46743
Betamcherla,15.45144,78.14797
Bhattiprolu,16.1026,80.78074
Bhimavaram,16.54078,81.52322
Bhimunipatnam,17.89017,83.45203
Bobbili,18.57366,83.35925
Challapalle,16.11756,80.93139
Chemmumiahpet,15.89794,79.32129
Chilakalurupet,16.08987,80.16705
Chinnachowk,14.47516,78.8354
Chipurupalle,18.31142,83.56846
Chirala,15.82385,80.35219
Chittoor,13.41667,79
Chodavaram,17.82884,82.93526
Cuddapah,14.41667,78.75
Cumbum,15.58171,79.11059
Darsi,15.76978,79.67939
Dharmavaram,14.41435,77.72035
Dhone,15.3952,77.8715
Diguvametta,15.39507,78.8293
East Godavari,17.83333,81.83333
Elamanchili,17.54907,82.85749
Ellore,16.71311,81.10437
Emmiganur,15.77203,77.48345
Erraguntla,14.63853,78.53974
Etikoppaka,17.5,82.73333
Gajuwaka,17.7,83.21667
Ganguvada,18.66667,84.11667
Gannavaram,16.54092,80.80213
Giddalur,15.37439,78.92609
Gokavaram,17.25823,81.84985
Gorantla,13.98411,77.77224
GovindapuramChilakaluripetGuntur,16.15477,80.10279
Gudivada,16.43547,80.99555
Gudlavalleru,16.35,81.05
Gudur,14.15093,79.8521
Guntakal Junction,15.17112,77.36244
Guntur,16.29974,80.45729
Hindupur,13.82807,77.49143
Ichchapuram,19.11393,84.68721
Jaggayyapeta,16.8938,80.09807
Jammalamadugu,14.84677,78.38314
Kadiri,14.11168,78.15982
Kaikalur,16.55154,81.214
Kakinada,16.96036,82.23809
Kalyandurg,14.54519,77.10552
Kamalapuram,14.5983,78.66948
Kandukur,15.21542,79.9039
Kanigiri,15.40555,79.50694
Kankipadu,16.4353,80.76715
Kanuru,16.28584,81.25464
Kavali,14.9163,79.99449
Kolanukonda,16.45392,80.61046
Kondapalle,16.61989,80.54244
Korukollu,16.5,81.25
Kosigi,15.8551,77.24463
Kovvur,17.0162,81.72934
Krishna,16.66667,81
Kuppam,12.74931,78.34189
Kurnool,15.58333,78.33333
Macherla,16.47635,79.43533
Machilipatnam,16.18747,81.13888
Madanapalle,13.5503,78.50288
Madugula,17.91589,82.81578
Mandapeta,16.86254,81.92921
Mandasa,18.8683,84.46296
Mangalagiri,16.43083,80.56815
Markapur,15.73534,79.26848
Nagari,13.32139,79.58557
Nagireddipalli,14.27005,79.10131
Nandigama,16.7717,80.28596
Nandikotkur,15.85668,78.26569
Nandyal,15.47799,78.4836
Narasannapeta,18.41428,84.04463
Narasapur,16.43425,81.69845
Narasaraopet,16.23488,80.04927
Narasingapuram,13.60759,79.31652
Narayanavanam,13.42565,79.58881
Narsipatnam,17.66709,82.61245
Nayudupet,13.90742,79.89465
Nellore,14.08333,79.58333
Nidadavole,16.90572,81.67222
Nuzvid,16.78854,80.84593
Ongole,15.50357,80.04454
Pakala,13.44903,79.11493
Palakollu,16.5167,81.73
Palasa,18.77257,84.41012
Palkonda,18.60374,83.75568
Pallevada,16.5779,81.29463
Palmaner,13.2,78.74725
Parlakimidi,18.78113,84.08836
Parvatipuram,18.78392,83.42569
Pavuluru,15.85292,80.16468
Pedana,16.25582,81.14378
pedda nakkalapalem,15.8668,80.16202
Peddapuram,17.07701,82.13836
Penugonda,16.65363,81.7455
Penukonda,14.08286,77.59473
Phirangipuram,16.29078,80.26233
Pippara,16.71667,81.55
Pithapuram,17.1168,82.25284
Polavaram,17.24754,81.64372
Ponnur,16.07114,80.54944
Ponnuru,16.06547,80.55203
Prakasam,15.5,79.5
Proddatur,14.7502,78.54813
Pulivendla,14.42139,78.22502
