city_name,latitude,longitude
Along,28.16951,94.8006
Anjaw,28.06549,96.82878
Basar,27.99008,94.69451
Bomdila,27.26475,92.42472
Changlang,27.36265,96.34518
Dibang Valley,28.7,95.7
East Kameng,27.3,93.05
East Siang,28.12379,95.16339
Hayuliang,28.07301,96.54305
Itanagar,27.08694,93.60987
Khonsa,27.01667,95.56667
Kurung Kumey,27.99983,93.3924
Lohit,27.84012,96.19521
Lower Dibang Valley,28.37258,95.8804
Lower Subansiri,27.62554,93.93908
Margherita,27.28482,95.66796
Naharlagun,27.10467,93.69518
Pasighat,28.06631,95.32678
Tawang,27.57417,91.92437
Tezu,27.91256,96.12882
Tirap,27.01917,95.51788
Upper Siang,28.83355,94.91806
Upper Subansiri,28.3,94
West Kameng,27.4,92.35
West Siang,28.4,94.55
Ziro,27.59497,93.83854
