city_name,latitude,longitude
Akaltara,22.02463,82.42641
Ambagarh Chauki,20.77644,80.74608
Ambikapur,23.11892,83.19537
Arang,21.19639,81.96912
Baikunthpur,23.26206,82.56051
Balod,20.73081,81.20578
Baloda,22.1389,82.48171
Baloda Bazar,21.65678,82.16062
Basna,21.27885,82.8267
Bastar,19.26794,81.73828
Bemetara,21.71556,81.53423
Bhanpuri,21.0919,80.93218
Bhatapara,21.735,81.94711
Bhatgaon,21.15,81.7
Bhilai,21.20919,81.4285
Bijapur,18.84322,80.7761
Bilaspur,22.38333,82.13333
Champa,22.03532,82.64234
Chhuikhadan,21.52316,80.99788
Dantewada,18.899848,81.3386752
Deori,21.45,82.61667
Dhamtari,20.70718,81.54874
Dongargaon,20.97172,80.85077
Dongargarh,21.18893,80.75459
Durg,21.15,81.4
Gandai,21.66667,81.10013
Gariaband,20.63323,82.06221
Gaurela,22.75449,81.90107
Gharghoda,22.17427,83.3517
Gidam,18.97431,81.39894
Jagdalpur,19.08136,82.02131
Janjgir,22.00922,82.5778
Janjgir-Champa,21.9,82.7
Jashpur,22.78495,83.84573
Jashpurnagar,22.88783,84.13864
Junagarh,19.85993,82.93385
Kabeerdham,22.1,81.2
Kanker,20.27193,81.49177
Katghora,22.50247,82.54279
Kawardha,22.00853,81.23148
Khairagarh,21.41859,80.97942
Khamharia,20.976,82.25116
Kharod,21.7442,82.5788
Kharsia,21.98953,83.10476
Kirandul,18.63649,81.25827
Kondagaon,19.59083,81.664
Korba,22.5,82.6
Koria,23.48326,82.15037
Kota,22.29507,82.02366
Kotaparh,19.14256,82.32536
Kumhari,21.26667,81.51667
Kurud,20.83073,81.72212
Lormi,22.27434,81.70181
Mahasamund,21.2,82.5
Mungeli,22.06566,81.68543
Narayanpur,19.60426,81.08119
Narharpur,20.44892,81.62004
Pandaria,22.22495,81.40994
Pandatarai,22.18714,81.32815
Pasan,22.84412,82.19823
Patan,21.03333,81.53333
Pathalgaon,22.55656,83.46355
Pendra,22.77548,81.95968
Pithora,21.25021,82.51707
Raigarh,22.08582,83.30603
Raipur,21.25621,81.69022
Raj Nandgaon,21.16667,81
Ramanuj Ganj,23.80637,83.69981
Ratanpur,22.2866,82.16823
Sakti,22.02662,82.96091
Saraipali,21.3153,83.00629
Sarangarh,21.58614,83.0785
Seorinarayan,21.72055,82.59344
Simga,21.6281,81.70376
Surguja,22.89624,83.09631
Takhatpur,22.12915,81.86959
Umarkot,19.66529,82.20629
Uttar Bastar Kanker,20.2,81.1
