city_name,latitude,longitude
Arki,31.15196,76.96675
Baddi,30.95783,76.79136
Banjar,31.639,77.34055
Bilaspur,31.33027,76.75663
Chamba,32.57147,76.10229
Chaupal,30.94647,77.5884
Chowari,32.4319,76.012
Chuari Khas,32.43058,76.01428
Dagshai,30.88431,77.05228
Dalhousie,32.55219,75.94663
Daulatpur,31.78871,75.99154
Dera Gopipur,31.87919,76.21871
Dharamsala,32.22006,76.32013
Gagret,31.65846,76.06144
Ghumarwin,31.44166,76.71509
Hamirpur,31.75,76.5
Jawala Mukhi,31.87456,76.32013
Jogindarnagar,31.98727,76.78906
Jubbal,31.10923,77.65085
Jutogh,31.1,77.11667
Kalka,30.83982,76.94065
Kangar,32.09135,76.26267
Kangra,32.16667,76.25
Kasauli,30.89856,76.96587
Kinnaur,31.58333,78.41667
Kotkhai,31.11728,77.53936
Kotla,32.25,76.03333
Kulu,32,77.25
Kyelang,32.5717,77.02448
Lahul and Spiti,32.5,77.83333
Manali,32.2574,77.17481
Mandi,31.71194,76.93273
Nadaun,31.78303,76.3431
Nagar,32.13808,77.17393
Nagrota,32.0571,76.09139
Nahan,30.56029,77.29426
Nalagarh,31.04168,76.72285
Palampur,32.11453,76.55681
Pandoh,31.66902,77.05359
Paonta Sahib,30.43666,77.62462
Parwanoo,30.83716,76.96143
Rajgarh,30.85142,77.30066
Rampur,31.44943,77.63087
Rohru,31.20269,77.75484
Sabathu,30.97494,76.99137
Santokhgarh,31.35205,76.31775
Sarahan,31.50988,77.79395
Sarka Ghat,31.69887,76.73529
Seoni,31.24188,77.12362
Shimla,31.16667,77.58333
Sirmaur,30.75,77.5
Solan,31.08333,76.83333
Sundarnagar,31.53523,76.905
Theog,31.12155,77.35838
Tira Sujanpur,31.83364,76.50539
Una,31.46493,76.26914
Yol,32.16423,76.19622
