city_name,latitude,longitude
Akhnur,32.86667,74.73333
Anantnag,33.73068,75.15418
Awantipur,33.91978,75.01515
Badgam,33.89001,74.66297
Bandipore,34.50404,74.82832
Banihal,33.43647,75.19684
Baramula,34.19287,74.3692
Batoti,33.11826,75.30889
Bhadarwah,32.97941,75.71723
Bijbehara,33.79378,75.107
Bishnah,32.6106,74.85557
Doda,33.14916,75.54746
Ganderbal,34.29467,75.19996
Gho Brahmanan de,32.5559,74.9539
Hajan,34.29895,74.61681
Hiranagar,32.45493,75.27187
Jammu,32.75,74.83333
Jaurian,32.83255,74.57612
Kathua,32.58333,75.5
Katra,32.99167,74.93195
Khaur,32.6027,74.80918
Kishtwar,33.52958,76.01462
Kud,33.07246,75.28727
Kulgam,33.64456,75.01923
Kupwara,34.53193,74.26605
Ladakh,34.33333,77.41667
Magam,34.09256,74.59016
Nawanshahr,32.76505,74.52772
Noria,32.52095,74.79845
Padam,33.46659,76.88488
Pahlgam,34.01592,75.31899
Parol,32.34598,75.43441
Pattan,34.16125,74.55634
Pulwama,33.87405,74.89955
Punch,33.70178,74.19916
Qazigund,33.63828,75.14261
Rajaori,33.37526,74.3092
Rajauri,33.25,74.25
Ramban,33.32301,75.1861
Ramgarh,33.40379,74.22388
Ramnagar,32.80728,75.31119
Riasi,33.08115,74.83242
Samba,32.57523,75.10929
Shupiyan,33.73067,74.81869
Sopur,34.28671,74.47228
Soyibug,34.07677,74.7057
Srinagar,34.08565,74.80555
Sumbal,34.23072,74.6472
Thang,34.9274,76.79336
Thanna Mandi,33.54204,74.381
Tral,33.92708,75.11585
Tsrar Sharif,33.86319,74.76524
Udhampur,33,75.16667
Uri,34.08064,74.05088
