city_name,latitude,longitude
Bagra,23.73333,86.31667
Barka Kana,23.62118,85.46748
Barki Saria,24.17594,85.88938
Barwadih,23.8478,84.11049
Bhojudih,23.63962,86.44105
Bokaro,23.68562,85.99026
Bundu,23.16095,85.59007
Chaibasa,22.55038,85.80249
Chakradharpur,22.67611,85.62892
Chakulia,22.48301,86.71793
Chandil,22.95745,86.05331
Chas,23.63556,86.16712
Chatra,24.20645,84.87085
Chiria,22.31093,85.27601
Daltonganj,24.03971,84.0658
Deogarh,24.44382,86.72607
Dhanbad,23.80199,86.44324
Dhanwar,24.41074,85.98183
Dugda,23.74516,86.17175
Dumka,24.3,87.25
Garhwa,24.07494,83.71023
Ghatsila,22.58531,86.47682
Giridih,24.25,85.91667
Gobindpur,22.63393,86.07162
Godda,24.83333,87.21667
Gomoh,23.87355,86.1516
Gopinathpur,22.66301,86.075
Gua,22.21361,85.38774
Gumia,23.7975,85.82523
Gumla,23.08055,84.53834
Hazaribag,24,85.25
Hazaribagh,23.99241,85.36162
Hesla,24.06313,85.87905
Husainabad,24.52849,84
Jagannathpur,22.22115,85.63917
Jamadoba,23.71667,86.4
Jamshedpur,22.80278,86.18545
Jamtara,24,86.85
Jasidih,24.51379,86.64576
Jharia,23.74079,86.41456
Jugsalai,22.77668,86.18351
Jumri Tilaiya,24.4349,85.52951
Kalikapur,22.61662,86.2881
Kandra,22.8517,86.05192
Kanke,23.43478,85.32059
Katras,23.79752,86.29834
Kenduadih,23.77574,86.37609
Kharsawan,22.79093,85.83102
Khunti,23.07602,85.27818
Kodarma,24.46753,85.59397
Kuju,23.72536,85.51023
Latehar,23.75,84.4
Lohardaga,23.5,84.6
Madhupur,24.27419,86.63929
Malkera,23.78213,86.28767
Manoharpur,22.37456,85.19234
Mugma,23.77015,86.72746
Mushabani,22.51135,86.45713
Neturhat,23.47457,84.2678
Nirsa,23.78438,86.70692
Noamundi,22.16094,85.50416
Pakur,24.63925,87.84239
Palamu,23.91667,84.08333
Pashchim Singhbhum,22.5,85.5
patamda,24.3,85.41667
Pathardih,23.6658,86.43166
Purba Singhbhum,22.59238,86.48341
Ramgarh,23.63073,85.56057
Ranchi,23.34316,85.3094
Ray,23.6843,85.05457
Sahibganj,24.99354,87.67333
Saraikela,22.69963,85.93126
Sarubera,23.81813,85.99628
Sijua,23.77617,86.33028
Simdega,22.61523,84.50208
Sini,22.79325,85.94543
Topchanchi,23.90381,86.19792
