city_name,latitude,longitude
Angul,20.84089,85.10192
Angul District,20.84903,85.06079
Asika,19.61114,84.65998
Athagarh,20.51999,85.62965
Bada Barabil,22.11186,85.38684
Balangir,20.75,83.25
Balasore,21.49266,86.93348
Baleshwar,21.5,86.75
Balimila,18.25167,82.10659
Balugaon,20.17838,85.11327
Banapur,19.77889,85.17033
Banki,20.37912,85.52953
Banposh,22.24834,84.81044
Baragarh,21.33333,83.61667
Barbil,22.10194,85.37752
Bargarh,21.33348,83.61905
Barpali,21.19005,83.58721
Basudebpur,21.11974,86.72896
Baud,20.83773,84.32618
Baudh,20.833,84.333
Belaguntha,19.88249,84.63801
Bhadrak,21,86.6
Bhadrakh,21.05447,86.5156
Bhanjanagar,19.92719,84.58201
Bhawanipatna,19.90717,83.16697
Bhuban,20.88197,85.83334
Bhubaneswar,20.27241,85.83385
Binka,21.02626,83.81197
Birmitrapur,22.4,84.76667
Bolanikhodan,22.11312,85.33645
Brahmapur,19.31151,84.7929
Brajarajnagar,21.81667,83.91667
Buguda,19.80806,84.79084
Burla,21.50976,83.87259
Champua,22.06734,85.66463
Chandbali,20.77519,86.74139
Chatrapur,19.35574,84.98359
Chikitigarh,19.20233,84.6145
Chittarkonda,18.12533,82.1089
Cuttack,20.5,86.25
Daitari,21.1,85.75
Deogarh,21.53827,84.73337
Dhenkanal,20.75,85.5
Digapahandi,19.37275,84.57184
Gajapati,18.91,84.2
Ganjam,19.38705,85.05079
Gopalpur,19.25861,84.90517
Gudari,19.34762,83.78128
Gunupur,19.0804,83.80879
Hinjilikatu,19.48166,84.74489
Hirakud,21.52502,83.87275
Jagatsinghpur,20.2,86.3
Jajpur,20.84149,86.31237
Jaleshwar,21.80176,87.2225
Jatani,20.15975,85.70742
Jeypore,18.8563,82.5716
Jharsuguda,21.85531,84.00698
Jharsuguda District,21.85,84
Kaintragarh,20.72115,84.53514
Kalahandi,19.75,83
Kamakhyanagar,20.93385,85.54489
Kandhamal,20.3,84
Kantabanji,20.46709,82.92042
Kantilo,20.36152,85.19212
Kendrapara,20.5,86.5
Kendujhar,21.5,85.5
Kesinga,20.18778,83.21949
Khallikot,19.60908,85.08609
Kharhial,20.28845,82.7606
Khordha,20.2,85.6
Khurda,20.18268,85.61629
Kiri Buru,22.08333,85.35
Kodala,19.62425,84.94075
Konarka,19.89758,86.11413
Koraput,19,83
Kuchaiburi,22.26675,86.17385
Kuchinda,21.74356,84.34848
Malkangiri,18.25,81.95
Mayurbhanj,21.75,86.5
Nabarangpur,19.2333,82.55
Nayagarh,20.12882,85.09626
Nayagarh District,20.13,85.1
Nilgiri,21.46235,86.76794
Nimaparha,20.05756,86.00436
Nowrangapur,19.23114,82.54826
Nuapada,20.6,82.5
Padampur,20.99932,83.06325
Paradip Garh,20.31641,86.6085
Patamundai,20.57806,86.56063
Patnagarh,20.70833,83.13263
Phulbani,20.48101,84.23063
Pipili,20.11357,85.83147
Polasara,19.69386,84.81401
Puri,19.9,85.6
Purushottampur,19.52024,84.88514
Rambha,19.51667,85.1
Raurkela,22.22496,84.86414
Rayagada,19.4,83.5
Remuna,21.52798,86.87156
Rengali,21.64602,84.05311
Sambalpur,21.4,83.88333
Sonepur,20.83333,83.91667
Sorada,19.76082,84.42997
Soro,21.27851,86.68833
Subarnapur,20.93154,83.82486
Sundargarh,22.25,84.5
Talcher,20.94927,85.23354
Tarabha,20.73252,83.67443
Titlagarh,20.28961,83.15233
Udayagiri,20.12416,84.36869
