city_name,latitude,longitude
Abhaneri,27.00743,76.6076
Abu,24.59365,72.71756
Abu Road,24.48012,72.78186
Ajmer,26.25,74.66667
Aklera,24.41288,76.56719
Alwar,27.5,76.5
Amet,25.30609,73.9258
Anta,25.15,76.3
Anupgarh,29.19111,73.20861
Asind,25.7342,74.33278
Bagar,28.18784,75.50012
Bakani,24.28624,76.23709
Bali,25.19725,73.29117
Balotra,25.83242,72.24
Bandikui,27.05087,76.57325
Banswara,23.54109,74.4425
Baran,25.09,76.66
Bari,26.64661,77.61634
Bari Sadri,24.41339,74.47331
Barmer,25.75,71.5
Basi,26.8315,76.04856
Basni,27.17232,73.64519
Baswa,27.14955,76.58345
Bayana,26.90791,77.28985
Beawar,26.10119,74.32028
Begun,24.98333,75
Behror,27.88832,76.28108
Bhadasar,28.31457,74.28952
Bhadra,29.10298,75.17138
Bharatpur,27.21,77.29
Bhasawar,27.03895,77.04849
Bhilwara,25.5,74.75
Bhindar,24.50235,74.18551
Bhinmal,24.99944,72.27141
Bhiwadi,28.21024,76.86056
Bhuma,27.78333,74.93333
Bikaner,28.01762,73.31495
Bilara,26.18067,73.7055
Bissau,28.24737,75.07666
Borkhera,25.52115,75.64028
Bundi,25.43855,75.63735
Chaksu,26.6051,75.94814
Chechat,24.76667,75.88333
Chhabra,24.66472,76.84379
Chhapar,27.819,74.43936
Chhoti Sadri,24.38145,74.7012
Chidawa,28.23937,75.64035
Chittaurgarh,24.5,74.5
Churu,28.30415,74.96718
Dariba,24.94865,74.1342
Dausa,26.88269,76.57053
Deoli,25.75728,75.37991
Deshnoke,27.79836,73.34297
Devgarh,25.52533,73.90812
Dhaulpur,26.71183,77.73956
Didwana,27.40096,74.57537
Dig,27.47188,77.32564
Dungarpur,23.84306,73.71466
Fatehpur,27.99486,74.95628
Galiakot,23.51995,74.02028
Ganganagar,29.92009,73.87496
Gangapur,26.47249,76.71744
Govindgarh,27.50423,76.99938
Gulabpura,25.90448,74.66025
Hanumangarh,29.11,74.6
Hindaun,26.73411,77.03519
Jahazpur,25.61994,75.27609
Jaipur,27,76
Jaisalmer,26.99382,71.00889
Jaitaran,26.20446,73.93676
Jalor,25.34558,72.61559
Jalore,25.08,72.29
Jhalawar,24.59633,76.16499
Jhalrapatan,24.54205,76.17242
Jhunjhunun,28.12559,75.39797
Jobner,26.97257,75.38752
Jodhpur,26.75,72.75
Kaman,27.65791,77.26908
Kanor,24.43437,74.26546
Kapren,25.40529,76.07431
Karanpur,29.84042,73.45519
Karauli,26.58,77.1
Kekri,25.97132,75.14992
Keshorai Patan,25.29275,75.93948
Khandela,27.60499,75.502
Khanpur,24.73241,76.39601
Khetri,28.00069,75.78644
Kishangarh,26.59006,74.85397
Kota,25.17512,75.84412
Kotputli,27.70207,76.19911
Kuchaman,27.14745,74.85655
Kuchera,26.98747,73.97108
Kumher,27.31657,77.37079
Kushalgarh,23.19899,74.45074
Lachhmangarh Sikar,27.82294,75.02754
Ladnun,27.65312,74.39993
Lakheri,25.67237,76.17692
Lalsot,26.55951,76.32915
Losal,27.4,74.91667
Mahwah,27.04594,76.93152
Makrana,27.04361,74.72445
Malpura,26.2838,75.36458
Mandal,25.44126,74.56979
Mandalgarh,25.19407,75.07215
Mandawar,27.86374,76.54999
Mangrol,25.33061,76.50973
Manohar Thana,24.24,76.80182
Manoharpur,27.29769,75.9495
Meethari Marwar,27.57615,74.68661
Merta,26.64859,74.03414
Mundwa,27.0631,73.82304
Nadbai,27.22288,77.19569
Nagar,27.42397,77.09922
Nagaur,27.20201,73.73394
Nainwa,25.77145,75.84978
Napasar,27.96059,73.55913
Naraina,26.79069,75.20608
Nasirabad,26.30473,74.73364
