city_name,latitude,longitude
Abiramam,9.4423,78.4399
Adirampattinam,10.34059,79.37905
Aduthurai,11.01542,79.48093
Alagapuram,11.88705,78.91758
Alandur,13.0025,80.20611
Alanganallur,10.04697,78.09033
Alangayam,12.62235,78.75207
Alangudi,10.3606,78.98492
Alangulam,8.86404,77.49937
Alappakkam,11.59895,79.71893
Alwa Tirunagari,8.60635,77.93983
Ambasamudram,8.71068,77.4519
Ambattur,13.09818,80.16152
Ambur,12.79163,78.71644
Ammapettai,10.79476,79.31986
Anamalais,10.58303,76.93441
Andippatti,9.99797,77.62097
Annamalainagar,11.4,79.73333
Annavasal,10.4606,78.70029
Annur,11.23616,77.10514
Anthiyur,11.57506,77.59043
Arakkonam,13.08449,79.67053
Arantangi,10.17235,78.99118
Arcot,12.90569,79.31897
Arimalam,10.25498,78.88403
Ariyalur,11.15,79.25
Arni,12.66771,79.28529
Arumbavur,11.38096,78.72965
Arumuganeri,8.5688,78.09091
Aruppukkottai,9.5096,78.09588
Aruvankad,11.36315,76.7579
Attayyampatti,11.53272,78.05363
Attur,11.59414,78.60143
Auroville,12.00549,79.80885
Avadi,13.1147,80.10981
Avinashi,11.19297,77.26865
Ayakudi,10.44992,77.55198
Ayyampettai,10.90141,79.17984
Belur,11.70752,78.41437
Bhavani,11.44553,77.68215
Bodinayakkanur,10.01171,77.34976
Chengam,12.30889,78.79137
Chennai,13.08784,80.27847
Chennimalai,11.16378,77.60388
Chetput,13.07,80.24083
Chettipalaiyam,10.91248,77.03699
Cheyyar,12.66052,79.54308
Cheyyur,12.34948,80.00304
Chidambaram,11.39933,79.69144
Chingleput,12.69184,79.97661
Chinna Salem,11.63422,78.87412
Chinnamanur,9.83999,77.38109
Chinnasekkadu,13.16089,80.25727
Cholapuram,9.35193,77.56839
Coimbatore,10.8,77.09
Colachel,8.17938,77.25818
Cuddalore,11.52,79.51
Cumbum,9.73647,77.2847
Denkanikota,12.5301,77.78887
Desur,12.43727,79.48145
Devadanappatti,10.14673,77.6439
Devakottai,9.94704,78.8233
Dhali,10.51049,77.18806
Dharapuram,10.73828,77.53223
