city_name,latitude,longitude
Adilabad,19.5,78.5
Alampur,15.87987,78.13352
Andol,17.81458,78.07713
Asifabad,19.35851,79.28415
Balapur,17.31018,78.49969
Banswada,18.37725,77.88007
Bellampalli,19.05577,79.493
Bhadrachalam,17.66846,80.88887
Bhadradri Kothagudem,17.5546,80.61976
Bhaisa,19.11285,77.96336
Bhongir,17.51544,78.88563
Bodhan,18.66208,77.88581
Chandur,17.87455,78.10017
Chatakonda,17.55303,80.6477
Dasnapur,19.65399,78.51213
Devarkonda,16.69186,78.92073
Dornakal,17.44475,80.14905
Farrukhnagar,17.07787,78.20339
Gaddi Annaram,17.36687,78.5242
Gadwal,16.23504,77.79556
Ghatkesar,17.45081,78.68366
Gopalur,16.6122,77.80728
Gudur,17.49174,78.82302
Hyderabad,17.38405,78.45636
Jagtial,18.79473,78.91661
Jangaon,17.72602,79.15236
Jayashankar Bhupalapally,18.19678,79.93976
Jogulamba Gadwal,16.23401,77.80564
Kagaznagar,19.33159,79.46605
Kamareddi,18.32001,78.34177
Kamareddy,18.32567,78.33416
Karimnagar,18.33844,79.22938
Khammam,17.5,80.33333
Kodar,16.9985,79.9656
Koratla,18.82154,78.71186
Kothapet,19.35176,79.48323
Kottagudem,17.55106,80.61779
Kottapalli,18.49543,79.0943
Kukatpally,17.48486,78.41376
Kyathampalle,19.66781,78.5289
Lakshettipet,18.86667,79.21667
Lal Bahadur Nagar,17.34769,78.55757
Mahabubabad,17.6004,80.00543
Mahbubnagar,16.63171,77.75556
Malkajgiri,17.44781,78.52633
Mancheral,18.87074,79.42863
Mandamarri,18.96506,79.47475
Manthani,18.65087,79.66501
Manuguru,17.98102,80.7547
Medak,17.75,78.25
Medchal,17.62972,78.48139
Medchal Malkajgiri,17.60644,78.54007
Mirialguda,16.8722,79.56247
Nagar Karnul,16.4821,78.32471
Nalgonda,17.16667,79.5
Narayanpet,16.74799,77.4954
Narsingi,18.04468,78.42516
Naspur,18.84577,79.46165
Nirmal,19.09685,78.34407
Nizamabad,18.75,78.25
Paloncha,17.60184,80.70509
Palwancha,17.58152,80.67651
Patancheru,17.53334,78.2645
Peddapalli,18.61357,79.37442
Quthbullapur,17.50107,78.45818
Rajanna Sircilla,18.38629,78.8156
Ramagundam,18.755,79.474
Ramgundam,18.80084,79.45206
Rangareddi,17.27883,78.16844
Sadaseopet,17.61925,77.95263
Sangareddi,17.62477,78.08669
Sathupalli,17.24968,80.86899
Secunderabad,17.50427,78.54263
Serilingampalle,17.49313,78.30196
Siddipet,18.10483,78.84858
Singapur,17.46982,78.12574
Sirpur,19.47953,79.57558
Sirsilla,18.38865,78.81048
Sriramnagar,17.26652,78.25544
Suriapet,17.14054,79.62045
Tandur,17.24849,77.57698
Uppal Kalan,17.40577,78.55911
Vemalwada,18.46523,78.86894
Vikarabad,17.3381,77.90441
Wanparti,16.36738,78.06889
Warangal,18,79.83333
Yellandu,17.59064,80.32146
Zahirabad,17.68138,77.60743
