city_name,latitude,longitude
Agartala,23.83605,91.27939
Amarpur,23.5257,91.65879
Ambasa,23.936,91.85436
Barjala,23.6182,91.35596
Belonia,23.25178,91.45407
Dhalai,23.84307,91.92591
Dharmanagar,24.36667,92.16667
Gomati,23.53399,91.48122
Kailashahar,24.33199,92.00391
Kamalpur,24.19593,91.83438
Khowai,24.07964,91.59972
North Tripura,24.1305,92.15552
Ranir Bazar,23.83463,91.36614
Sabrum,23.00153,91.72427
Sonamura,23.47547,91.2659
South Tripura,23.1671,91.60953
Udaipur,23.53333,91.48333
Unakoti,24.32781,92.00377
West Tripura,23.91667,91.5
