city_name,latitude,longitude
Alfonso Garzón [Granjas Familiares],32.54667,-116.61722
Benito García (El Zorrillo),31.67111,-116.51139
Benito Juárez,32.56852,-114.99422
Buenos Aires,32.42278,-116.94111
Camalú,30.84222,-116.06328
Cereso del Hongo,32.48417,-116.25056
Ciudad Coahuila (Kilómetro Cincuenta y Siete),32.19556,-115.0025
Ciudad Morelos,32.34389,-117.01056
Colinas del Sol,32.40306,-117.03056
Colonia Gómez Morín,31.88167,-116.54389
Colonia Lomas de San Ramón (Triquis),30.70167,-116.00278
Colonia Nueva Era,30.50667,-115.9225
Colonia Venustiano Carranza,32.237,-115.16656
Delta,32.35497,-115.19617
Doctor Alberto Oviedo Mota,32.22756,-115.16792
Durango,32.24865,-115.25227
Ejido Doctor Alberto Oviedo Mota (El Indiviso),32.02444,-114.98361
Ejido General Leandro Valle,30.62167,-115.96583
Ejido Javier Rojo Gómez,32.49389,-116.82222
Ejido Jiquilpan,32.50131,-115.06382
Ejido Lázaro Cárdenas,32.60794,-115.02076
Ejido Michoacán de Ocampo,32.46512,-115.31003
Ejido Netzahualcóyotl,32.62444,-115.06222
Ejido Nuevo León,32.41103,-115.18827
Ejido Ojo de Agua,32.47556,-116.78917
Ejido Pátzcuaro,32.35139,-115.06583
Ejido Plan de Ayala,32.22023,-115.03158
Ejido Quintana Roo,32.46844,-115.0825
Ejido Saltillo,32.4243,-115.1248
Ejido Sinaloa,32.54734,-115.27041
Ejido Sonora,32.28749,-115.23134
Ejido Tabasco,32.56187,-114.92659
Ejido Toluca,32.4305,-115.08316
Ejido Vicente Guerrero,32.39593,-115.14026
Ejido Yucatán,32.60435,-115.0938
El Niño,32.5075,-116.79194
El Porvenir,32.07606,-116.62473
El Rosario de Arriba,30.05984,-115.72448
El Sauzal de Rodríguez,31.89329,-116.69256
Emiliano Zapata,30.75417,-116.00306
Ensenada,31.86667,-116.61666
Estación Coahuila,32.19304,-114.99933
Estación Pescaderos,32.31196,-115.13823
Fraccionamiento del Valle,31.91139,-116.26056
Francisco Zarco,32.09872,-116.56863
Guadalupe Victoria,32.28924,-115.10534
Guerrero Negro,27.96891,-114.04427
Hacienda Tecate,32.565,-116.525
Hermosillo,32.51097,-114.92278
Islas Agrarias Grupo A,32.61096,-115.33151
Islas Agrarias Grupo B,32.60034,-115.27172
La Esperanza [Granjas Familiares],32.46278,-117.105
La Providencia,30.96889,-116.15861
Las Brisas,30.96056,-116.16444
Las Delicias,32.40889,-116.94361
Lázaro Cárdenas,30.52815,-115.92617
Licenciado Gustavo Díaz Ordaz,30.97506,-116.15565
Lomas de Santa Anita,32.54278,-116.65139
Lomas de Tlatelolco,32.48306,-116.80167
Los Algodones,32.7,-114.73333
Los Valles,32.3925,-116.955
Luis Rodríguez (El Vergel),30.40722,-115.88722
Maclovio Herrera (Colonia Aviación),32.54194,-116.63611
Maclovio Rojas,32.47306,-116.80278
Mexicali,32.50513,-115.14771
Playas de Rosarito,32.34342,-117.03186
Poblado Chulavista (El Chorizo),30.74722,-116.00306
Poblado Lázaro Cárdenas (La Veintiocho),32.37333,-115.06528
Pórticos de San Antonio,32.4425,-117.03417
Primo Tapia,32.22226,-116.9139
Progreso,32.58039,-115.58479
Puebla,32.56654,-115.3534
Pueblo Benito García,30.51583,-115.93278
Quinta del Cedro,32.4375,-117.06583
Rancho La Gloria,32.44619,-117.00103
Rancho Verde,31.91611,-116.58833
Rodolfo Sánchez Taboada,31.72099,-116.57184
Rosarito,32.36044,-117.04645
Rumorosa,32.52396,-116.05397
Salvador Rosas Magallón,31.90139,-116.54778
San Felipe,31.02468,-114.83919
San Luis,32.43167,-116.95361
San Quintín,30.57228,-115.94607
San Vicente,31.32518,-116.24662
Santa Anita,32.10083,-116.86917
Santa Fé,30.67984,-115.97653
Santa Isabel,32.6333,-115.57605
Tecate,32.55029,-116.63223
Tecolots,32.56667,-114.98333
Terrazas del Valle,32.4875,-116.82667
Tijuana,32.50223,-116.97212
Vicente Guerrero,30.73097,-115.99071
Villa del Campo,32.5075,-116.73833
Villa del Prado 2da Sección,32.42389,-116.97167
Viñas del Sol,32.62694,-115.54667
