city_name,latitude,longitude
Alcaraces,19.36433,-103.57676
Armería,18.95554,-103.98357
Augusto Gómez Villanueva,19.02154,-104.00156
Caleras,18.99687,-103.87898
Camotlán de Miraflores,19.22033,-104.23491
Cerro de Ortega,18.7508,-103.72155
Ciudad de Armería,18.9378,-103.96417
Ciudad de Villa de Álvarez,19.26722,-103.73778
Cofradía,19.43333,-103.55
Cofradía de Juárez,18.96261,-103.95549
Cofradía de Morelos,18.86785,-103.83668
Cofradía de Suchitlán,19.40954,-103.70043
Comala,19.32717,-103.75926
Coquimatlán,19.20625,-103.80952
Cuauhtémoc,19.32861,-103.60284
Cuyutlán,18.91937,-104.06873
El Colomo,19.06101,-104.25853
El Naranjo,19.13016,-104.41821
El Trapiche,19.27787,-103.6609
Ixtlahuacán,19.00119,-103.73638
Jalipa,19.12275,-104.26737
La Central,19.14276,-104.43819
Los Tepames,19.09389,-103.6225
Madrid,19.08459,-103.87123
Manzanillo,19.1136,-104.346
Minatitlán,19.36667,-104.06667
Piscila,19.15889,-103.70105
Pueblo Juárez (La Magdalena),19.16722,-103.93111
Quesería,19.38708,-103.57243
Rincón de López,19.05308,-103.93241
Suchitlán,19.37541,-103.71141
Tecomán,18.89473,-103.87345
Venustiano Carranza,19.01112,-104.11033
Zacualpan,19.36318,-103.82433
