city_name,latitude,longitude
Abasolo,25.31145,-104.6558
Álvaro Obregón,25.51417,-103.505
Antonio Amaro,24.27684,-104.01873
Arcinas,25.77556,-103.40913
Arturo Martínez Adame,25.83157,-103.38291
Banco Nacional,25.87139,-103.35667
Banderas del Águila,23.92596,-105.3395
Bermejillo,25.88682,-103.62069
California,25.7609,-103.37556
Canatlán,24.52576,-104.77327
Ceballos,26.5258,-104.1295
Ciénega de Nuestra Señora de Guadalupe,25.06223,-106.329
Cieneguillas,24.05472,-104.05186
Cinco de Febrero,24.07657,-104.50467
Cinco de Mayo,24.10181,-104.57449
Ciudad Guadalupe Victoria,24.44401,-104.12156
Ciudad Lerdo,25.53718,-103.52456
Cuauhtemoc,24.29037,-103.80913
Cuencamé,24.64123,-103.73772
Cuencamé de Ceniceros,24.87116,-103.69731
Diez de Octubre,24.72849,-104.63626
El Arenal,24.06527,-104.43387
El Durazno,25.47042,-106.92742
El Huarache (El Guarache),25.52,-103.48667
El Lucero,25.8783,-103.40209
El Nayar,23.96422,-104.69541
El Rayo,25.52112,-103.60821
El Salto,23.77781,-105.36192
El Vergel,25.63965,-103.52139
Emiliano Zapata,24.44218,-103.88784
Esfuerzos Unidos,24.82214,-104.99
Esmeralda,25.74326,-103.43097
Eureka de Media Luna (Eureka),25.79889,-103.37361
Felipe Carrillo Puerto,24.33305,-104.01105
Francisco I. Madero,24.40091,-104.3198
Gabriel Hernández (Mancinas),23.81167,-104.02444
General Calixto Contreras,24.42916,-104.04592
General Lázaro Cárdenas,25.29372,-103.998
Gómez Palacio,25.56985,-103.49588
Guanaceví,25.9961,-106.10898
Guatimapé,24.80733,-104.91994
Hidalgo,26.02409,-104.82823
Ignacio Allende,24.47432,-103.9971
Ignacio Ramírez,24.50796,-104.08751
Ignacio Zaragoza,25.13643,-103.3843
Indé,25.91248,-105.22319
Jauja,25.92894,-103.37382
Jiménez,25.83051,-103.35733
José Guadalupe Aguilera (Santa Lucía),24.4542,-104.70888
José Guadalupe Rodríguez,24.31912,-104.08002
José María Morelos,25.0127,-105.20882
José María Pino Suárez,23.87733,-104.49104
José Refugio Salcido,23.96444,-104.51806
Juan E. García,25.49206,-103.6917
La Ciudad,23.73052,-105.68882
La Flor,25.68138,-103.36837
La Goma,25.4846,-103.68884
La Joya,23.8375,-103.99861
La Loma,25.46401,-103.67351
La Luz,25.63481,-103.61093
La Popular,25.67951,-103.46621
Las Cuevas,25.49815,-103.5495
León Guzmán,25.49986,-103.65924
Llano Grande,23.86367,-105.20558
Los Angeles,25.52206,-103.56757
Mapimí,26.19095,-104.05463
Mezquital,22.88401,-104.5535
Narciso Mendoza,24.0131,-103.9662
Nazareno,25.39916,-103.42065
Nazas,25.22462,-104.11458
Nicolás Bravo,24.3901,-104.74374
Nogales,24.9813,-104.72229
Nombre de Dios,23.84891,-104.24712
Nuevo Ideal,24.88544,-105.07552
Ocampo,26.55251,-105.75999
Orizaba,23.9575,-104.07389
Pánuco de Coronado,24.53972,-104.32707
Pasaje,24.92775,-103.80746
Paso Nacional,25.26311,-104.01941
Pastor Rovaix,25.6823,-103.51019
Pedriceña,25.11858,-103.78942
Picardías,25.32466,-103.48588
Pueblo Nuevo,23.41405,-105.34021
Ramón Corona,24.18611,-103.63028
Ricardo Flores Magón,24.4625,-104.5304
Rodeo,25.1786,-104.5595
San Atenógenes (La Villita),23.99056,-104.01722
San Bernardino de Milpillas Chico,23.38463,-105.15314
San Bernardo,26.16986,-105.66251
San Felipe,25.69278,-103.3825
San Francisco de Horizonte (Horizonte),25.9369,-103.41688
San Francisco del Mezquital,23.47444,-104.3949
San Francisco Javier,23.72572,-104.03371
San Jacinto,25.4803,-103.7375
San José de Gracia,24.4751,-104.74189
San José de Viñedo,25.64865,-103.40255
San José de Zaragoza,25.22753,-103.4665
San Juan de Guadalupe,24.63273,-102.7818
San Juan del Rio del Centauro del Norte,24.77824,-104.45833
San Julio,25.93639,-103.42083
San Miguel de Cruces,24.41255,-105.84152
San Pedro del Gallo,25.56411,-104.29284
Santa Catarina de Tepehuanes,25.33961,-105.72445
Santa Clara,24.475,-103.35694
Santa Cruz Luján,25.72478,-103.3586
Santa María del Oro,25.94944,-105.36444
Santiago Bayacora,23.89373,-104.61276
Santiago Papasquiaro,25.04389,-105.41917
Sapioris,25.45248,-103.71612
Sebastián Lerdo de Tejada,23.95444,-104.63639
Seis de Enero,25.52052,-103.6015
Seis de Octubre,25.81361,-103.57333
Súchil,23.62193,-103.9232
Tamazula,25.05586,-106.76728
Tamazula de Victoria,24.96818,-106.96717
Tayoltita,24.10278,-105.93083
Tepehuanes,25.47838,-106.20884
Tlahualilo de Zaragoza,26.10593,-103.44257
Topia,25.2109,-106.57134
Transporte,25.63411,-103.5407
Velardeña,25.06472,-103.73668
Venecia,25.77844,-103.35266
Venustiano Carranza,24.47158,-104.6263
Vicente Guerrero,23.73429,-103.98487
Victoria de Durango,24.02032,-104.65756
Villa de Guadalupe,25.51444,-103.48917
Villa Gregorio García,25.75221,-103.35215
Villa Hidalgo,26.24833,-104.91441
Villa Juárez,25.49203,-103.59389
Villa Montemorelos,23.99154,-104.48045
Villa Ocampo,26.44085,-105.5064
Villa Unión,23.9746,-104.04705
