city_name,latitude,longitude
10 de Abril,16.82917,-99.74083
Acahuizotla,17.36054,-99.46759
Acalco,17.50575,-99.1667
Acamixtla,18.56512,-99.56599
Acapetlahuaya,18.41942,-100.07237
Acapulco de Juárez,16.84942,-99.90891
Acatempa,17.64333,-99.36639
Acatempan,18.31809,-99.88298
Acatepec,17.17482,-98.97603
Acatlán,17.65807,-99.16944
Acuitlapan,18.60155,-99.5426
Agua Zarca,16.62365,-98.70245
Aguas Blancas,17.03654,-100.063
Aguas Calientes,16.8425,-99.64056
Ahuacachahue (Ndog'yo Itún Tichi),16.82861,-98.98556
Ahuacuotzingo,17.74253,-98.91781
Ahuajutla,17.43043,-98.29029
Ahuatepec Pueblo,17.60577,-98.5897
Ahuehuepan,18.00625,-99.49995
Ahuexotitlán,17.52849,-99.24398
Ahuihuiyuco,17.62958,-99.22738
Ajuchitlán del Progreso,18.15189,-100.48353
Alcholoa,17.1511,-100.40837
Alcozacán,17.50444,-99.095
Alcozauca de Guerrero,17.46481,-98.38428
Almolonga,17.63826,-99.29502
Alpoyeca,17.646,-98.51004
Alpuyecancingo de las Montañas,17.67083,-98.85194
Amatillo,16.82028,-99.66611
Amuco de la Reforma,18.29361,-100.63972
Apalani,16.85361,-99.58944
Apango,17.74121,-99.32909
Apantla,17.03972,-99.16944
Apaxtla,18.07628,-99.99562
Apaxtla de Castrejón,18.13127,-99.93255
Apipilulco,18.19104,-99.67205
Aratichanguío,18.47877,-101.36211
Arcelia,18.26627,-100.19066
Arcelia de Rodríguez,16.73668,-98.64486
Arenal de Álvarez (Arenal de Paco),17.12611,-100.455
Atenango del Río,18.10526,-99.10777
Atenxoxola,17.48819,-99.14285
Atlamajac,17.55528,-98.54722
Atlamajalcingo del Río,17.52667,-98.65556
Atliaca,17.65168,-99.37471
Atlixtac,17.51434,-98.90305
Atoyac de Álvarez,17.20667,-100.43306
Atzacoaloya,17.54659,-99.13757
Axaxacualco,17.80387,-99.46175
Axixintla,18.60222,-99.51806
Ayahualulco,17.50066,-99.18264
Ayotzinapa,17.55628,-98.76346
Ayutla de los Libres,16.96376,-99.09616
Azoyú,16.64925,-98.57828
Bajos del Ejido,16.96086,-99.97169
Barra de Tecoanapa,16.50864,-98.73216
Barrio Nuevo,17.72075,-101.63657
Barrio Nuevo de los Muertos,16.89278,-99.54389
Buena Vista,16.9625,-98.58077
Buena Vista de la Salud,17.26082,-99.50183
Buenavista de Allende,17.00086,-99.21325
Buenavista de Cuéllar,18.45958,-99.40868
Cacalotenango,18.54639,-99.64361
Cacalutla,17.12433,-100.35038
Cahuatache,17.41624,-98.53184
Cajelitos,17.26778,-99.49306
Campanario,16.83534,-99.57178
Carrizalillo,17.85077,-99.71263
Caxitepec,17.29449,-98.96741
Cayaco,17.04743,-100.26859
Cerro de Piedra,16.77646,-99.63037
Chacalapa,16.80682,-98.45788
Changata,18.27306,-100.58528
Chaucingo,18.30038,-99.11535
Chiaucingo,17.74207,-98.6972
Chichihualco,17.65902,-99.67624
Chiepetepec,17.56568,-98.73364
Chilacachapa,18.27394,-99.76177
Chilapa de Álvarez,17.59917,-99.17389
Chilpancingo,17.5506,-99.50578
Chontalcoatlán,18.65421,-99.5738
Ciudad Altamirano,18.3582,-100.66965
Ciudad de Huitzuco,18.30334,-99.33376
Coachimalco,17.62523,-98.68122
Coacoyula de Álvarez,18.07635,-99.6305
Coacoyulichán,16.79484,-98.93551
Coacoyulillo,17.33471,-99.64859
Coahuayutla de Guerrero,18.31469,-101.73574
Coahuayutla de José María Izazaga,18.27847,-101.63863
Coatepec Costales,18.33922,-99.7214
Cochoapa,16.7219,-98.37196
Cochoapa el Grande,17.1928,-98.45592
Cocula,18.14296,-99.70452
Colombia de Guadalupe,17.0884,-98.75901
Colonia Aeropuerto,17.62028,-101.45889
Colonia Alborada,16.88151,-99.81779
Colonia Constitución,17.53667,-98.59944
Colonia el Pedregal,18.34961,-99.85642
Colonia Luces en el Mar,16.92162,-100.01526
Colonia Nueva Revolución,16.89833,-99.80583
Colonia Renacimiento,16.76278,-98.18222
Colotepec,17.04104,-99.21273
Colotlipa,17.41242,-99.16711
Copala,16.60674,-98.94094
Copalillo,17.97003,-99.05436
Copanatoyac,17.42911,-98.70006
Corral Falso,18.24472,-100.56
Coyahualco,17.74139,-98.56667
Coyuca de Benítez,17.00895,-100.08714
Coyuca de Catalán,18.32614,-100.69898
Coyuquilla Norte,17.38027,-101.05631
Cruz Grande,16.72241,-99.12356
Cruz Quemada,16.99722,-99.17964
Cuajinicuilapa,16.47347,-98.41389
Cualác,17.72928,-98.67254
Cuanacaxtitlán,16.79953,-98.63992
Cuatzoquitengo,17.28822,-98.61523
Cuauhtenango,17.54625,-99.20683
Cuautepec,16.7052,-98.98471
Cuetzala del Progreso,18.13472,-99.8319
Cumbre de Barranca Honda,16.73167,-98.33667
Cuonetzingo,17.52722,-99.26583
Cutzamala de Pinzón,18.46783,-100.58089
Cuyuxtlahuaca,17.48213,-98.34456
Dos Arroyos,17.0206,-99.64966
Ejido Nuevo,16.97405,-99.73702
Ejido Viejo,16.94812,-99.94606
El Bejuco,16.82488,-99.7072
El Carmen,16.95036,-98.23764
El Coacoyul,17.6381,-101.47571
El Conchero,16.94266,-99.96233
El Cortés,16.78063,-99.5021
El Cortijo,16.98972,-99.14889
El Durazno,17.52828,-99.29057
El Embarcadero,16.96417,-100.00167
El Escondido,18.22068,-100.31208
El Espinalillo,16.98472,-100.12694
El Fresno,17.43143,-99.58605
El Jicaral,17.12617,-98.19697
El Limón,16.99556,-99.3775
El Mesón,16.8457,-99.05868
El Metlapil,16.84167,-99.74889
El Naranjito,17.98801,-102.15752
El Ocotito,17.24603,-99.51525
El Papayo,17.03468,-100.24788
El Paraíso,17.34361,-100.22806
El Pericón,16.98001,-99.32573
El Pitahayo,16.53236,-98.5276
El Polvorín,16.57833,-98.80139
El Potrerillo (Potrerillo del Rincón),16.95806,-98.73083
El Refugio,17.03833,-99.20056
El Rincón (Santa Cruz del Rincón),16.99611,-98.73528
El Salto,16.8646,-99.76543
El Súchil,17.22694,-100.63917
El Tejocote,17.32903,-98.65866
El Terrero,18.12934,-100.31819
El Ticui,17.21639,-100.44472
Escalerilla Lagunas,17.37806,-98.84667
Fermín Rabadán Cervantes,18.31528,-99.56722
Florencio Villarreal,16.70143,-99.15247
General Canuto A. Neri,18.43072,-100.1011
General Heliodoro Castillo,17.74297,-100.02859
Guadalupe Victoria,16.75611,-98.18167
Guayameo,18.30407,-101.26167
Hacienda de Cabañas,17.09731,-100.47163
Horcasitas,16.88821,-98.74609
Huamuchapa,16.94349,-99.31884
Huamuxtitlán,17.78905,-98.55569
Huehuetán,16.63583,-98.55889
Hueycantenango,17.44873,-99.0244
Hueyitlalpan,17.67528,-99.29556
Huitziltepec,17.7561,-99.47983
Huitzuco de los Figueroa,18.29064,-99.26361
Huixtepec,16.65361,-98.30455
Iguala de la Independencia,18.34536,-99.5413
Igualapa,16.75528,-98.4837
Iliatenco,17.03524,-98.67721
Ixcamilpa,18.02769,-98.69643
Ixcapuzalco,18.51204,-99.88755
Ixcateopan,17.61812,-98.51405
Ixcateopan de Cuauhtémoc,18.50139,-99.79139
Ixcatla,17.4225,-98.99944
Ixtapa,17.66782,-101.64165
Ixtapa-Zihuatanejo,17.64344,-101.55212
Izotepec,17.585,-99.95444
Jalapa,16.71227,-99.05564
Jaleaca de Catalán,17.44636,-99.85968
Jicayán de Tovar,17.12716,-98.23622
Jolotichán,16.75222,-98.73056
Julián Blanco (Dos Caminos),17.21889,-99.52472
Kilómetro 30,16.99778,-99.78
Kilómetro 40,17.04944,-99.77056
La Azozuca,16.82139,-99.04194
La Concepción,16.87867,-99.6514
