city_name,latitude,longitude
Acahuasco,20.96254,-98.59656
Acatepec,20.95367,-98.27373
Acatlán,20.14562,-98.43959
Acaxochitlán,20.16674,-98.18971
Acayuca,20.02567,-98.8411
Acoapa,21.12116,-98.48701
Acoxcatlán,20.97343,-98.77793
Acoyotla,21.12551,-98.77729
Actopan,20.28451,-98.91525
Ahuatitla,21.16495,-98.66594
Ahuehuetitla,20.08444,-98.41667
Ajacuba,20.14326,-99.06141
Alfajayucan,20.41183,-99.38388
Almoloya,19.74335,-98.33939
Álvaro Obregón,20.70662,-99.37323
Apan,19.71128,-98.45086
Atengo,20.17526,-99.32714
Atitalaquia,20.05691,-99.21779
Atlapexco,21.02507,-98.36834
Atotonilco de Tula,19.97025,-99.23866
Atotonilco el Grande,20.28632,-98.6685
Bangandhó,20.48277,-99.14901
Barrio Aztlán,20.46562,-98.08553
Benito Juárez,20.16047,-98.82606
Bomanxotha,20.51542,-99.66679
Bomintzha,20.014,-99.27277
Bondojito,20.44395,-99.70022
Calnali,20.90221,-98.57029
Caltimacan,20.53672,-99.37
Camelia (Barrio la Camelia),20.14917,-98.72222
Campestre Villas del Álamo,20.10167,-98.70722
Cañada,19.99798,-99.23947
Cañada de Madero,19.96528,-99.39389
Cantera de Villagrán,19.84083,-99.30917
Cantinela,20.45778,-99.21028
Carboneras,20.09,-98.70528
Cardonal,20.05689,-99.23025
Carpinteros,20.58606,-98.53964
Caxuxi,20.30522,-98.99067
Cerritos,20.35306,-99.01222
Chachahuantla,20.20182,-98.13261
Chalahuiyapa,21.15088,-98.36429
Chapantongo,20.28635,-99.41319
Chapulhuacán,21.15731,-98.90361
Chapulhuacanito,21.20911,-98.67016
Chatipán,21.02006,-98.52731
Chicavasco,20.19715,-98.95386
Chichatla,20.95833,-98.62946
Chilcuautla,20.33059,-99.23117
Chililico,21.13444,-98.43556
Chimalapa,20.18806,-98.16
Chimalpa y Tlalayote,19.66522,-98.51224
Cipreses,20.05889,-98.7675
Ciudad Sahagun,19.77557,-98.57471
Coacuilco,21.10377,-98.58643
Colinas de Plata,20.07833,-98.72667
Colonia 28 de Mayo (Santa Rosa),20.16611,-98.39
Colonia Benito Juárez,19.88985,-98.80661
Colonia Felipe Ángeles,20.05417,-98.41861
Colonia Guadalupe,19.93917,-98.76556
Colonia Militar,20.11139,-98.70306
Colonia Morelos,19.89056,-98.81667
Colonia Morelos (El Nueve),20.225,-99.14111
Colonia San Juan,20.19028,-99.28278
Colonia Sesenta y Dos,20.00528,-99.34583
Colonia Teñhe,20.19291,-99.17866
Conejos,19.9757,-99.24337
Coyotillos,19.9998,-99.15817
Cuapaxtitla,21.13292,-98.55264
Cuatolol,21.11967,-98.82563
Cuautepec de Hinojosa,20.03557,-98.31015
Cuazahuatl,21.01637,-98.88691
Dajiedi,20.31114,-98.94006
Dantzibojay,20.43934,-99.58587
Daxtha,20.27994,-98.97964
Dengantzha,20.27211,-99.12098
Déxtho de Victoria,20.32528,-99.02389
Dios Padre,20.46469,-99.20132
Don Antonio,19.87444,-98.93472
Doxey,20.09169,-99.24362
El Arenal,20.22258,-98.90957
El Barrido,20.45028,-99.19083
El Bingú,20.59296,-99.14315
El Boxtha,20.25972,-98.97417
El Capulín,20.00898,-98.27613
El Cid,19.86722,-98.92694
El Colorado,20.21528,-99.00222
El Huaxtho,20.23444,-98.96222
El Huixmí,20.07569,-98.81972
El Jagüey,20.24691,-99.61516
El Jiadi,20.24842,-98.92815
El Llano,20.06537,-99.31976
El Mirador,20.03,-98.81056
El Moreno (San Miguel Moreno),20.30139,-99.17361
El Nith,20.48778,-99.19194
El Olvera,20.27,-99.02556
El Paredón,19.86686,-98.25224
El Pintor,21.15932,-98.41284
El Refugio,20.0048,-99.18835
El Rincón,20.27334,-98.90431
El Roble,20.05806,-98.75833
El Rosario,20.24842,-99.02539
El Saucillo,20.07694,-98.73722
El Saucillo (Fraccionamiento),20.06778,-98.73194
El Susto,20.05905,-98.49303
El Tepeyac,20.05073,-98.31063
El Tephé,20.44861,-99.175
El Venado,20.06291,-98.76018
Eloxochitlán,20.72703,-98.87693
Emiliano Zapata,19.6549,-98.54497
Epazoyucan,20.02654,-98.63802
Estación de Apulco,20.28611,-98.3475
Fontezuelas,20.48853,-98.87164
Forjadores de Pachuca,20.055,-98.76333
Fraccionamiento Carlos Salinas de Gortari,20.11028,-98.43028
Fraccionamiento del Magisterio Tulancinguense,20.07639,-98.39972
Gandhó,20.54525,-99.68737
General Felipe Ángeles (Los Ángeles),19.8975,-98.92611
General Pedro María Anaya,20.156,-99.348
Guadalupe Minerva,20.12583,-98.71389
