city_name,latitude,longitude
Acaponeta,22.49396,-105.36369
Ahuacatlán,21.05405,-104.48398
Amapa,21.78359,-105.25482
Amatlán de Cañas,20.80699,-104.40408
Aquiles Serdán,21.38198,-104.88891
Aticama,21.48387,-105.19787
Atonalisco,21.66551,-104.83949
Aután,21.68973,-105.3075
Bellavista,21.56236,-104.88267
Bucerías,20.75626,-105.33438
Camalotita,22.40453,-105.43156
Camichín de Jauja,21.46532,-104.8008
Cañada del Tabaco,21.70972,-105.35417
Chapalilla,21.18852,-104.63783
Chilapa,22.03138,-105.23057
Colonia Emiliano Zapata,21.82861,-105.21972
Colonia Paraíso Escondido,21.05333,-105.23833
Compostela,21.23777,-104.9001
Corral del Risco (Punta de Mita),20.77361,-105.51667
Cruz de Huanacaxtle,20.75415,-105.37734
Cuamiles,21.92347,-105.25405
El Ahuacate,21.51535,-104.94436
El Botadero,21.75404,-105.2864
El Capomal,21.83935,-105.12116
El Corte,21.72025,-105.24488
El Jicote,21.72545,-105.05787
El Llano,21.41854,-105.17963
El Rosario,20.89195,-104.46836
El Tamarindo,21.9581,-105.2322
El Tizate,21.80179,-105.1167
El Vado de San Pedro,21.94742,-105.18005
El Venado,21.94426,-105.001
Emiliano Zapata,21.36477,-104.91283
Felipe Carrillo Puerto,21.132,-104.86068
Francisco I. Madero,21.58186,-104.81927
Guadalupe Victoria,21.67972,-105.3275
Higuera Blanca,20.79746,-105.46747
Huajicori,22.63667,-105.31972
Huajimic,21.68347,-104.31542
Ixtapan de la Concepción,21.30774,-105.15773
Ixtlán del Río,21.03907,-104.37116
Jalcocotán,21.48122,-105.09851
Jesús María,22.25056,-104.51792
Jomulco,21.10394,-104.42378
Juan Escutia (Borbollón),21.16741,-104.86698
La Cantera,21.50308,-104.82237
La Corregidora,21.44417,-104.81222
La Fortuna,21.55285,-104.95077
La Guásima,22.40607,-105.38767
La Labor,21.37299,-104.7191
La Libertad,21.59347,-105.17365
La Palma,21.49172,-105.17817
La Peñita de Jaltomba,21.03884,-105.24792
La Presa,22.34358,-105.3935
La Yesca,21.31871,-104.01161
Las Jarretaderas,20.6925,-105.27389
Las Varas,21.18021,-105.13595
Llano del Tigre,22.12707,-105.30581
Lo de Lamedo,21.53843,-104.93945
Lo de Marcos,20.95509,-105.35223
Los Aguajes,21.10729,-104.35447
Los Otates,21.70427,-105.37622
Mecatán,21.53643,-105.11946
Mesa del Nayar,22.2177,-104.65352
Méxpan,21.03567,-104.41479
Mezcales,20.73072,-105.28257
Milpas Viejas,22.36478,-105.47549
Mojarras,21.42592,-104.60851
Monteón,20.99108,-105.29988
Navarrete,21.64841,-105.11539
Nuevo Vallarta,20.70169,-105.29417
Palma Grande,21.99333,-105.38944
Palmar de Cuautla,22.21972,-105.6475
Pantanal,21.42824,-104.86122
Pericos,22.04925,-105.35402
Pozo de Ibarra,21.86692,-105.27949
Puerta de Mangos,21.71853,-105.33534
Puga,21.58443,-104.82318
Quimichis,22.36122,-105.53913
Rincón de Guayabitos,21.02315,-105.27054
Rosa Blanca,21.12454,-104.35811
Rosamorada,22.12208,-105.2064
Ruíz,21.95107,-105.1438
San Blas,21.54333,-105.28558
San Cayetano,21.44949,-104.81702
San Clemente de Lima,20.73722,-105.27083
San Felipe Aztatán,22.38374,-105.4198
San Francisco,20.90196,-105.41279
San José de Gracia,22.48105,-105.37869
San Juan Bautista,22.14359,-105.0975
San Juan de Abajo,20.81484,-105.19154
San Luis de Lozada,21.50297,-104.70552
San Pedro Lagunillas,21.2192,-104.75228
San Vicente,21.95043,-105.2971
Santa Cruz,21.98118,-105.60169
Santa Isabel,21.16304,-104.62374
Santa María del Oro,21.3339,-104.58696
Santa Teresa,22.4973,-104.76547
Santiago de Pochotitán,21.58159,-104.69858
Santiago Ixcuintla,21.81295,-105.20844
Sauta,21.72116,-105.14249
Sayulilla,22.43822,-105.39137
Sayulita,20.87006,-105.43992
Sentispac,21.80478,-105.34593
Tecuala,22.39815,-105.45808
Tepic,21.50951,-104.89569
Tequepexpan,21.21571,-104.56958
Testerazo,21.40242,-104.8942
Tetitlán,21.12903,-104.61613
Unión de Corrientes,21.97644,-105.43026
Uzeta,21.11497,-104.60171
Valle de Banderas,20.80792,-105.24813
Villa Hidalgo,21.74185,-105.23096
Villa Juárez,21.68917,-105.38972
Yago,21.83601,-105.06451
Zacualpan,21.24715,-105.1657
Zapotán,21.08936,-104.86246
Zapotanito,21.30533,-104.60899
