city_name,latitude,longitude
18 de Marzo,18.96889,-98.16028
Acajete,19.11154,-97.95231
Acateno,20.11324,-97.2271
Acatepec,18.37236,-97.03651
Acatlán,18.22374,-98.07685
Acatlán de Osorio,18.2025,-98.04864
Acatzingo,18.98196,-97.78363
Acaxtlahuacán de Albino Zertuche,18.01714,-98.54018
Acteopan,18.76388,-98.71366
Actipan,18.93689,-97.90252
Actipan de Morelos,18.96003,-97.79904
Acuaco,19.7625,-97.56444
Acuexcomac,19.03742,-98.38501
Ahuacatlán,20.13722,-98.0075
Ahuatempan,18.41269,-98.0185
Ahuatepec,18.85831,-97.91764
Ahuatepec de Camino,19.04087,-97.43457
Ahuatlán,18.5793,-98.27791
Ahuaxintitla,20.25325,-97.89561
Ahuazotepec,20.04535,-98.16332
Ahuehuetitla,18.21272,-98.21949
Ajalpan,18.37908,-97.25867
Álamos Tepetitlán,19.19619,-97.43858
Albino Zertuche,18.01275,-98.55511
Alhuaca,18.56795,-97.16594
Aljojuca,19.09933,-97.52973
Allende,19.53879,-97.59711
Almecatla,19.14286,-98.23597
Almolonga,18.47627,-97.96353
Altepexi,18.37035,-97.29966
Álvaro Obregón,19.02781,-97.90219
Amatitlán de Azueta,18.17631,-98.0764
Ameluca,20.56344,-97.82571
Amixtlán,20.04778,-97.79918
Amozoc,19.05019,-98.04154
Amozoc de Mota,19.04611,-98.045
Analco de Ponciano Arriaga (Santa Cruz Analco),19.26444,-98.50028
Apango de Zaragoza,19.06833,-97.94028
Apantéopan,19.3582,-97.19104
Apapantilla,20.40356,-97.84665
Apatauyan,19.79911,-97.4444
Aquixtla,19.77957,-97.93526
Artículo Primero Constitucional,18.97412,-98.15848
Atalpan,19.84374,-97.56008
Atecax,19.6987,-97.36698
Atempan,19.83945,-97.45855
Atencingo,18.51347,-98.60542
Atexcal,18.36391,-97.6877
Atla,20.27527,-98.12469
Atlequizayan,20.01214,-97.62423
Atlixco,18.90815,-98.43613
Atoluca,19.855,-97.35361
Atoyatempan,18.81925,-97.9139
Atzala,18.54639,-98.55306
Atzalán,19.82472,-97.44417
Atzingo (La Cumbre),19.97972,-97.96861
Atzitzintla,18.89915,-97.3244
Axutla,18.18938,-98.38935
Axuxco,18.23045,-97.20739
Ayotla,18.67004,-98.37266
Ayotoxco de Guerrero,20.09589,-97.40961
Ayutla,18.54503,-98.50537
Azumbilla,18.64552,-97.39815
Barrio de Nuevo León,19.08861,-98.29
Bellavista de Victoria (San José Bellavista),18.87639,-97.54389
Benito Juárez,19.81654,-97.79108
Beristain,20.09426,-98.1329
Bienvenido,20.12235,-97.74434
Buena Vista,20.12767,-97.45373
Buenavista de Juárez,18.945,-97.82778
Buenavista Tetela,18.91967,-98.17632
Buenos Aires,20.15333,-97.74833
