city_name,latitude,longitude
Agua Buena,21.95791,-99.39416
Agua Señora,22.2375,-101.04222
Ahualulco del Sonido Trece,22.40019,-101.16614
Ahuehueyo Primero Centro,21.345,-98.83722
Alaquines,22.12973,-99.60093
Alberto Carrera Torres,21.7724,-101.01193
Ampliación la Hincada,22.21528,-99.23611
Aquismón,21.62159,-99.01984
Arroyos,22.05455,-100.9052
Aurelio Manrique,22.2875,-98.65083
Axtla de Terrazas,21.43923,-98.87508
Bledos,21.84148,-101.11651
Bocas,22.51817,-101.02186
Cárdenas,22.00144,-99.64247
Carranco,21.82002,-101.09699
Cerrito de Jaral,22.22361,-101.0625
Cerrito de Zavala,22.5369,-100.97683
Cerritos,22.42835,-100.28474
Cerro de San Pedro,22.2178,-100.79961
Cerro Gordo,21.97448,-100.80661
Chalchocoyo,21.31444,-98.79194
Charcas,23.12943,-101.11346
Chiconamel,21.36806,-98.71917
Ciudad del Maíz,22.40187,-99.60468
Ciudad Fernández,21.94045,-100.01153
Ciudad Satélite,22.11083,-100.79583
Ciudad Valles,21.99631,-99.01093
Colonia Álvaro Obregón,22.25183,-99.67416
Colonia Veinte de Noviembre,21.97917,-100.04981
Corcovado,22.39517,-100.69337
Damian Carmona,22.09723,-99.29216
Derramaderos,22.57025,-100.93226
Dulce Grande,23.00175,-102.17405
Ébano,22.21808,-98.37706
Ejido el Saucillo,21.83666,-100.9949
Ejido Gogorrón (Ex-Hacienda de Gogorrón),21.84019,-100.91138
Ejido la Pitahaya (Santo Domingo),21.60611,-100.76111
Ejido los Huastecos,21.95917,-98.65028
Ejido San José Xilatzén,21.67472,-98.9275
El Barril,23.07509,-102.15374
El Capulín,21.82806,-100.03743
El Carrizal,22.34146,-101.16778
El Fuerte,21.71289,-100.66445
El Huexco,21.34075,-98.7535
El Jabalí,21.88431,-100.05315
El Jaralito,22.03851,-100.82119
El Naranjo,22.52597,-99.32968
El Peñasco,22.32534,-100.95014
El Rosario,21.73411,-100.92631
El Tepetate,22.01344,-101.24195
Emiliano Zapata,21.92149,-100.91358
Enramadas,21.88316,-100.78204
Enrique Estrada,22.2403,-100.88869
Entronque de Matehuala (El Huizache),22.925,-100.45889
