city_name,latitude,longitude
Abadzekhskaya,44.39389,40.22139
Adygeysk,44.88414,39.19071
Adygeysk Republican Urban Okrug,44.8785,39.19167
Beloye,45.04832,39.65143
Blechepsin,44.82028,40.50028
Dondukovskaya,44.8819,40.36271
Enem,44.9264,38.90584
Giaginskaya,44.86208,40.07195
Giaginskiy Rayon,44.83333,40.16667
Kamennomostskiy,44.2891,40.188
Khanskaya,44.67702,39.9616
Khatukay,45.19074,39.6632
Khodz’,44.5102,40.7142
Koshekhabl’,44.89722,40.51194
Koshekhabl’skiy Rayon,44.83333,40.5
Krasnogvardeyskiy Rayon,45.08333,39.75
Krasnogvardeyskoye,45.1278,39.57246
Kuzhorskaya,44.67512,40.31032
Maykop,44.60778,40.10583
Maykop Republican Urban Okrug,44.611,40.12344
Maykopskiy Rayon,44.33333,40.25
Natyrbovo,44.73,40.62639
Ponezhukay,44.88761,39.38551
Shovgenovskiy,45.01028,40.225
Shovgenovskiy Rayon,45,40.16667
Takhtamukay,44.9215,38.99583
Takhtamukayskiy Rayon,44.97433,38.80548
Teuchezhskiy Rayon,44.91667,39.33333
Tlyustenkhabl’,44.982,39.09773
Yablonovskiy,44.98901,38.94324
