city_name,latitude,longitude
Arkhangel’sk,64.5401,40.5433
Berëznik,62.852,42.7071
Cheremushskiy,61.27306,47.26361
Dvinskoy,62.1519,45.1184
Il’insko-Podomskoye,61.11444,47.97861
Ileza,61.05328,43.90021
Isakogorka,64.446,40.6531
Kamenka,65.8835,44.1272
Kargopol’,61.50359,38.9486
Kargopol’skiy Rayon,61.33333,39
Karpogory,64.00189,44.44513
Katunino,64.3862,40.6298
Kharitonovo,61.40092,47.49779
Kholmogorskiy Rayon,64.08333,41.66667
Kholmogory,64.2229,41.656
Kizema,61.11304,44.83017
Kodino,63.71976,39.64465
Konëvo,62.11745,39.33131
Konosha,60.9736,40.257
Koryazhma,61.31433,47.16914
Kotlas,61.25745,46.64963
Kotlasskiy Rayon,61.16667,46.33333
Krasnoborsk,61.55978,45.93396
Kuloy,61.03049,42.49252
Lenskiy Rayon,62,48.66667
Leshukonskiy Rayon,65,47
Leshukonskoye,64.8977,45.7655
Loyga,61.07845,44.6075
Lukovetskiy,64.2956,41.9211
Mezen’,65.8401,44.2542
Mezenskiy Rayon,65.75,44
Mirnyy,61.33289,44.53598
Novodvinsk,64.4165,40.8122
Nyandoma,61.6656,40.2013
Nyandomskiy Rayon,62,40.66667
Oksovskiy,62.60623,39.89845
Onega,63.90692,38.11112
Onezhskiy Rayon,63.33333,38
Pinega,64.69969,43.39016
Pinezhskiy Rayon,64.66667,43
Plesetsk,62.70804,40.29159
Podyuga,61.095,40.86472
Primorskiy Rayon,65,41
Privodino,61.07599,46.50238
Puksoozero,62.5903,40.6066
Rochegda,62.6678,43.4133
Samoded,63.6083,40.5111
Severodvinsk,64.5635,39.8302
Shalakusha,62.22472,40.25389
Shangaly,61.12842,43.33427
Shenkursk,62.1091,42.89595
Shenkurskiy Rayon,62.25,42.41667
Shipitsyno,61.28056,46.52083
Sol’vychegodsk,61.33046,46.91559
Solginskiy,61.05,41.34278
Udimskiy,61.14171,45.91443
Urdoma,61.75335,48.5442
Ust’-Shonosha,61.1531,41.343
Ust’yanskiy Rayon,61.33333,43.66667
Uyemskiy,64.4743,40.8524
Vas’kovo,64.4122,40.4639
Vel’sk,61.07006,42.0983
Vel’skiy Rayon,61,42
Verkhnyaya Toyma,62.2347,45.0009
Voloshka,61.33139,40.08583
Vychegodskiy,61.24702,46.89842
Yagry,64.59417,39.81028
Yarensk,62.16755,49.09162
Yemetsk,63.47191,41.78023
Yemtsa,63.07337,40.33285
Yertsevo,60.7966,40.086
