city_name,latitude,longitude
Alatyr’,54.8421,46.5813
Alatyrskiy Rayon,54.91667,46.75
Alikovo,55.73827,46.75493
Alikovskiy Rayon,55.75,46.75
Atlashevo,56.01235,47.55615
Batyrevo,55.0675,47.61111
Batyrevskiy Rayon,55.08333,47.5
Buinsk,55.195,47.0608
Cheboksarskiy Rayon,56.08333,47.25
Cheboksary,56.13222,47.25194
Ibresi,55.3011,47.038
Ibresinskiy Rayon,55.25,47
Ishley,56.02317,47.05054
Kanash,55.50962,47.49127
Kanashskiy Rayon,55.5,47.41667
Kirya,55.08102,46.86091
Komsomol'skoye,55.25667,47.54608
Komsomol’skiy Rayon,55.25,47.5
Kozlovka,55.84284,48.2492
Kozlovskiy Rayon,55.83333,48.16667
Krasnoarmeyskiy Rayon,55.75,47.16667
Krasnoarmeyskoye,55.76813,47.17244
Krasnochetayskiy Rayon,55.66667,46.25
Krasnyye Chetai,55.68871,46.13865
Kugesi,56.02895,47.29255
Mariinskiy Posad,56.11497,47.71805
Mariinsko-Posadskiy Rayon,55.91667,47.83333
Morgaushi,55.9643,46.7743
Morgaushskiy Rayon,56,46.75
Novocheboksarsk,56.11095,47.47755
Novyye Lapsary,56.0685,47.2142
Poretskiy Rayon,55.16667,46.41667
Poretskoye,55.19742,46.32908
Shemursha,54.88663,47.51893
Shemurshinskiy Rayon,54.91667,47.5
Shikhazany,55.56047,47.39297
Shumerlinskiy Rayon,55.5,46.5
Shumerlya,55.5005,46.41288
Tsivil’sk,55.86974,47.47874
Tsivil’skiy Rayon,55.83333,47.5
Urmarskiy Rayon,55.66667,47.91667
Urmary,55.67894,47.94396
Vurnarskiy Rayon,55.5,46.91667
Vurnary,55.49044,46.96479
Yadrin,55.94052,46.20622
Yadrinskiy Rayon,55.91667,46.33333
Yal’chikskiy Rayon,55.16667,47.91667
Yantikovo,55.82158,47.91036
Yantikovskiy Rayon,55.5,47.83333
