city_name,latitude,longitude
Achisu,42.65197,47.68282
Adil’-Yangiyurt,43.56328,46.58462
Agul’skiy Rayon,41.83333,47.58333
Agvali,42.53853,46.11967
Akhty,41.45968,47.73123
Akhtynskiy Rayon,41.33333,47.58333
Akhvakhskiy Rayon,42.58333,46.33333
Aknada,42.40155,46.17228
Aksay,43.37254,46.44497
Akusha,42.26885,47.34114
Akushinskiy Rayon,42.16667,47.33333
Andi,42.78359,46.26171
Ansalta,42.68941,46.11782
Ashil’ta,42.77042,46.72992
Babayurt,43.6002,46.77888
Babayurtovskiy Rayon,43.58333,47
Bammatyurt,43.34576,46.60819
Bavtugay,43.16808,46.83415
Belidzhi,41.89184,48.41247
Bezhta,42.1338,46.12828
Botashyurt,43.30801,46.50991
Botayurt,43.31865,46.68371
Botlikhskiy Rayon,42.75,46.25
Burtunay,42.9886,46.63034
Buynaksk,42.819,47.1192
Buynakskiy Rayon,42.83333,47.16667
Charodinskiy Rayon,42.16667,46.75
Chinar,42.10798,48.14321
Chirkey,42.96131,46.97866
Chontaul,43.30481,46.85967
Dagestanskiye Ogni,42.11589,48.19204
Dakhadayevskiy Rayon,42.08333,47.58333
Derbent,42.06779,48.28987
Derbentskiy Rayon,42.08333,48.16667
Dorgeli,42.667,47.29435
Druzhba,42.242,48.00145
Dubki,43.02116,46.83746
Dylym,43.07099,46.63454
Endirey,43.16316,46.65401
Erpeli,42.80584,46.97732
Gagatli,42.8013,46.29162
Gaptsakh,41.45174,47.93027
Gedzhukh,42.12786,48.06474
Gereykhanovskoye,41.7011,48.28113
Gerga,42.34645,47.96333
Gergebil’,42.50472,47.06611
Gergebil’skiy Rayon,42.5,47
Gimry,42.75974,46.83959
Gubden,42.56808,47.56579
Gumbetovskiy Rayon,42.83333,46.5
Gunib,42.38758,46.96509
Gunibskiy Rayon,42.41667,46.83333
Gurbuki,42.61128,47.60067
Irganay,42.6465,46.91154
Izberbash,42.56955,47.86447
Kafyr-Kumukh,42.83754,47.15412
Kalininaul,43.07121,46.56679
Karabudakhkent,42.7087,47.56735
Karabudakhkentskiy Rayon,42.66667,47.5
Karamakhi,42.61934,47.26017
Karata,42.59486,46.3393
Kaspiysk,42.88165,47.63919
Kasumkent,41.67725,48.14601
Kayakent,42.38736,47.90301
