city_name,latitude,longitude
Arkhipovka,56.66292,41.25434
Bogorodskoye,57.04695,41.01354
Dulyapino,57.25783,40.81471
Furmanov,57.25363,41.10849
Gavrilov Posad,56.5593,40.121
Il’inskoye-Khovanskoye,56.9718,39.7684
Ivanovo,56.99719,40.97139
Ivanovskiy Rayon,57,41
Kamenka,57.39214,41.79383
Kaminskiy,57.15159,41.47318
Kineshemskiy Rayon,57.33333,42.33333
Kineshma,57.43914,42.12894
Kitovo,56.86586,41.28246
Kokhma,56.93487,41.0915
Kolobovo,56.70199,41.34173
Komsomol’sk,57.02913,40.37266
Komsomol’skiy Rayon,57.08333,40.41667
Kuznechikha,57.21607,42.33477
Lezhnevo,56.77508,40.89174
Lezhnevskiy Rayon,56.75,40.91667
Lukh,57.01242,42.25838
Lukhskiy Rayon,57,42.41667
Markovo,57.0185,40.49465
Navoloki,57.46572,41.96344
Nerl’,56.66285,40.38931
Novo-Talitsy,57.00392,40.85936
Novopistsovo,57.32177,41.8531
Novoye Leushino,56.80732,40.51443
Novyye Gorki,56.72535,41.06014
Palekh,56.80256,41.85508
Palekhskiy Rayon,56.83333,42
Pestyaki,56.7086,42.66954
Pestyakovskiy Rayon,56.58333,42.66667
Petrovskiy,56.6421,40.32026
Pistsovo,57.17904,40.52983
Plës,57.45862,41.51579
Privolzhsk,57.38698,41.28666
Privolzhskiy Rayon,57.33333,41.33333
Puchezh,56.97878,43.16761
Puchezhskiy Rayon,57,43
Rodniki,57.10513,41.73048
Rodnikovskiy Rayon,57.08333,41.75
Savino,56.59285,41.21814
Savinskiy Rayon,56.58333,41.33333
Shuya,56.84865,41.38833
Shuyskiy Rayon,56.83333,41.5
Staraya Vichuga,57.26833,41.87873
Talitsy,56.52801,42.3323
Teykovo,56.85796,40.53692
Teykovskiy Rayon,56.75,40.5
Verkhnelandekhovskiy Rayon,56.83333,42.58333
Verkhniy Landekh,56.83971,42.5973
Vichuga,57.21276,41.93012
Vichugskiy Rayon,57.25,42
Yur’yevets,57.32007,43.1041
Yur’yevetskiy Rayon,57.25,42.83333
Yuzha,56.58306,42.01222
Yuzhskiy Rayon,56.58333,42
Zarechnyy,57.46931,42.28431
Zavolzhsk,57.4823,42.13779
Zavolzhskiy Rayon,57.5,42.08333
