city_name,latitude,longitude
Amurzet,47.69541,131.09493
Babstovo,48.11853,132.47913
Bira,49.00135,132.46826
Birakan,48.99302,131.72026
Birobidzhan,48.79284,132.92386
Birobidzhanskiy Rayon,48.5,132.75
Izvestkovyy,48.98043,131.55274
Khingansk,49.12821,131.19322
Kul’dur,49.20465,131.6384
Leninskiy Rayon,48.16667,132.25
Leninskoye,47.93501,132.62025
Londoko,49.01805,131.99142
Obluchenskiy Rayon,49,132
Oktyabr’skiy Rayon,48.16667,131.41667
Priamurskiy,48.52716,134.90359
Smidovich,48.59647,133.80866
Smidovichskiy Rayon,48.5,134
Volochayevka Vtoraya,48.56695,134.58232
