city_name,latitude,longitude
Aleksandrovskaya,43.48333,43.65
Altud,43.72194,43.86583
Argudan,43.42139,43.91583
Aushiger,43.39611,43.73167
Babugent,43.27942,43.5502
Baksan,43.68806,43.53694
Baksanenok,43.68972,43.65472
Baksanskiy Rayon,43.75,43.5
Belaya Rechka,43.43806,43.535
Bylym,43.465,43.03889
Chegem,43.28333,43.13333
Chegem Vtoroy,43.59583,43.59944
Cherekskiy Rayon,43.25,43.5
Deyskoye,43.47546,44.16182
Dugulubgey,43.6625,43.53694
El’brus,43.25771,42.64435
El’brusskiy Rayon,43.41667,42.83333
Germenchik,43.59389,43.76611
Gundelen,43.5975,43.17194
Islamey,43.67556,43.455
Kakhun,43.54306,43.87639
Kamenka,43.53333,43.51667
Kamennomostskoye,43.73722,43.05139
Karagach,43.80528,43.775
Kashkhatau,43.31848,43.60804
Kenzhe,43.50167,43.55722
Kishpek,43.655,43.64083
Kotlyarevskaya,43.57344,44.06134
Kuba-Taba,43.77611,43.44278
Kyzburun Pervyy,43.65167,43.395
Lechinkay,43.56472,43.43278
Leskenskiy rayon,43.35556,43.94139
Malka,43.80389,43.32417
Mayskiy Rayon,43.66667,44.08333
Nal’chik,43.49806,43.61889
Nartan,43.51083,43.69944
Nartkala,43.5575,43.85083
Nizhniy Cherek,43.51306,43.91389
Nizhniy Kurkuzhin,43.74833,43.34972
Planovskoye,43.39846,44.1949
Primalkinskoye,43.74667,44.00833
Prokhladnenskiy Rayon,43.83333,44
Prokhladnyy,43.75741,44.0297
Psygansu,43.41944,43.79361
Sarmakovo,43.74556,43.20028
Shalushka,43.5325,43.56611
Soldatskaya,43.81806,43.81583
Staryy Cherek,43.47139,43.84694
Staryy Urukh,43.34041,44.01868
Terek,43.48333,44.13611
Terskiy Rayon,43.58333,44.25
Terskol,43.2568,42.51481
Tyrnyauz,43.38278,42.91833
Urukh,43.29335,44.02647
Urvan’,43.49222,43.76056
Urvanskiy Rayon,43.41667,43.91667
Verkhniy Kurkuzhin,43.69556,43.27472
Verkhnyaya Balkariya,43.12545,43.45687
Vol’nyy Aul,43.47861,43.6275
Zalukokoazhe,43.90389,43.21556
Zayukovo,43.61611,43.33389
Zhankhoteko,43.56417,43.21056
Zhemtala,43.28408,43.65586
Zol’skiy Rayon,43.75,42.91667
