city_name,latitude,longitude
Babynino,54.39385,35.77013
Babyninskiy Rayon,54.41667,35.75
Balabanovo,55.18161,36.6606
Baryatino,54.31206,34.52096
Baryatinskiy Rayon,54.33333,34.58333
Belousovo,55.09499,36.6732
Betlitsa,54.00946,33.95875
Borovsk,55.20639,36.48611
Borovskiy Rayon,55.16667,36.5
Deshovki,54.00333,35.78771
Detchino,54.80923,36.3075
Duminichi,53.93446,35.10993
Duminichskiy Rayon,53.91667,35
Dvortsy,54.61677,35.9974
Dzerzhinskiy Rayon,54.75,35.75
Ferzikovo,54.51913,36.75671
Ferzikovskiy Rayon,54.58333,36.58333
Iznoski,54.98806,35.31083
Iznoskovskiy rayon,54.99026,35.30961
Kaluga,54.5293,36.27542
Khvastovichi,53.46942,35.09409
Khvastovichskiy Rayon,53.5,35.16667
Kirov,54.06686,34.29955
Kirovskiy Rayon,54.08333,34.41667
Kondrovo,54.80639,35.92778
Kozel’sk,54.03746,35.77159
Kozel’skiy Rayon,54,35.83333
Kremenki,54.88626,37.11955
Kudinovo,54.99939,36.25331
Kurovskoye,54.54299,36.00262
Kuybyshevskiy Rayon,54.08333,33.91667
Lyudinovo,53.86639,34.44778
Lyudinovskiy Rayon,53.91667,34.5
Maloyaroslavets,55.01457,36.47185
Maloyaroslavetskiy Rayon,54.91667,36.5
Medyn’,54.96917,35.85861
Medynskiy Rayon,55.08333,35.83333
Meshchovsk,54.32444,35.28083
Meshchovskiy Rayon,54.33333,35.41667
Mosal’sk,54.48806,34.98167
Mosal’skiy Rayon,54.58333,34.83333
Mstikhino,54.55947,36.12777
Myatlevo,54.89693,35.67619
Nikola-Lenivets,54.74943,35.60133
Obninsk,55.09681,36.61006
Peremyshl’,54.26313,36.16063
Peremyshl’skiy Rayon,54.25,36.08333
Polotnyanyy Zavod,54.72139,35.96611
Pyatovskiy,54.68908,36.05634
Seredeyskiy,54.05071,35.23183
Sosenskiy,54.05899,35.96228
Spas-Demensk,54.41222,34.02257
Spas-Demenskiy Rayon,54.41667,34
Sukhinichi,54.09989,35.34254
Sukhinichskiy Rayon,54.08333,35.33333
Tarusa,54.72436,37.17272
Tarusskiy Rayon,54.66667,37
Tovarkovo,54.67617,35.9386
Ul’yanovskiy Rayon,53.66667,35.66667
Vorotynsk,54.42828,36.04646
Vysokinichi,54.90928,36.93148
Yermolino,55.19489,36.59513
Yukhnov,54.74444,35.22972
Yukhnovskiy Rayon,54.75,35.25
Zarech’ye,53.73078,35.63246
Zhiletovo,54.69216,36.02225
Zhizdra,53.74596,34.73951
Zhizdrinskiy Rayon,53.66667,34.75
Zhukovo,55.03178,36.74402
Zhukovskiy Rayon,55.08333,36.75
