city_name,latitude,longitude
Aleutskiy Rayon,55.21667,165.98333
Atlasovo,55.6065,159.64266
Bystrinskiy Rayon,56,158.5
Esso,55.92738,158.70708
Karaginsky,58,159.83333
Klyuchi,56.32035,160.84541
Kozyrëvsk,56.0486,159.8715
Mil’kovo,54.6961,158.62067
Mil’kovskiy Rayon,55,159
Olyutorskiy Rayon,61,169
Ossora,59.24781,163.07034
Ozernovskiy,51.49604,156.50102
Palana,59.08384,159.9563
Paratunka,52.96202,158.25723
Penzhinskiy Rayon,63,167
Petropavlovsk-Kamchatsky,53.04444,158.65076
Sobolevskiy Rayon,54.58333,156.5
Tigil’,57.75979,158.68161
Tigil’skiy Rayon,57.76046,158.68687
Tilichiki,60.42795,166.05764
Ust’-Bol’sheretskiy Rayon,52.66667,157
Ust’-Kamchatsk Staryy,56.22778,162.47778
Ust’-Kamchatskiy Rayon,56,161
Vilyuchinsk,52.9311,158.40469
Yelizovo,53.18909,158.38135
Yelizovskiy Rayon,53.66667,159
