city_name,latitude,longitude
Adyge-Khabl’,44.33434,41.93922
Ali-Berdukovskiy,43.98952,41.74212
Besleney,44.2405,41.7387
Cherkessk,44.22333,42.05778
Druzhba,44.1953,42.017
Ikon-Khalk,44.3051,41.9142
Ispravnaya,44.0682,41.6102
Karachayevsk,43.77399,41.91419
Karachayevskiy Rayon,43.5,42
Kardonikskaya,43.86577,41.71432
Kavkazskiy,44.2672,42.2347
Khabez,44.0434,41.772
Krasnyy Kurgan,43.94222,42.61083
Kumysh,43.88334,41.89323
Kurdzhinovo,43.98838,40.95519
Kyzyl-Oktyabr’skiy,43.8257,41.78605
Malokarachayevskiy Rayon,43.75,42.5
Mednogorskiy,43.9178,41.18255
Nizhniy Arkhyz,43.67817,41.45977
Novyy Karachay,43.82076,41.90322
Ordzhonikidzevskiy,43.84233,41.89636
Pervomayskoye,43.93847,42.476
Pravokubanskiy,43.91721,41.88413
Pregradnaya,43.95395,41.1891
Prikubanskiy Rayon,44.08333,42
Psyzh,44.23306,42.01833
Sary-Tyuz,43.90181,41.89523
Storozhevaya,43.87886,41.45143
Tereze,43.93608,42.4434
Uchkeken,43.93778,42.51167
Uchkulan,43.45705,42.09643
Udarnyy,44.34917,42.50528
Ust’-Dzheguta,44.0834,41.9763
Zelenchukskaya,43.85804,41.5894
