city_name,latitude,longitude
Abakan,53.71556,91.42917
Abakan Gorod,53.71667,91.43333
Abaza,52.655,90.09278
Altayskiy Rayon,53.5,91.5
Askiz,53.13194,90.52639
Belyy Yar,53.60389,91.39028
Beya,53.05333,90.91389
Biskamzha,53.44972,89.52722
Bograd,54.23444,90.83278
Bogradskiy Rayon,54.33333,91
Cherëmushki,52.85576,91.41672
Chernogorsk,53.82361,91.28417
Kommunar,54.34835,89.28297
Mayna,53.00639,91.48361
Podsineye,53.66583,91.53639
Sayanogorsk,53.0875,91.39972
Shira,54.49111,89.95306
Sorsk,54.00333,90.24667
Tashtyp,52.79542,89.89477
Tuim,54.33949,89.94586
Ust’-Abakan,53.83651,91.39077
Vershina Tei,53.26858,89.56008
