city_name,latitude,longitude
Agirish,61.92472,63.02306
Andra,62.51472,65.88778
Barsovo,61.16667,73.16667
Beloyarskiy,63.71194,66.67222
Berëzovo,63.93806,65.04194
Fedorovskiy,61.6063,73.71415
Gornopravdinsk,60.05,69.9
Igrim,63.1906,64.4162
Izluchinsk,60.97944,76.92421
Khanty-Mansiysk,61.00417,69.00194
Khulimsunt,62.86333,61.64361
Kogalym,62.26537,74.47906
Kommunisticheskiy,61.67889,64.48194
Kondinskoye,59.64806,67.41
Kuminskiy,58.66667,66.56667
Langepas,61.25439,75.2124
Lokosovo,61.13333,74.81667
Lyantor,61.61945,72.15546
Malinovskiy,61.19528,62.83972
Megion,61.0296,76.1136
Mezhdurechenskiy,59.6,65.93333
Mortka,59.33222,66.02139
Nefteyugansk,61.09979,72.60349
Nizhnesortymskiy,62.43965,71.76029
Nizhnevartovsk,60.9344,76.5531
Novoagansk,61.9449,76.6625
Nyagan,62.14056,65.39361
Pionerskiy,61.19472,62.86889
Pokachi,61.71982,75.36827
Poykovskiy,61.23333,73.33333
Priob’ye,62.52056,65.59639
Pyt-Yakh,60.74985,72.85824
Raduzhny,62.09611,77.475
Russkinskiye,62.1538,73.60102
Salym,60.0625,71.47889
Saranpaul’,64.26102,60.90233
Sherkaly,62.75806,65.47528
Singapay,61.15452,72.66072
Solnechniy,61.27944,73.18139
Sovetskiy,61.36139,63.58417
Surgut,61.25,73.41667
Uray,60.13044,64.78896
Yugorsk,61.31226,63.33067
Zelenoborsk,61.47088,64.04344
