city_name,latitude,longitude
Abinsk,44.86803,38.15728
Abinskiy Rayon,44.83402,38.27891
Abrau-Dyurso,44.69973,37.60098
Adler,43.42896,39.92391
Afipskiy,44.90005,38.84265
Agoy,44.1466,39.0373
Agronom,45.14021,39.19484
Akhtanizovskaya,45.32128,37.10071
Akhtyrskiy,44.8546,38.3031
Alekseyevskaya,45.77167,40.15528
Anapa,44.89084,37.3239
Anapskaya,44.89671,37.386
Anastasiyevskaya,45.21576,37.89258
Apsheronsk,44.46472,39.73417
Arkhipo-Osipovka,44.37194,38.52972
Armavir,44.9892,41.1234
Atamanskaya,46.1773,39.6358
Azovskaya,44.79083,38.62639
Baturinskaya,45.79267,39.37065
Belaya Glina,46.07802,40.86651
Belorechensk,44.77127,39.87879
Belorechenskiy Rayon,44.79923,39.72061
Belozërnyy,45.06433,38.67901
Berezanskaya,45.70562,39.59324
Besleneyevskaya,44.231,40.725
Besskorbnaya,44.6447,41.311
Blagovetschenskaya,45.0553,37.13276
Bryukhovetskaya,45.80603,38.99959
Chamlykskaya,44.71583,40.87861
Chelbasskaya,45.97924,39.37186
Chernomorskiy,44.85056,38.49361
Chernoyerkovskaya,45.43306,37.76861
Dagomys,43.66974,39.66863
Dinskaya,45.21516,39.2265
Divnomorskoye,44.5017,38.1342
Dmitriyevskaya,45.65639,40.76528
Dneprovskaya,45.62359,38.80807
Dolzhanskaya,46.63369,37.80246
Dvubratskiy,45.23888,39.80499
Dzhiginka,45.133,37.33825
Dzhubga,44.3211,38.7073
Fastovetskaya,45.91889,40.15889
Gayduk,44.78489,37.7005
Gelendzhik,44.5622,38.0848
Girey,45.4012,40.6587
Glafirovka,46.76378,38.40785
Glubokiy,44.94673,41.01845
Golubitskaya,45.32566,37.2702
Gornoye Loo,43.71294,39.60492
Goryachiy Klyuch,44.63083,39.13
Gostagayevskaya,45.02284,37.50511
Grivenskaya,45.6473,38.17597
Gubskaya,44.31639,40.63583
Gul’kevichi,45.35383,40.69465
Il’ich,45.42488,36.77402
Il’skiy,44.84222,38.56686
Irkliyevskaya,45.85635,39.65381
Kabardinka,44.65139,37.94278
Kalininskaya,45.4844,38.66221
Kalnibolotskaya,46.00583,40.45682
Kamyshevatskaya,46.41316,37.95632
Kanelovskaya,46.5896,39.1944
Kanevskaya,46.0849,38.9596
Kavkazskaya,45.4453,40.6765
Kazanskaya,45.4106,40.4361
Khadyzhensk,44.4258,39.5362
Kholmskiy,44.84694,38.385
Khosta,43.51484,39.86825
Kislyakovskaya,46.4417,39.675
Kiyevskoye,45.03829,37.88829
Konokovo,44.8616,41.3266
Konstantinovskaya,44.83528,40.72694
Kontenko,45.35806,36.83222
Kopanskaya,46.27785,38.47955
Korenovsk,45.46899,39.45136
Korzhevskiy,45.19414,37.71949
Kovalevskoye,45.19417,40.97611
Krasnaya Polyana,43.67952,40.20403
Krasnoarmeyskaya,45.36614,38.21171
Krasnodar,45.04484,38.97603
Krasnoye,46.7373,39.5645
Kropotkin,45.4375,40.57556
Krylovskaya,46.31944,39.97111
Krylovskiy Rayon,46.33333,39.96667
Krymsk,44.92934,37.99117
Krymskiy Rayon,44.90532,37.80526
Kubanskiy,45.92917,40.58056
Kuchugury,45.40702,36.95586
Kudepsta,43.49547,39.89294
