city_name,latitude,longitude
Aban,56.6787,96.0658
Abanskiy Rayon,56.83333,96
Achinsk,56.2694,90.4993
Achinskiy Rayon,56.25,90.5
Aginskoye,55.2586,94.9079
Balakhta,55.38425,91.61872
Balakhtinskiy Rayon,55.5,91.5
Baykit,61.67694,96.37917
Berëzovka,56.03044,93.11164
Berezovskiy rayon,56.03446,93.13866
Birilyusskiy Rayon,57.25,90.75
Bogotol,56.20778,89.53417
Bogotol’skiy Rayon,56.25,89.75
Boguchanskiy Rayon,58.5,97.5
Boguchany,58.38139,97.45306
Bol’shemurtinskiy Rayon,57,93
Bol’sheuluyskiy Rayon,56.66667,90.75
Bor,61.60111,90.01806
Borodino,55.9061,94.9079
Chunoyar,57.4483,97.3286
Dikson,73.50819,80.52918
Divnogorsk,55.9581,92.3726
Dubinino,55.61917,89.09111
Dudinka,69.40583,86.17778
Dzerzhinskoye,56.83444,95.22833
Evenkiyskiy,65,98
Filimonovo,56.20111,95.46111
Idrinskiy Rayon,54.5,92.5
Idrinskoye,54.37083,92.13583
Igarka,67.4655,86.6027
Il’ichevo,53.27889,91.84028
Ilanskiy,56.2325,96.0652
Ilanskiy Rayon,56,96.08333
Irbeyskiy Rayon,55.41667,96
Irbeyskoye,55.6396,95.4515
Irsha,55.9273,94.7999
Kansk,56.20167,95.7175
Kanskiy Rayon,56.25,95.25
Karatuzskoye,53.60722,92.86667
Kayyerkan,69.37861,87.74389
Kazachinskiy Rayon,57.66667,93.41667
Kazachinskoye,57.7004,93.2809
Kedrovyy,56.28232,91.5376
Khatanga,71.98002,102.47111
Kodinsk,58.60629,99.17398
Koshurnikovo,54.16667,93.3
Krasnokamensk,54.33389,93.25944
Krasnoturansk,54.31861,91.56389
Krasnoyarsk,56.01839,92.86717
Kuragino,53.88785,92.68152
Lesosibirsk,58.23583,92.48278
Manskiy Rayon,55.41667,93.66667
Manzya,58.49222,96.26167
Minusinsk,53.71028,91.6875
Minusinskiy Rayon,53.75,92
Motygino,58.18401,94.69339
Nazarovo,56.0104,90.4011
Nazarovskiy Rayon,56,90.625
Nizhneingashskiy Rayon,56.25,97
Nizhniy Ingash,56.2003,96.5373
Nizhnyaya Poyma,56.1643,97.2065
Norilsk,69.3535,88.2027
Novobirilyussy,56.9526,90.6807
Novochernorechenskiy,56.26658,91.09234
Ovsyanka,55.9583,92.572
Partizanskiy Rayon,55,94.16667
Partizanskoye,55.4972,94.3922
Pirovskoye,57.63012,92.26373
Predivinsk,57.0631,93.4374
Rassvet,56.999,91.4724
Razdolinsk,58.42111,94.66583
Sayansk,54.15,91.885
Sayanskiy Rayon,54.75,95
Severo-Yeniseyskiy,60.37552,93.03017
Severo-Yeniseyskiy Rayon,60,93.25
Shalinskoye,55.7194,93.7589
Sharypovo,55.54028,89.20083
Sharypovskiy Rayon,55.5,89.25
Shushenskiy Rayon,53.41667,91.5
Shushenskoye,53.325,91.93556
Snezhnogorsk,68.09306,87.74
Solnechnyy,56.11583,92.92528
Sosnovoborsk,56.1217,93.3385
Strelka,58.07278,93.03444
Sukhobuzimskoye,56.5,93.27278
Svetlogorsk,66.93762,88.35265
Talnakh,69.4865,88.3972
Tanzybey,53.13265,92.94335
Taseyevo,57.21457,94.89393
Taymyrsky Dolgano-Nenetsky,72,95
Teya,60.37202,92.62956
Tinskoy,56.1513,96.9173
Tura,64.27769,100.21849
Turukhansk,65.79479,87.95006
Tyukhtet,56.53939,89.31221
Ural,55.9052,94.7537
Uyar,55.8118,94.3247
Uyarskiy Rayon,55.83333,94.25
Uzhur,55.31246,89.83301
Vanavara,60.34679,102.28434
Yemel’yanovo,56.16776,92.67539
Yemel’yanovskiy Rayon,56.41667,92.75
Yeniseysk,58.44937,92.17968
Yeniseyskiy Rayon,60,89
Yermakovskoye,53.27545,92.40021
Zelenogorsk,56.1124,94.5985
Zelënyy Bor,53.62178,91.61528
Zheleznogorsk,56.25111,93.53194
Zykovo,55.95503,93.16093
