city_name,latitude,longitude
Bol’shoy Khomutets,52.78285,39.87214
Borinskoye,52.4569,39.3713
Chaplygin,53.24319,39.96288
Chaplyginskiy Rayon,53.25,40
Dankov,53.25155,39.15553
Dankovskiy Rayon,53.25,39.16667
Dobrinka,52.16528,40.47306
Dobrinskiy Rayon,52.16667,40.5
Dobrovskiy Rayon,52.83333,39.83333
Dobroye,52.8678,39.8109
Dolgorukovo,52.31945,38.34527
Dolgorukovskiy Rayon,52.33333,38.33333
Donskoye,52.6174,38.9738
Gryazi,52.49657,39.93593
Gryazinskiy Rayon,52.5,39.91667
Izmalkovo,52.6887,37.96398
Izmalkovskiy Rayon,52.66667,38
Kalikino,52.9493,39.8269
Kazaki,52.62484,38.26488
Kazinka,52.53817,39.82164
Khlevenskiy Rayon,52.16667,39.08333
Khlevnoye,52.19512,39.09316
Krasninskiy Rayon,52.83333,38.75
Krasnoye,52.86449,38.79353
Kuz’minskiye Otverzhki,52.69574,39.47036
Lebedyan’,53.01942,39.16639
Lebedyanskiy Rayon,53,39.16667
Lev Tolstoy,53.21344,39.44604
Lev-Tolstovskiy Rayon,53.25,39.5
Lipetsk,52.60311,39.57076
Lipetskiy Rayon,52.58333,39.58333
Petrovskiy,52.24159,40.64976
Plekhanovo,52.63822,39.84729
Prigorodka,52.04472,39.71238
Stanovlyanskiy Rayon,52.83333,38.33333
Stanovoye,52.76384,38.35818
Syrskoye,52.57437,39.4966
Terbunskiy Rayon,52.16667,38.25
Terbuny,52.1493,38.2834
Usman’,52.04662,39.7288
Usmanskiy Rayon,52,39.75
Volovo,52.02659,37.8854
Volovskiy Rayon,52,37.91667
Yelets,52.62366,38.50169
Yeletskiy Rayon,52.58333,38.5
Zadonsk,52.3904,38.9261
Zadonskiy Rayon,52.41667,38.91667
