city_name,latitude,longitude
Altuf’yevskiy,55.88333,37.58333
Amin’yevo,55.7,37.46667
Annino,55.58333,37.6
Babushkin,55.86931,37.72966
Bibirevo,55.88333,37.6
Biryulëvo,55.58635,37.67781
Bogorodskoye,55.81353,37.71617
Brateyevo,55.63755,37.76438
Cherëmushki,55.66473,37.56135
Chertanovo Yuzhnoye,55.59072,37.59519
Davydkovo,55.71815,37.47271
Gol’yanovo,55.82299,37.81306
Golovinskiy,55.85381,37.49604
Ivanovskoye,55.76667,37.83333
Kapotnya,55.63806,37.79306
Kokoshkino,55.59769,37.1695
Kolomenskoye,55.66667,37.68333
Kotlovka,55.65928,37.60404
Kozeyevo,55.86667,37.61667
Krasnaya Pahra,55.43223,37.26966
Kur’yanovo,55.65,37.7
Kuz’minki,55.7,37.8
Lefortovo,55.76667,37.7
Leonovo,55.85,37.65
Lianozovo,55.89783,37.5868
Likhobory,55.85,37.56667
LMS,55.31425,37.18546
Luzhniki,55.71599,37.55376
Lyublino,55.67738,37.76005
Mar’ino,55.65,37.71667
Matveyevskoye,55.71112,37.47502
Metrogorodok,55.80961,37.78739
Mikhalkovo,55.68333,37.43333
Moscow,55.75222,37.61556
Moskovskiy,55.59911,37.35495
Nagornyy,55.65,37.61667
Nekrasovka,55.69328,37.91148
Nikol’skoye,55.68333,37.48333
Nikulino,55.66943,37.46598
Novo-Peredelkino,55.64528,37.33583
Novogireyevo,55.75378,37.81885
Novokhovrino,55.86667,37.5
Novokuz’minki,55.71667,37.78333
Novovladykino,55.85,37.58333
Novyye Cherëmushki,55.7,37.58333
Novyye Kuz’minki,55.7,37.75
Ochakovo-Matveyevskoye,55.68432,37.44654
Orekhovo-Borisovo,55.61252,37.72639
Orekhovo-Borisovo Severnoye,55.61667,37.68333
Ostankinskiy,55.82957,37.61604
Otradnoye,55.86667,37.6
Pokrovskoye-Streshnëvo,55.80797,37.45814
Presnenskiy,55.75,37.55
Ramenki,55.7,37.5
Rostokino,55.83333,37.66667
Rublëvo,55.78514,37.35481
Ryazanskiy,55.73333,37.76667
Setun’,55.7002475,37.4056495
Severnyy,55.93583,37.54889
Shcherbinka,55.49972,37.55972
Shchukino,55.8,37.45
Slobodka,55.86667,37.58333
Sokol,55.8,37.51667
Sokol’niki,55.80202,37.67159
Solntsevo,55.63711,37.38115
Strogino,55.81838,37.41224
Sviblovo,55.85,37.63333
Taganskiy,55.73333,37.66667
Tekstil’shchiki,55.70033,37.74271
Tolstopal’tsevo,55.61026,37.21834
Troitsk,55.48498,37.30736
Troparëvo,55.65625,37.48496
Tsaritsyno,55.6254,37.65032
Tsentral’nyy Administrativnyy Okrug,55.74943,37.62371
Tyoply Stan,55.62047,37.49338
Vagonoremont,55.9,37.55
Vatutinki,55.4965,37.32988
Vatutino,55.88441,37.69055
Veshnyaki,55.72393,37.81952
Vnukovo,55.61194,37.29611
Vorob’yovo,55.71667,37.53333
Vostochnoe Degunino,55.8801,37.55758
Vostochnyy,55.81667,37.86667
Vykhino-Zhulebino,55.70196,37.81178
Yaroslavskiy,55.88333,37.71667
Yasenevo,55.60686,37.51991
Zagor’ye,55.57657,37.66709
Zamoskvorech’ye,55.73333,37.63333
Zelenograd,55.9825,37.18139
Zhulebino,55.7,37.85
Zyablikovo,55.61667,37.76667
Zyuzino,55.65608,37.56846
