city_name,latitude,longitude
Abram Mys,68.97839,33.01926
Afrikanda,67.44289,32.78279
Alakurtti,66.9672,30.34905
Apatity,67.56414,33.4031
Gadzhiyevo,69.25506,33.33616
Kandalaksha,67.162,32.41229
Kandalakshskiy rayon,67.16622,32.44606
Kirovsk,67.61475,33.67274
Kol’skiy Rayon,68.5,32
Kola,68.88062,33.01842
Kovdor,67.56616,30.47576
Kovdorskiy Rayon,67.56667,30.4
Lovozero,68.00638,35.01589
Lovozerskiy Rayon,68,36
Molochnyy,68.85389,33.02046
Monchegorsk,67.93972,32.87389
Murmansk,68.97917,33.09251
Murmashi,68.81542,32.81147
Nikel,69.41285,30.22198
Olenegorsk,68.1432,33.25287
Ostrovnoy,68.05306,39.51306
Pechenga,69.52587,31.17027
Pechengskiy Rayon,69,30
Polyarnyy,69.19889,33.44778
Polyarnyye Zori,67.36611,32.49806
Poyakonda,66.59428,32.82088
Revda,67.9371,34.56149
Roslyakovo,69.04303,33.19906
Safonovo,69.06043,33.29523
Severomorsk,69.06889,33.41622
Severomorsk-3,68.87862,33.72631
Shonguy,68.75261,33.14595
Snezhnogorsk,69.19333,33.25314
Teribërka,69.16088,35.14527
Terskiy Rayon,66.91667,35
Umba,66.68706,34.34291
Verkhnetulomskiy,68.60727,31.79621
Vidyayevo,69.31914,32.80488
Vysokiy,68.13583,33.41917
Zaozërsk,69.40052,32.44761
Zapolyarnyy,69.41541,30.81355
Zelenoborskiy,66.845,32.36222
