city_name,latitude,longitude
Afonino,56.26201,44.09503
Ar’ya,57.49146,45.96691
Ardatov,55.24205,43.09699
Ardatovskiy Rayon,55.25,43.08333
Arzamas,55.39485,43.83992
Arzamasskiy Rayon,55.33333,43.75
Babino,56.22564,43.6238
Blizhne-Pesochnoye,55.3456,42.1015
Bogorodsk,56.10513,43.51294
Bogorodskiy Rayon,56.08333,43.5
Bol’sheboldinskiy Rayon,55,45.25
Bol’shoye Boldino,55.00588,45.31419
Bol’shoye Kozino,56.40397,43.71424
Bol’shoye Murashkino,55.78261,44.77541
Bor,56.35808,44.07477
Bor Urban Okrug,56.35325,44.0901
Burevestnik,56.14403,43.78832
Buturlino,55.56673,44.89738
Chernukha,55.59739,43.7556
Chistoye,56.53753,43.00445
Chkalovsk,56.76776,43.25135
Dal’nekonstantinovskiy Rayon,55.83333,44.08333
Dal’neye Konstantinovo,55.81025,44.09595
Diveyevo,55.04329,43.24178
Doschatoye,55.3886,42.1032
Dzerzhinsk,56.24143,43.45539
Frolishchi,56.42177,42.65187
Gagino,55.23142,45.03386
Gidrotorf,56.47562,43.53813
Gorbatov,56.1311,43.06363
Gorbatovka,56.25716,43.74577
Gorodets,56.65493,43.47273
Gorodetskiy Rayon,56.75,43.75
Gremyachevo,55.39193,43.02734
Ilyinogorsk,56.22775,42.95385
Imeni M. I. Kalinina,56.17926,44.33098
Imeni Stepana Razina,54.8932,44.29627
Knyaginino,55.82278,45.03489
Kovernino,57.12818,43.8135
Krasnaya Gorka,55.38666,46.10925
Krasnooktyabr’skiy Rayon,55.33333,45.58333
Krasnyye Baki,57.131,45.15992
Kstovo,56.14733,44.19787
Kulebaki,55.41333,42.5325
Linda,56.61571,44.09544
Lukino,56.44183,43.62932
Lukoyanov,55.02772,44.47865
Lukoyanovskiy Rayon,55,44.5
Lyskovo,56.03282,45.0422
Mukhtolovo,55.46751,43.19973
Mulino,56.28923,42.92005
Navashino,55.5441,42.1968
Neklyudovo,56.41421,43.97721
Nizhniy Novgorod,56.32867,44.00205
Novaya Balakhna,56.48989,43.60114
Novosmolinskiy,56.2841,43.05071
Pamyat’ Parizhskoy Kommuny,56.1048,44.4952
Pavlovo,55.9686,43.0912
Pavlovskiy Rayon,56,43
Perevoz,55.59613,44.54461
Pervomaysk,54.8689,43.80272
Pervomayskiy,56.61474,43.35825
Pervoye Maya,56.16403,44.71955
Pil’na,55.55394,45.92194
Pil’ninskiy Rayon,55.58333,45.91667
Pizhma,57.86418,47.11714
Pochinki,54.69875,44.86678
Pochinkovskiy Rayon,54.66667,44.83333
Podnov’ye,56.3061,44.09244
Prudy,57.5738,46.27176
Purekh,56.64684,43.06772
Pyra,56.29527,43.35274
Rabotki,56.04147,44.60265
Reshetikha,56.21566,43.28802
Sarov,54.93583,43.32352
Satis,54.9229,43.22977
Savasleyka,55.4606,42.3207
Sechenovo,55.22444,45.89056
Sechenovskiy Rayon,55.16667,45.91667
Semënov,56.78749,44.49297
Sergach,55.53079,45.46611
Sergachskiy Rayon,55.58333,45.5
Shakhun’ya,57.67579,46.61136
Sharanga,57.17749,46.53956
Sharangskiy Rayon,57.08333,46.41667
Shatki,55.18874,44.12486
Shimorskoye,55.3281,42.0256
Sitniki,56.45529,44.06658
Smolino,56.27526,43.09109
Sokol’skoye,57.14122,43.15895
Sosnovskiy Rayon,55.75,43.25
Sosnovskoye,55.80549,43.16791
Spasskiy Rayon,55.83333,45.75
Spasskoye,55.86048,45.69695
Sukhobezvodnoye,57.04913,44.88909
Surovatikha,55.76516,43.89845
Syava,58.01457,46.32216
Taremskoye,55.92889,43.04433
Tonkino,57.37257,46.46294
Tonshayevo,57.73598,47.01265
Tsentral’nyy,56.297,42.78869
Tumbotino,55.99926,43.02359
Urazovka,55.40126,45.6186
Uren’,57.45516,45.78522
Vacha,55.8035,42.7709
Vachskiy Rayon,55.75,42.75
Vad,55.53009,44.21137
Vakhtan,57.96592,46.68886
Varnavino,57.40351,45.09164
Varnavinskiy Rayon,57.5,44.91667
Vasil’sursk,56.13139,46.016
Vetluga,57.85574,45.78102
Vetluzhskiy,57.17355,45.12272
Vetluzhskiy Rayon,57.75,45.58333
Vilya,55.24556,42.20889
Vladimirskoye,56.82002,45.11843
Volodarsk,56.23105,43.18767
Vorotynets,56.06028,45.8633
Vorsma,55.99062,43.27249
Voskresenskiy Rayon,56.75,45.5
Voskresenskoye,56.83806,45.43167
Voznesenskoye,54.89,42.75694
Vyksa,55.3175,42.17444
Vyyezdnoye,55.38154,43.78638
Yuganets,56.2508,43.23069
Zavolzh’ye,56.64051,43.39446
Zelyony Gorod,56.17833,44.0744
