city_name,latitude,longitude
Achikulak,44.55167,44.83778
Aleksandriya,45.09472,43.24556
Aleksandriyskaya,44.22722,43.34528
Aleksandrovskoye,44.71417,43.00083
Andzhiyevskiy,44.23889,43.08556
Arzgir,45.37278,44.22056
Balakhonovskoye,44.7767,41.7842
Barsukovskaya,44.7632,41.8191
Bekeshevskaya,44.11389,42.42694
Beshpagir,45.02167,42.38083
Bezopasnoye,45.64833,41.93603
Blagodarnyy,45.09778,43.43639
Blagodatnoye,45.39972,42.58667
Borgustanskaya,44.0547,42.5288
Budënnovsk,44.78389,44.16583
Burlatskoye,45.05639,43.635
Chernolesskoye,44.71556,43.71333
Divnoye,45.90889,43.35472
Dmitriyevskoye,45.80529,41.89667
Donskoye,45.45518,41.97411
Edissiya,44.05111,44.54083
Etoka,43.91944,43.04833
Galyugayevskaya,43.69694,44.93444
Georgiyevsk,44.15194,43.46972
Georgiyevskaya,44.11139,43.49222
Gofitskoye,45.07917,43.04639
Goryachevodskiy,44.02361,43.09222
Grazhdanskoye,44.23,42.7698
Grecheskoye,44.43053,43.0083
Grigoropolisskaya,45.29722,41.05667
Inozemtsevo,44.09264,43.09113
Ipatovo,45.71806,42.90361
Irgakly,44.36111,44.75556
Ivanovskoye,44.5795,41.8764
Izobil’nyy,45.37092,41.70839
Kalinovskoye,44.8635,42.9622
Kangly,44.25444,43.03083
Kara-Tyube,44.63361,45.43694
Kayasula,44.325,45
Kevsala,45.79833,42.69028
Kislovodsk,43.91333,42.72083
Kochubeyevskoye,44.64417,41.84528
Komsomolets,44.01972,43.56972
Konstantinovskaya,44.04556,43.15833
Konstantinovskoye,45.29917,42.63667
Krasnogvardeyskoye,45.84604,41.51885
Krasnokumskoye,44.17806,43.50194
Kruglolesskoye,44.65889,42.81417
Kursavka,44.4564,42.5093
Kurskaya,44.05,44.45
Ladovskaya Balka,45.62965,41.40231
Lermontov,44.10667,42.97333
Letnyaya Stavka,45.43056,43.44722
Levokumka,44.23167,43.15
Levokumskoye,44.82194,44.66056
Lysogorskaya,44.10639,43.27556
Mikhaylovsk,45.12833,42.02556
Mineralnye Vody,44.21028,43.13528
Moskovskoye,45.2842,41.9103
Nadezhda,44.1,44.6
Nagutskoye,44.4415,42.8762
Neftekumsk,44.75583,44.9925
Nevinnomyssk,44.6333,41.9444
Nezhinskiy,43.92833,42.68556
Nezlobnaya,44.11806,43.40278
Niny,44.48778,43.94889
Novoaleksandrovsk,45.4948,41.22075
Novoblagodarnoye,44.14333,42.875
Novopavlovsk,43.96222,43.63417
Novoselitskoye,44.75083,43.43694
Novoterskiy,44.14861,43.0925
Novotroitskaya,45.32667,41.52528
Novozavedennoye,44.26278,43.63806
Orlovka,44.69139,44.17444
Otkaznoye,44.32639,43.86083
Ovoshchi,45.36639,43.32333
Pelagiada,45.20639,42.02361
Podgornaya,44.20306,43.42972
Podkumskiy,44.07556,43.21028
Pokoynoye,44.80972,44.25167
Praskoveya,44.74444,44.20306
Pravokumskoye,44.76944,44.64722
Pregradnoye,45.82183,41.74692
Pyatigorsk,44.04861,43.05944
Pyatigorskiy,43.97417,43.25833
Rasshevatskaya,45.5748,41.03496
Ryzdvyanyy,45.2656,41.8389
Severnoye,44.83194,42.85833
Soldato-Aleksandrovskoye,44.26528,43.75611
Solomenskoye,44.21667,44.35278
Soluno-Dmitriyevskoye,44.4074,42.724
Sotnikovskoye,45.00389,43.77722
Sovetskaya,44.02667,44.05
Spitsevka,45.12306,42.5125
Starodubskoye,44.56306,44.01528
Staropavlovskaya,43.84889,43.63278
Stavropol’,45.0428,41.9734
Stepnoye,44.27083,44.585
Sukhaya Buyvola,45.15333,42.99556
Suvorovskaya,44.1901,42.6595
Svetlograd,45.33528,42.85472
Svobody,44.02556,43.05028
Tatarka,44.95889,41.95171
Temizhbekskaya,45.45078,41.03866
Tishchenskoye,45.46056,41.67382
Trunovskoye,45.48778,42.13583
Urozhaynoye,44.78833,44.92278
Vinsady,44.08083,42.96528
Vostochny,44.31494,44.19637
Vysotskoye,45.025,42.90639
Yasnaya Polyana,44.0225,42.7539
Yelizavetinskoye,45.00722,43.34944
Yessentuki,44.04444,42.86056
Yessentukskaya,44.0328,42.8813
Yutsa,43.95639,43.01278
Zaterechnyy,44.79306,45.20972
Zavetnoye,44.7492,41.5995
Zelenokumsk,44.40694,43.88056
Zheleznovodsk,44.13944,43.01972
Zmeyka,44.14278,43.12083
