city_name,latitude,longitude
Achit,56.7985,57.8994
Alapayevsk,57.85158,61.69627
Aramil,56.6977,60.8369
Artëmovskiy,57.3555,61.86865
Arti,56.42344,58.53276
Asbest,57.00993,61.45776
Asbestovskiy,57.75574,61.39672
Atig,56.69307,59.42271
Azanka,58.04012,64.78927
Baraba,56.75,61.76667
Baranchinskiy,58.1617,59.6991
Baykalovo,57.39811,63.76841
Beloyarskiy,56.7584,61.4143
Beryozovsky,56.9083,60.8019
Bilimbay,56.96889,59.8149
Bisert’,56.86174,59.05231
Bobrovskiy,56.6732,60.9807
Bogdanovich,56.78028,62.04944
Bulanash,57.27825,61.9965
Butka,56.71788,63.78661
Cherëmukhovo,60.34842,59.98507
Chernoistochinsk,57.73639,59.87194
Degtyarsk,56.704,60.0879
Druzhinino,56.78945,59.51428
Dvurechensk,56.5982,61.0953
Gari,59.43075,62.34967
Gornyy Shchit,56.68815,60.51947
Gryaznovskoye,56.7825,61.7053
Irbit,57.67052,63.071
Is,58.7909,59.7179
Iset’,56.9779,60.3718
Istok,56.79086,60.77889
Ivdel’,60.69111,60.42056
Izumrud,57.07881,61.39932
Kachkanar,58.7002,59.4839
Kalinovo,57.1317,60.1464
Kamensk-Ural’skiy,56.4185,61.9329
Kamyshlov,56.84278,62.71111
Karpinsk,59.7703,59.9964
Karpushikha,57.50167,59.89556
Kedrovoye,57.1576,60.5698
Kirovgrad,57.42972,60.05972
Klyuchevsk,57.1216,60.9414
Krasnogvardeyskiy,57.37928,62.31952
Krasnotur’insk,59.7666,60.2086
Krasnoufimsk,56.60585,57.76686
Krasnoural’sk,58.3638,60.0407
Kushva,58.29056,59.75917
Kuzino,57.0224,59.4412
Lesnoy,57.6198,63.0784
Levikha,57.58361,59.90028
Lobva,59.18538,60.51846
Losinyy,57.13862,61.06663
Lugovskoy,56.95849,64.52897
Malysheva,57.11851,61.40345
Martyush,56.4,61.88194
Mikhaylovsk,56.43583,59.12
Monetnyy,57.0472,60.8794
Nev’yansk,57.4953,60.2112
Neyvo-Rudyanka,57.3444,60.1343
Neyvo-Shaytanskiy,57.7286,61.24956
Nikolo-Pavlovskoye,57.78306,60.05778
Nizhniye Sergi,56.66139,59.30333
Nizhny Tagil,57.91944,59.965
Nizhnyaya Irga,56.8669,57.422
Nizhnyaya Salda,58.07756,60.7202
Nizhnyaya Tura,58.6293,59.8118
Novaya Lyalya,59.05503,60.59899
Novoasbest,57.74225,60.28773
Novoural’sk,57.24389,60.08389
Novoutkinsk,56.99295,59.55714
Obukhovskoye,56.8345,62.612
Ous,60.90583,61.51861
Pelym,61.01083,61.99778
Pervoural’sk,56.90528,59.94361
Petrokamenskoye,57.716,60.6484
Pokrovskoye,56.4704,61.6092
Polevskoy,56.44222,60.18778
Polunochnoye,60.86972,60.41528
Pyshma,56.95226,63.25129
Reftinskiy,57.09013,61.67692
Revda,56.80097,59.93028
Rezh,57.37005,61.40428
Rudnichnyy,59.70118,60.28817
Sarana,56.47728,57.72586
Serov,59.60334,60.5787
Severka,56.8688,60.3015
Severoural’sk,60.15328,59.95205
Shabrovskiy,56.63597,60.58065
Shalya,57.2471,58.7298
Shamary,57.3434,58.21988
Shchelkun,56.30338,60.94831
Shirokaya Rechka,56.79858,60.48522
Shuvakish,56.9187,60.47727
Sos’va,59.17662,61.85579
Sovkhoznyy,56.5599,61.426
Sredneuralsk,56.98921,60.46662
Staropyshminsk,56.93867,60.90295
Staroutkinsk,57.23017,59.33483
Sukhoy Log,56.9094,62.0296
Svobodnyy,58.03972,60.39611
Sylva,57.3092,58.7734
Sysert’,56.50243,60.81917
Sysertskiy Rayon,56.5,60.75
Tabory,58.51982,64.54947
Talitsa,57.01095,63.73254
Tavda,58.04254,65.27258
Tretiy Severnyy,60.20861,59.96111
Troitskiy,57.06028,63.74811
Tsementnyy,57.4693,60.1536
Tugulym,57.05906,64.64251
Turinsk,58.04575,63.69605
Turinskaya Sloboda,57.6232,64.38575
Ufimskiy,56.7084,58.0517
Uralets,57.6614,59.6497
Valerianovsk,58.7608,59.5596
Verkh-Neyvinskiy,57.27013,60.13762
Verkhneye Dubrovo,56.7528,61.0468
Verkhniy Tagil,57.3733,59.9556
Verkhniye Sergi,56.64694,59.55556
Verkhnyaya Pyshma,56.97047,60.58219
Verkhnyaya Salda,58.04874,60.55949
Verkhnyaya Sinyachikha,57.97604,61.66733
Verkhnyaya Sysert’,56.44012,60.75563
Verkhnyaya Tura,58.36083,59.80667
Verkhotur’ye,58.86271,60.80536
Visim,57.6488,59.5014
Volchansk,59.9378,60.081
Vostochnyy,58.79991,61.81391
Yekaterinburg,56.8519,60.6122
Yelanskiy,56.8419,62.5014
Yëlkino,58.6922,59.832
Yertarskiy,56.79016,64.29952
Yushala,57.07611,64.26011
Zarechnyy,56.811,61.3254
Zavodouspenskoye,56.86256,65.01553
Zaykovo,57.5613,62.75681
Zyuzel’skiy,56.4856,60.1331
