city_name,latitude,longitude
Agryz,56.52034,52.99422
Agryzskiy Rayon,56.25,52.83333
Aksubayevskiy Rayon,54.83333,50.83333
Aktanysh,55.72156,54.08293
Aktanyshskiy Rayon,55.75,53.83333
Aktyubinskiy,54.81372,52.80559
Al’keyevskiy Rayon,54.91667,50
Al’met’yevsk,54.90442,52.3154
Al’met’yevskiy Rayon,54.91667,52.41667
Alekseyevskiy Rayon,55.16667,50
Alekseyevskoye,55.30706,50.11353
Apastovo,55.20293,48.51091
Apastovskiy Rayon,55.25,48.5
Arsk,56.09151,49.87783
Arskiy Rayon,56.16667,49.91667
Atninskiy Rayon,56.25,49.41667
Aysha,55.87035,48.63187
Aznakayevskiy Rayon,54.91667,53
Baltasi,56.3462,50.2062
Baltasinskiy Rayon,56.33333,50.25
Bavlinskiy Rayon,54.25,53.25
Bavly,54.39304,53.26023
Bazarnyye Mataki,54.88333,49.93333
Bilyarsk,54.98358,50.38671
Bogatyye Saby,56.0102,50.4483
Bolgar,54.95,49.06667
Bugul’ma,54.5378,52.7985
Bugul’minskiy Rayon,54.58333,52.91667
Buinsk,54.97119,48.29184
Buinskiy Rayon,55,48.25
Cheremshan,54.66667,51.5
Cheremshanskiy Rayon,54.75,51.5
Chistopol’,55.36311,50.64244
Chistopol’skiy Rayon,55.33333,50.75
Drozhzhanovskiy Rayon,54.75,47.58333
Dzhalil’,55.0239,52.7358
Gorod Buinsk,54.96694,48.285
Gorod Kazan’,55.75,49.13333
Gorod Nizhnekamsk,55.63333,51.81667
Gorod Yelabuga,55.75,52.06667
Gorod Zainsk,55.31667,52.05
Gorod Zelënodol’sk,55.83333,48.5
Kamsko-Ust’inskiy Rayon,55.16667,49
Karabash,54.693,52.58359
Kaybitskiy Rayon,55.41667,48.16667
Kazan,55.78874,49.12214
Kukmor,56.1855,50.8944
Kukmorskiy Rayon,56.25,50.66667
Kuybyshevskiy Zaton,55.1593,49.1701
Laishevo,55.40464,49.55037
Laishevskiy Rayon,55.5,49.58333
Leninogorsk,54.60256,52.46087
Leninogorskiy Rayon,54.58333,52.08333
Lubyany,56.0378,51.40001
Mamadysh,55.71525,51.40797
Mamadyshskiy Rayon,55.66667,51.25
Mendeleyevsk,55.90819,52.29047
Mendeleyevskiy Rayon,55.91667,52.33333
Menzelinsk,55.72706,53.10258
Menzelinskiy Rayon,55.75,53
Muslyumovo,55.30333,53.19472
Muslyumovskiy Rayon,55.25,53.25
Naberezhnyye Chelny,55.72545,52.41122
Nizhnekamsk,55.63657,51.82447
Nizhnekamskiy Rayon,55.41667,51.58333
Nizhniye Vyazovyye,55.79877,48.52476
Nizhnyaya Maktama,54.86356,52.4281
Novosheshminsk,55.06513,51.23376
Novosheshminskiy Rayon,55.08333,51.25
Nurlat,54.42766,50.80511
Nurlatskiy rayon,54.5,50.75
Osinovo,55.8809,48.881
Pestrechinskiy Rayon,55.75,49.75
Pestretsy,55.75313,49.65454
Russkiy Aktash,55.0384,52.1214
Rybnaya Sloboda,55.46129,50.1409
Rybno-Slobodskiy Rayon,55.58333,50.16667
Sabinskiy Rayon,56,50.5
Sarmanovo,55.25529,52.58907
Sarmanovskiy Rayon,55.25,52.58333
Shemordan,56.1856,50.3972
Shugurovo,54.50828,52.13265
Spasskiy Rayon,55,49.5
Staroye Arakchino,55.8041,48.9709
Staroye Drozhzhanoye,54.72657,47.56766
Stolbishchi,55.64679,49.21595
Sviyazhsk,55.77329,48.66051
Tetyushi,54.93821,48.83656
Tetyushskiy Rayon,55,48.75
Tukayevskiy Rayon,55.66667,52.25
Tyulyachi,55.89125,50.23992
Tyulyachinskiy Rayon,55.91667,50.25
Urussu,54.59812,53.46313
Vasil’yevo,55.83595,48.6582
Verkhneuslonskiy Rayon,55.66667,48.75
Verkhniy Uslon,55.7701,48.9823
Vysokaya Gora,55.91278,49.30167
Vysokogorskiy Rayon,55.9,49.31667
Yelabuga,55.76127,52.06493
Yelabuzhskiy Rayon,55.83333,51.83333
Yutazinskiy Rayon,54.66667,53.5
Zainsk,55.3195,52.06942
Zainskiy Rayon,55.3,52
Zelenodol’skiy Rayon,55.91667,48.75
Zelenodolsk,55.84376,48.51784
