city_name,latitude,longitude
Aleksandrovskoye,56.74083,85.39056
Asino,56.99987,86.14393
Bakchar,57.01861,82.07111
Belyy Yar,58.44472,85.0425
Bogashevo,56.36798,85.14414
Kaltay,56.27917,84.87861
Kargasok,59.05556,80.85722
Kedrovyy,57.51972,79.51556
Kolpashevo,58.31306,82.90889
Kozhevnikovo,56.25889,83.97139
Krasnyy Yar,57.1275,84.53028
Krivosheino,57.34306,83.92611
Mel’nikovo,56.55738,84.0835
Molchanovo,57.58167,83.76917
Molchanovskiy Rayon,57.75,84.33333
Moryakovskiy Zaton,56.69448,84.65145
Parabel’,58.69778,81.4825
Pervomayskoye,57.0761,86.2313
Podgornoye,57.78861,82.65194
Samus’,56.74482,84.70422
Seversk,56.60056,84.88639
Strezhevoy,60.7333,77.5889
Svetlyy,56.91667,85.96667
Tegul’det,57.30679,88.16004
Tegul’detskiy Rayon,57.5,88.16667
Timiryazevskoye,56.48988,84.87795
Togur,58.3631,82.8265
Tomsk,56.49771,84.97437
Tomskiy Rayon,56.5,84.66667
Zyryanskoye,56.83058,86.62734
