city_name,latitude,longitude
Ak-Dovurak,51.18333,90.6
Balgazyn,51,95.2
Bay-Khaak,51.16105,94.46371
Chadan,51.28333,91.58333
Erzin,50.26,95.1623
Kaa-Khem,51.68333,94.73333
Khandagayty,50.73333,92.05
Khovu-Aksy,51.13294,93.71286
Kungurtug,50.59944,97.52278
Kyzyl,51.71081,94.45338
Kyzyl-Khaya,50.04986,89.87821
Kyzyl-Mazhalyk,51.14594,90.5808
Mugur-Aksy,50.38072,90.43739
Samagaltay,50.6022,95.0047
Saryg-Sep,51.49074,95.56081
Shagonar,51.534,92.93164
Sukpak,51.66667,94.63333
Sut-Khol’,51.40698,91.29244
Teeli,51.01398,90.20535
Toora-Khem,52.46556,96.11796
Turan,52.1449,93.91887
