city_name,latitude,longitude
Barysh,53.65533,47.11229
Bazarnyy Syzgan,53.75117,46.75354
Cherdaklinskiy Rayon,54.25,48.83333
Cherdakly,54.3594,48.84497
Chufarovo,54.0963,47.3367
Dimitrovgrad,54.21386,49.61838
Glotovka,53.94906,46.70422
Ignatovka,53.94787,47.6536
Imeni Vladimira Il’icha Lenina,53.56422,46.9801
Inza,53.85672,46.35622
Isheyevka,54.42789,48.26675
Izmaylovo,53.72114,47.24581
Kanadey,53.16786,47.52644
Karsun,54.19941,46.9827
Krasnyy Gulyay,54.02821,48.33327
Kuzovatovo,53.54681,47.68659
Mayna,54.1135,47.6231
Maynskiy Rayon,54.16667,47.66667
Mirnyy,54.36607,48.72939
Mullovka,54.2,49.4
Nikolayevka,53.1257,47.2041
Novaya Malykla,54.2,49.95
Novaya Mayna,54.15,49.75
Novocheremshansk,54.35714,50.16662
Novospasskoye,53.14683,47.75138
Novoul’yanovsk,54.14961,48.38907
Pavlovka,52.68966,47.14046
Pavlovskiy Rayon,52.66667,47.08333
Radishchevo,52.85459,47.87644
Sengiley,53.96222,48.79444
Silikatnyy,53.98957,48.32749
Staraya Kulatka,52.72778,47.61788
Staraya Mayna,54.60417,48.93056
Starokulatkinskiy Rayon,52.75,47.5
Starotimoshkino,53.71908,47.53116
Surskoye,54.4821,46.7214
Teren’gul’skiy Rayon,53.75,48.25
Tsil’na,54.59533,48.1414
Tsil’ninskiy Rayon,54.58333,48
Ulyanovsk,54.32824,48.38657
Ulyanovskiy Rayon,54.33528,48.01694
Undory,54.60849,48.39276
Veshkayma,54.0472,47.13
Yazykovo,54.2922,47.3891
Zhadovka,53.57464,46.94985
