city_name,latitude,longitude
Acalanes Ridge,37.90472,-122.07857
Acton,34.46999,-118.19674
Adelanto,34.58277,-117.40922
Agoura,34.14306,-118.73787
Agoura Hills,34.13639,-118.77453
Agua Dulce,34.49638,-118.32563
Aguanga,33.44281,-116.86502
Ahwahnee,37.3655,-119.72627
Alameda,37.76521,-122.24164
Alameda County,37.65055,-121.91789
Alamo,37.8502,-122.03218
Albany,37.88687,-122.29775
Alhambra,34.09529,-118.12701
Aliso Viejo,33.56504,-117.72712
Allendale,38.44463,-121.94302
Alondra Park,33.88946,-118.33091
Alpaugh,35.88773,-119.48734
Alpine,32.83505,-116.76641
Alpine County,38.59725,-119.82065
Alta Sierra,35.73126,-118.5539
Altadena,34.18973,-118.13118
Alturas,41.48714,-120.54349
Alum Rock,37.36605,-121.82718
Amador,38.44639,-120.65112
American Canyon,38.17492,-122.2608
Amesti,36.96356,-121.77912
Anaheim,33.83529,-117.9145
Anderson,40.44821,-122.29778
Angels Camp,38.06826,-120.53965
Angwin,38.57574,-122.44998
Antelope,38.70824,-121.32995
Antioch,38.00492,-121.80579
Anza,33.55503,-116.67363
Apple Valley,34.50083,-117.18588
Aptos,36.97717,-121.8994
Aptos Hills-Larkin Valley,36.96064,-121.83404
Arbuckle,39.0174,-122.05775
Arcadia,34.13973,-118.03534
Arcata,40.86652,-124.08284
Arden-Arcade,38.6025,-121.37854
Armona,36.31578,-119.70846
Arnold,38.25547,-120.35103
Aromas,36.88856,-121.643
Arroyo Grande,35.11859,-120.59073
Artesia,33.86585,-118.08312
Arvin,35.20913,-118.82843
Ashland,37.69465,-122.11385
Atascadero,35.48942,-120.67073
Atherton,37.46133,-122.19774
Atwater,37.34772,-120.60908
Auberry,37.08078,-119.48541
Auburn,38.89657,-121.07689
Auburn Lake Trails,38.91434,-120.95244
August,37.97881,-121.26217
Avalon,33.34281,-118.32785
Avenal,36.00412,-120.12903
Avila Beach,35.17998,-120.73184
Avocado Heights,34.03612,-117.99118
Azusa,34.13362,-117.90756
Bakersfield,35.37329,-119.01871
Baldwin Park,34.08529,-117.9609
Banning,33.92557,-116.87641
Barstow,34.89859,-117.02282
Barstow Heights,34.86971,-117.05615
Bay Point,38.02909,-121.96163
Bayside,40.84235,-124.06367
Bayview,40.77263,-124.18395
Beale Air Force Base,39.10917,-121.35444
Bear Valley Springs,35.15913,-118.62842
Beaumont,33.92946,-116.97725
Bell,33.97751,-118.18702
Bell Gardens,33.96529,-118.15146
Bella Vista,40.64071,-122.2325
Bellflower,33.88168,-118.11701
Belmont,37.52021,-122.2758
Belvedere,37.8727,-122.46442
Ben Lomond,37.08911,-122.08635
Benicia,38.04937,-122.15858
Berkeley,37.87159,-122.27275
Bermuda Dunes,33.7428,-116.28918
Berry Creek,39.64516,-121.4033
Bertsch-Oceanview,41.7525,-124.15875
Bethel Island,38.01492,-121.64051
Beverly Hills,34.07362,-118.40036
Big Bear City,34.26112,-116.84503
Big Bear Lake,34.2439,-116.91142
Big Pine,37.16493,-118.28955
Big River,34.14002,-114.36134
Biggs,39.41239,-121.71275
Biola,36.80217,-120.01627
Bishop,37.36354,-118.39511
Black Point-Green Point,38.11547,-122.51318
Blackhawk,37.82076,-121.90774
Bloomington,34.07029,-117.39588
Blue Lake,40.88291,-123.98395
Blythe,33.6103,-114.59635
Bodega Bay,38.33325,-123.04806
Bodfish,35.58801,-118.49203
Bolinas,37.90937,-122.68637
Bonadelle Ranchos-Madera Ranchos,36.98467,-119.87463
Bonita,32.65783,-117.03003
Bonny Doon,37.04162,-122.15052
Bonsall,33.28892,-117.22559
Boonville,39.00907,-123.36612
Boron,34.99942,-117.64978
Boronda,36.69885,-121.67495
Borrego Springs,33.25587,-116.37501
Bostonia,32.80755,-116.93642
Boulder Creek,37.12606,-122.12219
Boyes Hot Springs,38.3138,-122.48193
Boyle Heights,34.0339,-118.20535
Bradbury,34.14695,-117.9709
Brawley,32.97866,-115.53027
Brea,33.91668,-117.90006
Brentwood,37.93187,-121.69579
Bret Harte,37.60207,-121.00519
Bridgeport,38.25575,-119.23127
Brisbane,37.68077,-122.39997
Broadmoor,37.6866,-122.48275
Brookdale,37.10634,-122.10608
Brooktrails,39.44377,-123.38529
Buckhorn,38.45216,-120.52854
Buellton,34.6136,-120.19265
Buena Park,33.86751,-117.99812
Buena Vista,37.32133,-121.91662
Burbank,34.18084,-118.30897
Burlingame,37.5841,-122.36608
Burney,40.88238,-121.66082
Butte,39.66693,-121.60067
Buttonwillow,35.40052,-119.46956
Byron,37.86715,-121.63801
Bystrom,37.62076,-120.98577
Cabazon,33.91752,-116.78724
Calabasas,34.15778,-118.63842
Calaveras,38.20461,-120.55413
Calexico,32.67895,-115.49888
California City,35.1258,-117.9859
Calimesa,34.0039,-117.06198
Calipatria,33.1256,-115.51415
Calistoga,38.5788,-122.57971
Callender,35.05303,-120.59628
Camarillo,34.21639,-119.0376
Cambria,35.56414,-121.08075
Cambrian Park,37.25689,-121.93079
Cameron Park,38.66879,-120.98716
Camino,38.73824,-120.67493
Camp Meeker,38.42519,-122.95944
Camp Pendleton North,33.31465,-117.31603
Camp Pendleton South,33.22844,-117.37929
Campbell,37.28717,-121.94996
Campo,32.60645,-116.46891
Canoga Park,34.20112,-118.59814
Canyon Lake,33.68502,-117.27309
Capitola,36.97523,-121.95329
Carlsbad,33.15809,-117.35059
Carmel Valley Village,36.50605,-121.76594
Carmel-by-the-Sea,36.55524,-121.92329
Carmichael,38.61713,-121.32828
Carpinteria,34.39888,-119.51846
Carson,33.83141,-118.28202
Caruthers,36.54273,-119.8332
Casa Conejo,34.18362,-118.94343
Casa de Oro-Mount Helix,32.76397,-116.96877
Castaic,34.48888,-118.62287
Castro Valley,37.6941,-122.08635
Castroville,36.76579,-121.758
Cathedral City,33.77974,-116.46529
Cayucos,35.44275,-120.89213
Cedar Ridge,38.06576,-120.27686
Central Valley (historical),40.68043,-122.37112
Century City,34.05557,-118.41786
Ceres,37.59493,-120.95771
Cerritos,33.85835,-118.06479
Challenge-Brownsville,39.46447,-121.26338
Channel Islands Beach,34.15806,-119.22316
Charter Oak,34.10306,-117.84589
Chatsworth,34.25723,-118.6012
Cherry Valley,33.97252,-116.97725
Cherryland,37.67938,-122.1033
Chester,40.30627,-121.23191
Chico,39.72849,-121.83748
China Lake Acres,35.64051,-117.76395
Chinatown,37.7966,-122.40858
Chino,34.01223,-117.68894
Chino Hills,33.9938,-117.75888
Chowchilla,37.123,-120.26018
Chualar,36.57052,-121.51855
Chula Vista,32.64005,-117.0842
Citrus,34.11501,-117.89173
Citrus Heights,38.70712,-121.28106
City and County of San Francisco,37.77823,-122.4425
City of Industry,34.01583333,-117.95083333
Claremont,34.09668,-117.71978
Clay,38.33602,-121.15939
Clayton,37.94103,-121.93579
Clear Lake Riviera,38.95406,-122.72082
Clearlake,38.95823,-122.62637
Clearlake Oaks,39.02628,-122.67193
Cloverdale,38.80546,-123.01722
Clovis,36.82523,-119.70292
Coachella,33.6803,-116.17389
Coalinga,36.13968,-120.36015
Coarsegold,37.26217,-119.70098
Cobb,38.82213,-122.72305
Colfax,39.10073,-120.95328
Collierville,38.21464,-121.26884
Colma,37.67688,-122.45969
Colton,34.0739,-117.31365
Columbia,38.03631,-120.40131
Colusa,39.21433,-122.00942
Colusa County,39.17757,-122.23703
Commerce,34.00057,-118.15979
Compton,33.89585,-118.22007
Concord,37.97798,-122.03107
Contra Costa,37.92342,-121.95121
Contra Costa Centre,37.92752,-122.05786
Cool,38.88722,-121.01472
Copperopolis,37.98104,-120.64187
Corcoran,36.09801,-119.5604
Corning,39.92766,-122.17916
Corona,33.87529,-117.56644
Coronado,32.68589,-117.18309
Corralitos,36.98856,-121.80634
Corte Madera,37.92548,-122.52748
Costa Mesa,33.64113,-117.91867
Cotati,38.32686,-122.70721
Coto De Caza,33.60419,-117.58699
Cottonwood,40.38571,-122.28084
Country Club,37.96881,-121.34078
Covelo,39.79327,-123.24922
Covina,34.09001,-117.89034
Crescent City,41.75595,-124.20175
Crest,32.80727,-116.86808
Crestline,34.24195,-117.2856
Crockett,38.05242,-122.21302
Cudahy,33.96057,-118.18535
Culver City,34.02112,-118.39647
Cupertino,37.323,-122.03218
Cutler,36.52328,-119.28678
Cutten,40.76985,-124.14284
Cypress,33.81696,-118.03729
Daly City,37.70577,-122.46192
Dana Point,33.46697,-117.69811
Danville,37.82159,-121.99996
Davis,38.54491,-121.74052
Day Valley,37.03578,-121.86246
Deer Park,38.68185,-120.82327
Del Aire,33.91613,-118.36952
Del Mar,32.95949,-117.26531
Del Monte Forest,36.58635,-121.94746
Del Norte,41.74496,-123.95781
Del Rey,36.65912,-119.59374
Del Rey Oaks,36.59329,-121.83495
Del Rio,37.74354,-121.01188
Delano,35.76884,-119.24705
Delhi,37.43216,-120.77854
Denair,37.52632,-120.79687
Descanso,32.85283,-116.61585
Desert Edge,33.92417,-116.44139
Desert Hot Springs,33.96173,-116.50353
Desert Shores,33.4042,-116.03972
Desert View Highlands,34.59082,-118.15257
Diablo,37.83493,-121.95801
Diamond Bar,34.02862,-117.81034
Diamond Springs,38.69463,-120.81494
Dinuba,36.54328,-119.38707
Discovery Bay,37.90854,-121.60023
Dixon,38.44546,-121.8233
Dixon Lane-Meadow Creek,37.38639,-118.41527
Dogtown,38.21381,-121.08855
Dollar Point,39.18796,-120.09991
Dos Palos,36.98606,-120.62657
Downey,33.94001,-118.13257
Downieville,39.55934,-120.82689
Duarte,34.13945,-117.97729
Dublin,37.70215,-121.93579
Dunnigan,38.88518,-121.96969
Dunsmuir,41.20821,-122.27195
Durham,39.64627,-121.79998
Earlimart,35.88412,-119.27233
East Foothills,37.38105,-121.81745
East Hemet,33.74002,-116.93891
East La Mirada,33.92446,-117.98895
East Los Angeles,34.0239,-118.17202
East Oakdale,37.78798,-120.80382
East Palo Alto,37.46883,-122.14108
East Pasadena,34.13814,-118.07384
East Porterville,36.05745,-118.97566
East Quincy,39.93406,-120.89801
East Rancho Dominguez,33.89807,-118.19535
East Richmond Heights,37.94492,-122.31358
East San Gabriel,34.09168,-118.09118
East Sonora,37.9777,-120.3613
Easton,36.65023,-119.7907
Eastvale,33.96358,-117.56418
Echo Park,34.07808,-118.26066
Edwards Air Force Base,34.91637,-117.93535
El Cajon,32.79477,-116.96253
El Centro,32.792,-115.56305
El Cerrito,37.91576,-122.31164
El Cerrito Corona,33.84057,-117.52283
El Dorado,38.77874,-120.52465
El Dorado Hills,38.68574,-121.08217
El Granada,37.50272,-122.46942
El Monte,34.06862,-118.02757
El Rio,34.23578,-119.16383
