city_name,latitude,longitude
Ansonia,41.34621,-73.079
Baltic,41.61704,-72.08452
Berlin,41.622234,-72.773628
Bethel,41.37121,-73.41401
Bethlehem Village,41.6401,-73.20308
Blue Hills,41.81288,-72.69759
Branford,41.27954,-72.8151
Branford Center,41.27738,-72.81511
Bridgeport,41.17923,-73.18945
Bristol,41.67176,-72.94927
Byram,41.00426,-73.65374
Canaan,42.02731,-73.32928
Canton Valley,41.83426,-72.89177
Central Waterford,41.34504,-72.12948
Cheshire,41.49899,-72.90066
Chester Center,41.40132,-72.4527
City of Milford (balance),41.22374,-73.06164
Clinton,41.27871,-72.52759
Colchester,41.57565,-72.33203
Collinsville,41.81288,-72.9201
Conning Towers-Nautilus Park,41.38548,-72.06877
Cos Cob,41.03343,-73.59957
Coventry Lake,41.77232,-72.33258
Cromwell,41.5951,-72.64537
Crystal Lake,41.93176,-72.37842
Danbury,41.39482,-73.45401
Danielson,41.8026,-71.88591
Darien,41.07871,-73.46929
Deep River Center,41.38221,-72.43862
Derby,41.32065,-73.089
Durham,41.48176,-72.68121
East Brooklyn,41.79677,-71.89729
East Haddam,41.45315,-72.4612
East Hampton,41.57593,-72.50259
East Hartford,41.78232,-72.61203
East Haven,41.27621,-72.86843
East Norwalk,41.10565,-73.39845
East Windsor,41.91232,-72.54509
Easton,41.25287,-73.29734
Ellington,41.90399,-72.46981
Enfield,41.97621,-72.59176
Essex Village,41.35544,-72.39101
Fairfield,41.14121,-73.26373
Fairfield County,41.22496,-73.3712
Farmington,41.71982,-72.83204
Gales Ferry,41.42982,-72.08202
Georgetown,41.25565,-73.43484
Glastonbury,41.71232,-72.60815
Glastonbury Center,41.70093,-72.59953
Glenville,41.03538,-73.65985
Greenwich,41.02649,-73.62846
Groton,41.3501,-72.07841
Guilford,41.28899,-72.68176
Guilford Center,41.28156,-72.67619
Hamden,41.39593,-72.89677
Hartford,41.76371,-72.68509
Hartford County,41.80642,-72.73284
Hazardville,41.98732,-72.54481
Hebron,41.65788,-72.36592
Heritage Village,41.48565,-73.23789
Higganum,41.49704,-72.55703
Jewett City,41.60677,-71.98091
Kensington,41.63538,-72.76871
Kent,41.72482,-73.47707
Killingly Center,41.83871,-71.86924
Lake Pocotopaug,41.59843,-72.51037
Ledyard,41.43982,-72.01424
Lisbon,41.60399,-72.01174
Litchfield,41.74732,-73.18872
Litchfield County,41.79249,-73.24532
Long Hill,41.35399,-72.0523
Madison,41.27954,-72.59843
Madison Center,41.27925,-72.60048
Manchester,41.77593,-72.52148
Mansfield City,41.76593,-72.23369
Meriden,41.53815,-72.80704
Middlebury,41.52787,-73.12761
Middlesex County,41.43538,-72.52312
Middletown,41.56232,-72.65065
Milford,41.22232,-73.0565
Montville Center,41.47899,-72.15119
Moodus,41.50288,-72.45009
Moosup,41.71288,-71.88091
Mystic,41.35427,-71.96646
Naugatuck,41.48593,-73.05066
New Britain,41.66121,-72.77954
New Canaan,41.14676,-73.49484
New Fairfield,41.46648,-73.48568
New Hartford Center,41.87996,-72.9753
New Haven,41.30815,-72.92816
New Haven County,41.34882,-72.89986
New London,41.35565,-72.09952
New London County,41.46678,-72.1065
New Milford,41.57704,-73.40845
New Preston,41.6751,-73.35179
Newington,41.69788,-72.72371
Newtown,41.41398,-73.30345
Niantic,41.32538,-72.19313
Noank,41.32788,-71.99063
North Branford,41.3276,-72.76732
North Granby,41.99593,-72.82954
North Grosvenor Dale,41.98565,-71.89868
North Haven,41.39093,-72.85954
North Stamford,41.13815,-73.54346
Northwest Harwinton,41.77685,-73.07922
Norwalk,41.1176,-73.4079
Norwich,41.52426,-72.07591
Oakville,41.59343,-73.08539
Old Greenwich,41.02287,-73.56485
Old Mystic,41.39149,-71.96174
Old Saybrook,41.29177,-72.3762
Old Saybrook Center,41.2915,-72.36528
Orange,41.27843,-73.02566
Oxford,41.43399,-73.11678
Oxoboxo River,41.44391,-72.12502
Pawcatuck,41.37732,-71.83368
Pemberwick,41.02565,-73.66068
Plainfield,41.67649,-71.91507
Plainville,41.67454,-72.85816
Plymouth,41.67204,-73.05289
Poquonock Bridge,41.3451,-72.0248
Portland,41.57288,-72.64065
Preston City,41.52899,-71.97396
Prospect,41.50232,-72.97872
Putnam,41.9151,-71.90896
Quinebaug,42.02371,-71.9498
Ridgefield,41.28148,-73.49818
Riverside,41.03371,-73.57818
Rockville,41.86676,-72.44953
Salem,41.49038,-72.27536
Salmon Brook,41.95649,-72.79537
Saybrook Manor,41.28538,-72.39897
Seymour,41.39676,-73.07594
Shelton,41.31649,-73.09316
Sherman,41.57926,-73.49568
Sherwood Manor,42.01343,-72.56425
Simsbury Center,41.88088,-72.81116
Somers,41.98537,-72.4462
South Coventry,41.7701,-72.30508
South Windham,41.67954,-72.17036
South Windsor,41.82371,-72.6212
South Woodstock,41.93899,-71.95952
Southbury,41.48148,-73.21317
Southport,41.13649,-73.28345
Southwood Acres,41.9626,-72.57148
Stafford,41.98482,-72.28897
Stafford Springs,41.95426,-72.3023
Stamford,41.05343,-73.53873
Storrs,41.80843,-72.24952
Stratford,41.18454,-73.13317
Suffield Depot,41.98121,-72.64981
Tariffville,41.90871,-72.7601
Terramuggus,41.6351,-72.47036
Terryville,41.67815,-73.01094
Thomaston,41.67399,-73.07316
Thompson,41.95871,-71.86257
Thompsonville,41.99704,-72.59898
Tolland,41.87149,-72.36869
Tolland County,41.85501,-72.33649
Torrington,41.80065,-73.12122
Trumbull,41.24287,-73.20067
Uncasville,41.43454,-72.1098
Wallingford,41.45704,-72.82316
Wallingford Center,41.44987,-72.81892
Washington,41.63148,-73.31067
Waterbury,41.55815,-73.0515
Waterford,41.3417,-72.13597
Watertown,41.60621,-73.11817
Wauregan,41.74427,-71.90924
Weatogue,41.84371,-72.82843
West Hartford,41.76204,-72.74204
West Haven,41.27065,-72.94705
West Simsbury,41.87315,-72.85815
West Torrington,41.81843,-73.14372
Westbrook Center,41.27997,-72.44254
Westport,41.14149,-73.3579
Wethersfield,41.71427,-72.65259
Willimantic,41.71065,-72.20813
Wilton,41.19537,-73.4379
Winchester Center,41.9001,-73.13483
Windham,41.69982,-72.15702
Windham County,41.83003,-71.98749
Windsor,41.8526,-72.6437
Windsor Locks,41.92926,-72.62731
Winsted,41.92121,-73.06011
Wolcott,41.60232,-72.98677
Woodbridge,41.3526,-73.00844
Woodbury,41.54454,-73.209
Woodbury Center,41.54453,-73.20476
Woodmont,41.22815,-72.99149
