city_name,latitude,longitude
Abbeville,31.99212,-83.30682
Acworth,34.06635,-84.67837
Adairsville,34.3687,-84.93411
Adel,31.13727,-83.42408
Alamo,32.14712,-82.77792
Albany,31.57851,-84.15574
Alma,31.53937,-82.46236
Alpharetta,34.07538,-84.29409
Alto,34.46732,-83.57378
Americus,32.07239,-84.23269
Appling,31.74928,-82.28898
Aragon,34.04565,-85.05606
Arcade,34.07789,-83.56155
Arlington,31.4399,-84.72492
Ashburn,31.70601,-83.65322
Athens,33.96095,-83.37794
Atkinson,31.29711,-82.87999
Atlanta,33.749,-84.38798
Auburn,34.01372,-83.82768
Augusta,33.47097,-81.97484
Austell,33.81261,-84.63438
Avondale Estates,33.77149,-84.26714
Bacon,31.55367,-82.45269
Bainbridge,30.9038,-84.57547
Baker,31.32618,-84.44467
Baldwin,34.49177,-83.53739
Baldwin County,33.06928,-83.24959
Ball Ground,34.33815,-84.37659
Banks,34.35413,-83.49737
Barnesville,33.05457,-84.15575
Barrow,33.9932,-83.71276
Bartow,34.23786,-84.8405
Baxley,31.77825,-82.34846
Belvedere Park,33.75483,-84.26742
Ben Hill,31.75978,-83.22046
Berkeley Lake,33.98371,-84.18658
Berrien,31.27606,-83.22962
Bibb,32.80659,-83.69776
Blackshear,31.30605,-82.24207
Blairsville,34.8762,-83.95824
Blakely,31.37768,-84.93409
Bleckley,32.43444,-83.32784
Bloomingdale,32.13242,-81.299
Blue Ridge,34.86397,-84.32409
Bogart,33.94928,-83.53461
Bonanza,33.46567,-84.33659
Boston,30.79186,-83.78989
Bowdon,33.53789,-85.25328
Brantley,31.19688,-81.9819
Braselton,34.10927,-83.76267
Bremen,33.72122,-85.1455
Brookhaven,33.85844,-84.3402
Brooklet,32.37963,-81.66317
Brooks,30.84197,-83.58021
Broxton,31.62519,-82.88681
Brunswick,31.14995,-81.49149
Bryan,32.01322,-81.44247
Buchanan,33.8026,-85.18856
Buena Vista,32.31904,-84.51714
Buford,34.12066,-84.00435
Bulloch,32.39681,-81.74318
Burke,33.06115,-82.00078
Butler,32.55709,-84.23825
Butts,33.28785,-83.95717
Byron,32.65376,-83.75963
Cairo,30.87751,-84.20214
Calhoun,34.50259,-84.95105
Calhoun County,31.5292,-84.62451
Camden County,30.92249,-81.63639
Camilla,31.23129,-84.21046
Candler,32.40344,-82.07367
Candler-McAfee,33.72672,-84.27246
Canton,34.23676,-84.49076
Carnesville,34.36983,-83.23516
Carroll County,33.58282,-85.07974
Carrollton,33.58011,-85.07661
Cartersville,34.16533,-84.80231
Catoosa,34.90366,-85.13825
Cave Spring,34.1076,-85.33634
Cedartown,34.01123,-85.25593
Centerville,32.63014,-83.68963
Chamblee,33.89205,-84.29881
Charlton,30.78172,-82.13769
Chatham,31.97402,-81.09243
Chatsworth,34.76591,-84.76994
Chattahoochee,32.34697,-84.78705
Chattahoochee Hills,33.55063,-84.76049
Chattanooga Valley,34.93285,-85.35551
Chattooga,34.47502,-85.34529
Cherokee County,34.24393,-84.4762
Chester,32.39378,-83.15293
Chickamauga,34.87119,-85.29079
Clarke,33.95117,-83.36733
Clarkesville,34.6126,-83.52489
Clarkston,33.80955,-84.23964
Claxton,32.16158,-81.904
Clay County,31.62628,-84.9801
Clayton,34.87815,-83.40099
Clayton County,33.54189,-84.35769
Cleveland,34.59704,-83.76324
Clinch,30.91495,-82.70624
Cobb,33.94147,-84.57667
Cochran,32.38683,-83.35461
Coffee,31.54927,-82.8492
College Park,33.65344,-84.44937
Colquitt,31.17129,-84.73325
Colquitt County,31.18839,-83.76885
Columbia County,33.54412,-82.26406
Columbus,32.46098,-84.98771
Comer,34.06372,-83.12543
Commerce,34.204,-83.45711
Conley,33.64483,-84.32576
Conyers,33.66761,-84.01769
Cook,31.15399,-83.43047
Cordele,31.96351,-83.78239
Cornelia,34.51149,-83.52712
Country Club Estates,31.21273,-81.46427
Covington,33.59678,-83.86018
Coweta,33.35346,-84.76337
Crawford,32.7145,-83.98634
Crawfordville,33.55402,-82.89598
Crisp,31.92293,-83.7681
Cumming,34.20732,-84.14019
Cusseta,32.30543,-84.7727
Cuthbert,31.77127,-84.78937
Dacula,33.98872,-83.89796
Dade,34.85452,-85.50453
Dahlonega,34.53259,-83.98491
Dallas,33.92371,-84.84077
Dalton,34.7698,-84.97022
Danielsville,34.12428,-83.22126
Darien,31.37023,-81.43399
Davisboro,32.97904,-82.60791
Dawson,31.77382,-84.448
Dawson County,34.4443,-84.17064
Dawsonville,34.42121,-84.11908
Decatur,33.77483,-84.29631
Decatur County,30.87834,-84.57907
Deenwood,31.22201,-82.38725
DeKalb County,33.77153,-84.22641
Demorest,34.5651,-83.54517
Dock Junction,31.20245,-81.51677
Dodge,32.17218,-83.1684
Donalsonville,31.04046,-84.87909
Dooly,32.15718,-83.79875
Doraville,33.89816,-84.28326
Dougherty,31.53337,-84.21625
Douglas,31.50881,-82.84987
Douglas County,33.70182,-84.76793
Douglasville,33.7515,-84.74771
Druid Hills,33.78038,-84.33604
Dublin,32.54044,-82.90375
Duluth,34.00288,-84.14464
Dunwoody,33.94621,-84.33465
Early,31.32283,-84.90364
East Dublin,32.54822,-82.87181
East Griffin,33.24373,-84.22881
East Newnan,33.35067,-84.7766
East Point,33.67955,-84.43937
Eastman,32.19767,-83.17765
Eatonton,33.3268,-83.3885
Echols,30.71009,-82.89394
Edison,31.55823,-84.73825
Effingham County,32.36731,-81.34134
Elbert,34.11679,-82.8401
Elberton,34.11159,-82.86863
Ellaville,32.23821,-84.30908
Ellijay,34.69481,-84.48215
Emanuel,32.58976,-82.30171
Emerson,34.12704,-84.75549
Enigma,31.41297,-83.32905
Euharlee,34.14482,-84.933
Evans,33.53375,-82.13067
Evans County,32.15676,-81.88688
Experiment,33.26539,-84.28159
Fair Oaks,33.91649,-84.54465
Fairburn,33.56706,-84.58104
Fairview,34.94563,-85.2844
Fannin,34.86411,-84.31985
Fayette County,33.41394,-84.49419
Fayetteville,33.44873,-84.45493
Firing Range,33.43752,-82.69068
Fitzgerald,31.71491,-83.25265
Flowery Branch,34.1851,-83.92518
Floyd County,34.26316,-85.21428
Folkston,30.83095,-82.01131
Forest Park,33.62205,-84.36909
Forsyth,33.0343,-83.93824
Forsyth County,34.22551,-84.12502
Fort Gaines,31.60924,-85.04933
Fort Oglethorpe,34.94896,-85.2569
Fort Stewart,31.87217,-81.61001
Fort Valley,32.55376,-83.88741
Franklin,33.27762,-85.098
Franklin County,34.37544,-83.22918
Franklin Springs,34.28483,-83.14432
Fulton County,33.79025,-84.46702
Gainesville,34.29788,-83.82407
Garden City,32.11437,-81.154
Georgetown,31.98326,-81.22733
Gibson,33.23348,-82.59541
Gilmer,34.69121,-84.45559
Glascock,33.22928,-82.6107
Glennville,31.93659,-81.92845
Glynn,31.21324,-81.4937
Gordon,32.88209,-83.33238
Gordon County,34.50336,-84.87575
Grady,30.87467,-84.23443
Grantville,33.23484,-84.83577
Gray,33.00958,-83.53378
Grayson,33.89427,-83.95574
Greene County,33.57878,-83.16666
Greensboro,33.57568,-83.18238
Greenville,33.02874,-84.71298
Gresham Park,33.70344,-84.31437
Griffin,33.24678,-84.26409
Grovetown,33.45042,-82.19818
Gumlog,34.49177,-83.09654
Guyton,32.3363,-81.3915
Gwinnett,33.96173,-84.02363
Habersham,34.63102,-83.53112
Hahira,30.99131,-83.37266
Hall,34.31689,-83.81968
Hamilton,32.75791,-84.87493
Hampton,33.38706,-84.28298
Hancock County,33.27043,-83.00069
Hannahs Mill,32.93291,-84.34936
Hapeville,33.66011,-84.4102
Haralson,33.79423,-85.21103
Hardwick,33.0682,-83.22349
Harlem,33.41458,-82.31262
Harris,32.736,-84.90899
Hart,34.3509,-82.96425
Hartwell,34.35288,-82.93209
Hawkinsville,32.28377,-83.47212
Hazlehurst,31.86963,-82.5943
Heard,33.29703,-85.12827
Helena,32.07379,-82.91459
Henderson,32.00813,-81.25887
Henry County,33.453,-84.1542
Hephzibah,33.31403,-82.09679
Hiawassee,34.94926,-83.75739
Hinesville,31.84688,-81.59595
Hiram,33.87566,-84.76216
Hogansville,33.17318,-84.91494
Holly Springs,34.17399,-84.50132
Homer,34.33372,-83.49905
Homerville,31.0366,-82.74708
Hoschton,34.0965,-83.76128
Houston County,32.45901,-83.66624
Indian Springs,34.95785,-85.1644
Irondale,33.48067,-84.35881
Irwin,31.60228,-83.27638
Irwinton,32.81126,-83.17265
Isle of Hope,31.98188,-81.06094
Jackson,33.29457,-83.96602
Jackson County,34.13388,-83.56635
Jasper,34.46787,-84.42909
Jasper County,33.31643,-83.68809
Jeff Davis,31.8056,-82.63694
Jefferson,34.11705,-83.57239
Jefferson County,33.05484,-82.41815
Jeffersonville,32.68765,-83.34656
Jenkins,32.79247,-81.96353
Jesup,31.60785,-81.88634
Johns Creek,34.02893,-84.19858
Johnson County,32.70146,-82.66008
Jones,33.02513,-83.56052
Jonesboro,33.5215,-84.35381
Kennesaw,34.02343,-84.61549
Kings Bay Base,30.79836,-81.56589
Kingsland,30.79996,-81.68983
Knoxville,32.72431,-83.99769
LaFayette,34.7048,-85.2819
LaGrange,33.03929,-85.03133
Lake City,33.6065,-84.3352
Lakeland,31.04104,-83.07515
Lakeview,34.97924,-85.25884
Lakeview Estates,33.70678,-84.03158
Lamar,33.07654,-84.13946
Lanier,31.03789,-83.06265
Laurens County,32.46366,-82.92224
Lavonia,34.43594,-83.10682
Lawrenceville,33.95621,-83.98796
Lee,31.77951,-84.14113
Leesburg,31.73212,-84.17074
Lexington,33.86984,-83.11182
Liberty County,31.80723,-81.45626
Lilburn,33.8901,-84.14297
Lincoln County,33.79366,-82.45121
Lincolnton,33.79235,-82.47902
Lindale,34.18676,-85.17467
Lithia Springs,33.794,-84.66049
Lithonia,33.71233,-84.10519
Locust Grove,33.34595,-84.10908
Loganville,33.839,-83.90074
Long County,31.75258,-81.74577
Lookout Mountain,34.97758,-85.35774
Louisville,33.00154,-82.41124
Lovejoy,33.43622,-84.31437
Lowndes,30.83386,-83.26771
Ludowici,31.70799,-81.74234
Lula,34.3876,-83.66629
Lumber City,31.92935,-82.67958
Lumpkin,32.05099,-84.79909
Lumpkin County,34.57219,-84.00265
Lyons,32.20435,-82.32179
Mableton,33.81872,-84.58243
Macon,32.84069,-83.6324
Macon County,32.35839,-84.04248
Madison,33.59568,-83.46794
Madison County,34.12778,-83.20904
Manchester,32.85985,-84.61993
Marietta,33.9526,-84.54993
Marion County,32.35338,-84.52464
Marshallville,32.45626,-83.94019
Martinez,33.51736,-82.07567
Maysville,34.25288,-83.56155
McCaysville,34.98619,-84.37131
McDonough,33.44734,-84.14686
McDuffie,33.48285,-82.48137
McIntosh,31.48381,-81.37557
McRae,32.06795,-82.9007
Meigs,31.07241,-84.08907
Meriwether,33.04066,-84.68831
Metter,32.39712,-82.06012
Midway,31.80577,-81.43066
Milledgeville,33.08014,-83.2321
Millen,32.80405,-81.94928
Miller,31.16399,-84.73072
Milton,34.13216,-84.30067
Mitchell,31.22532,-84.19431
Monroe,33.79484,-83.71323
Monroe County,33.01408,-83.91872
Montezuma,32.30516,-84.02741
Montgomery,31.94049,-81.12205
Montgomery County,32.17336,-82.53482
Monticello,33.30485,-83.68323
Morgan,31.53767,-84.59936
Morgan County,33.59083,-83.49238
Morrow,33.58317,-84.33937
Moultrie,31.17991,-83.78906
Mount Airy,34.51871,-83.50073
Mount Vernon,32.17851,-82.59458
Mount Zion,33.63428,-85.18717
Mountain City,34.91815,-83.38544
Mountain Park,33.84427,-84.12936
Murray,34.78845,-84.74809
Muscogee,32.50996,-84.87704
Nahunta,31.20439,-81.98123
Nashville,31.20742,-83.25015
Nelson,34.38204,-84.37103
Newnan,33.38067,-84.79966
Newton,31.31296,-84.33574
