city_name,latitude,longitude
‘Āhuimanu,21.44472,-157.83778
‘Aiea,21.38222,-157.93361
‘Ele‘ele,21.90738,-159.58322
‘Ewa Beach,21.31556,-158.00722
‘Ewa Gentry,21.33999,-158.03039
‘Ewa Villages,21.34127,-158.0397
‘Ōma‘o,21.92581,-159.48818
Ainaloa,19.52694,-154.99306
Anahola,22.14226,-159.31388
Captain Cook,19.49694,-155.92167
East Honolulu,21.28906,-157.71734
Fern Acres,19.51222,-155.08028
Haiku-Pauwela,20.92187,-156.30508
Hālawa,21.37944,-157.92167
Hālawa Heights,21.37848,-157.91388
Hale‘iwa,21.59284,-158.10339
Hana,20.75806,-155.99028
Hanamā‘ulu,21.99773,-159.35918
Hanapēpē,21.90733,-159.5944
Hanapēpē Heights,21.91633,-159.58995
Hau‘ula,21.6076,-157.90868
Hawaii,19.6024,-155.52289
Hawaiian Acres,19.53806,-155.05222
Hawaiian Beaches,19.54306,-154.91583
Hawaiian Ocean View,19.06861,-155.765
Hawaiian Paradise Park,19.59333,-154.97306
Hāwī,20.24122,-155.83351
He‘eia,21.43054,-157.81611
Hickam Field,21.33967,-157.96018
Hilo,19.72991,-155.09073
Hōlualoa,19.61979,-155.94831
Honalo,19.54639,-155.93194
Honaunau-Napoopoo,19.45627,-155.86466
Honoka‘a,20.07931,-155.46691
Honolulu,21.30694,-157.85833
Honolulu County,21.45543,-157.96138
Iroquois Point,21.32776,-157.98301
Ka‘a‘awa,21.55445,-157.85103
Kā‘anapali,20.92881,-156.69422
Kaanapali Landing,20.9309,-156.68778
Kahalu‘u,21.45759,-157.84431
Kahaluu-Keauhou,19.57181,-155.96172
Kahuku,21.68048,-157.95237
Kahului,20.88953,-156.47432
Kailua,21.40241,-157.74054
Kailua-Kona,19.64016,-155.99912
Kalāheo,21.92416,-159.52686
Kalaoa,19.72861,-155.98167
Kalawao,21.18569,-156.95944
Kaneohe,21.39994,-157.79895
Kapa‘a,22.07521,-159.31895
Kapaau,20.23389,-155.80194
Kapolei,21.33555,-158.0582
Kauai,22.01108,-159.70544
Kaunakakai,21.09363,-157.02613
Kea‘au,19.62265,-155.03744
Kealakekua,19.52083,-155.9225
Kekaha,21.96686,-159.71186
Kēōkea,20.70711,-156.35446
Kīhei,20.76462,-156.44578
Kīlauea,22.21208,-159.41342
Ko Olina,21.33993,-158.12562
Koloa,21.9069,-159.46994
Kualapu‘u,21.15306,-157.03677
Kula,20.79094,-156.32695
Kurtistown,19.60361,-155.05722
Lā‘ie,21.64547,-157.9225
Lahaina,20.87429,-156.67663
Lanai City,20.82757,-156.92399
Lawai,21.92159,-159.50376
Leilani Estates,19.46972,-154.91778
Lihue,21.98121,-159.3721
Mā‘ili,21.41629,-158.17531
Mākaha,21.46627,-158.21037
Mākaha Valley,21.47583,-158.19918
Makakilo City,21.34694,-158.08583
Makawao,20.85694,-156.31306
Marine Corps Base Hawaii - MCBH,21.44336,-157.74981
Maui,20.8033229,-156.6676353
Maunawili,21.37278,-157.77056
Mililani Town,21.45,-158.00111
Mokulēia,21.57967,-158.15313
Mountain View,19.55583,-155.10806
Nānākuli,21.39362,-158.15429
Nanawale Estates,19.50611,-154.91194
Napili-Honokowai,20.97533,-156.67826
Ocean Pointe,21.31066,-158.03638
Orchidlands Estates,19.56084,-155.01527
Pāhala,19.20297,-155.4786
Paia,20.90333,-156.36944
Pāpa‘ikou,19.78718,-155.09326
Pearl City,21.39734,-157.97516
Pepeekeo,19.83361,-155.10722
Princeville,22.21758,-159.47888
Puhi,21.96888,-159.40012
Pukalani,20.83667,-156.33667
Punalu‘u,21.57045,-157.87557
Pupukea,21.65456,-158.06065
Royal Kunia,21.39392,-158.0267
Schofield Barracks,21.49837,-158.06515
Village Park,21.39806,-158.03028
Volcano,19.44276,-155.23398
Wahiawā,21.50279,-158.02464
Waialua,21.57688,-158.13154
Waianae,21.43785,-158.18555
Waihee-Waiehu,20.93022,-156.50458
Waikapū,20.85806,-156.50694
Waikoloa,19.93942,-155.78931
Wailea,20.68973,-156.4419
Wailua,22.05271,-159.33781
Wailua Homesteads,22.07244,-159.37677
Wailuku,20.89133,-156.50604
Waimalu,21.40472,-157.94333
Waimanalo,21.34614,-157.7238
Waimānalo Beach,21.33407,-157.70003
Waimea,20.02323,-155.67288
Wainaku,19.74472,-155.095
Waipahu,21.38667,-158.00917
Waipi‘o Acres,21.46485,-158.01331
Waipio,21.41823,-157.99906
Whitmore Village,21.51429,-158.02464
