city_name,latitude,longitude
Abingdon,40.80448,-90.4018
Adams County,39.98789,-91.18849
Addison,41.9317,-87.98896
Albany Park,41.96836,-87.72339
Albers,38.54338,-89.61231
Albion,38.37755,-88.05615
Aledo,41.19976,-90.74931
Alexander,37.1916,-89.33764
Algonquin,42.16558,-88.29425
Alorton,38.58977,-90.12011
Alsip,41.66892,-87.73866
Altamont,39.06199,-88.74811
Alton,38.8906,-90.18428
Amboy,41.7142,-89.32871
Andalusia,41.4392,-90.71764
Anna,37.46033,-89.24703
Antioch,42.47724,-88.09564
Arcola,39.68476,-88.30644
Arlington Heights,42.08836,-87.98063
Arthur,39.71476,-88.47228
Ashburn,41.74753,-87.71116
Ashland,39.88783,-90.00789
Assumption,39.52032,-89.04897
Astoria,40.22754,-90.35957
Athens,39.96088,-89.72399
Atlanta,40.25948,-89.23342
Atwood,39.79948,-88.46228
Auburn,39.59172,-89.74649
Auburn Gresham,41.74179,-87.65322
Aurora,41.76058,-88.32007
Aviston,38.60672,-89.60759
Avondale,41.93892,-87.71117
Bannockburn,42.19336,-87.86646
Barrington,42.15391,-88.13619
Barrington Hills,42.14475,-88.15563
Barry,39.69421,-91.03902
Bartlett,41.99503,-88.18563
Bartonville,40.65032,-89.65205
Batavia,41.85003,-88.31257
Beach Park,42.42224,-87.8573
Beardstown,40.01755,-90.42429
Beckemeyer,38.6056,-89.43592
Beecher,41.34059,-87.62143
Belleville,38.52005,-89.98399
Bellevue,40.68448,-89.6801
Bellwood,41.88142,-87.88312
Belmont Cragin,41.9317,-87.76867
Belvidere,42.26391,-88.84427
Bement,39.92198,-88.57201
Benld,39.09282,-89.80398
Bensenville,41.95503,-87.94007
Benton,37.99672,-88.92007
Berkeley,41.88892,-87.9034
Berwyn,41.85059,-87.79367
Bethalto,38.90921,-90.04066
Bethany,39.64559,-88.73813
Big Rock,41.76392,-88.54702
Bloomingdale,41.95753,-88.0809
Bloomington,40.4842,-88.99369
Blue Island,41.65726,-87.68005
Blue Mound,39.70115,-89.12314
Bolingbrook,41.69864,-88.0684
Bond,38.88682,-89.43555
Boone County,42.32308,-88.82336
Boulder Hill,41.71253,-88.33618
Bourbonnais,41.15376,-87.88754
Bradley,41.14198,-87.86115
Braidwood,41.26503,-88.21228
Breese,38.6106,-89.52703
Bridgeport,41.83809,-87.65116
Bridgeview,41.75003,-87.80422
Brighton,39.03977,-90.14066
Brighton Park,41.81892,-87.69894
Broadview,41.86392,-87.85339
Brookfield,41.82392,-87.85173
Brown,39.96181,-90.75034
Buffalo Grove,42.15141,-87.95979
Bull Valley,42.32058,-88.35509
Bunker Hill,39.04282,-89.95177
Burbank,41.73392,-87.7795
Bureau,41.40415,-89.52868
Burnham,41.63892,-87.55671
Burr Ridge,41.74892,-87.91839
Bushnell,40.55282,-90.50624
Byron,42.12697,-89.25566
Cahokia,38.57088,-90.19011
Cairo,37.00533,-89.17646
Calhoun County,39.1693,-90.66753
Calumet City,41.61559,-87.52949
Calumet Park,41.66281,-87.6606
Cambria,37.78144,-89.11925
Cambridge,41.30365,-90.1929
Camp Point,40.03921,-91.0693
Canton,40.55809,-90.03512
Capron,42.39974,-88.74038
Carbon Cliff,41.49476,-90.39068
Carbondale,37.72727,-89.21675
Carlinville,39.27977,-89.88177
Carlyle,38.61033,-89.37258
Carmi,38.09088,-88.15865
Carol Stream,41.91253,-88.13479
Carpentersville,42.12114,-88.25786
Carrier Mills,37.68422,-88.63283
Carroll County,42.06861,-89.93433
Carrollton,39.30227,-90.40706
Carterville,37.76005,-89.0773
Carthage,40.41643,-91.13625
Cary,42.21197,-88.23814
Casey,39.2992,-87.99253
Caseyville,38.63672,-90.02566
Cass,39.97356,-90.24738
Catlin,40.06504,-87.70197
Central City,38.54894,-89.12701
Centralia,38.52505,-89.1334
Centreville,38.58338,-90.12511
Cerro Gordo,39.89059,-88.72813
Champaign,40.11642,-88.24338
Champaign County,40.14008,-88.19919
Channahon,41.42948,-88.22867
Channel Lake,42.47863,-88.13759
Charleston,39.49615,-88.17615
Chatham,41.74115,-87.61255
Chatsworth,40.75365,-88.29199
Chebanse,41.00309,-87.9081
Chenoa,40.7417,-88.71979
Cherry Valley,42.23474,-88.94899
Chester,37.91366,-89.82205
Chicago,41.85003,-87.65005
Chicago Heights,41.50615,-87.6356
Chicago Lawn,41.77503,-87.69644
Chicago Loop,41.88407,-87.6333
Chicago Ridge,41.70142,-87.77922
Chillicothe,40.92226,-89.4862
Chrisman,39.80365,-87.67364
Christian,39.54579,-89.27727
Christopher,37.97255,-89.05341
Cicero,41.84559,-87.75394
Clarendon Hills,41.79753,-87.95478
Clark County,39.33357,-87.78772
Clay County,38.75416,-88.49019
Clifton,40.93531,-87.93449
Clinton,40.15365,-88.96453
Clinton County,38.60645,-89.42248
Coal City,41.28781,-88.28562
Coal Valley,41.42865,-90.46096
Cobden,37.53144,-89.25342
Colchester,40.42643,-90.79263
Coles,39.52029,-88.2218
Colfax,40.56698,-88.61645
Collinsville,38.67033,-89.98455
Colona,41.48392,-90.35318
Columbia,38.44366,-90.20122
Cook,41.8954,-87.64616
Cortland,41.92003,-88.6887
Country Club Hills,41.56809,-87.72033
Countryside,41.78281,-87.87811
Crainville,37.75199,-89.06785
Crawford,39.00269,-87.75956
Crest Hill,41.55475,-88.09867
Crestwood,41.64463,-87.74154
Crete,41.44448,-87.63143
Creve Coeur,40.64726,-89.59121
Crystal Lake,42.24113,-88.3162
Crystal Lawns,41.57031,-88.15812
Cuba,42.18391,-88.19091
Cumberland County,39.27332,-88.24023
Danvers,40.52948,-89.17731
Danville,40.12448,-87.63002
Darien,41.75198,-87.97395
Davis Junction,42.10169,-89.09316
De Soto,37.81755,-89.22786
De Witt,40.17463,-88.90409
Decatur,39.84031,-88.9548
Deer Park,42.16086,-88.08147
Deerfield,42.17114,-87.84451
DeKalb,41.92947,-88.75036
DeKalb County,41.89353,-88.77031
Delavan,40.37254,-89.54732
Depue,41.3242,-89.30675
Des Plaines,42.03336,-87.8834
Diamond,41.28864,-88.25173
Divernon,39.56561,-89.65732
Dixmoor,41.6317,-87.66088
Dixon,41.83892,-89.47955
Dolton,41.63892,-87.60727
Douglas,41.83476,-87.61811
Douglas County,39.76946,-88.21735
Downers Grove,41.80892,-88.01117
Du Quoin,38.01144,-89.23619
Dunlap,40.8617,-89.67871
DuPage,41.85195,-88.08567
Dupo,38.51616,-90.21039
Durand,42.4364,-89.33206
Dwight,41.09448,-88.42506
Earlville,41.58948,-88.92203
East Alton,38.88033,-90.11122
East Dubuque,42.49223,-90.64291
East Dundee,42.09891,-88.27147
East Garfield Park,41.88087,-87.70283
East Hazel Crest,41.57365,-87.64643
East Moline,41.50087,-90.4443
East Peoria,40.66615,-89.5801
East Saint Louis,38.6245,-90.15094
Edgar,39.67853,-87.74557
Edgewater,41.98337,-87.66395
Edinburg,39.65727,-89.38953
Edwards,38.41653,-88.05327
Edwardsville,38.81144,-89.95316
Effingham,39.12004,-88.54338
Effingham County,39.05977,-88.58986
El Paso,40.7392,-89.01646
Elburn,41.89225,-88.4723
Eldorado,37.81366,-88.4381
Elgin,42.03725,-88.28119
Elizabethtown,37.44588,-88.30504
Elk Grove Village,42.00392,-87.97035
Elmhurst,41.89947,-87.94034
Elmwood,40.77782,-89.9665
Elmwood Park,41.92114,-87.80923
Elwood,41.40392,-88.11172
Energy,37.77394,-89.02646
Englewood,41.77976,-87.64588
Erie,41.65642,-90.07929
Eureka,40.72143,-89.27286
Evanston,42.04114,-87.69006
Evergreen Park,41.72059,-87.70172
Fairbury,40.74726,-88.51478
Fairfield,38.37894,-88.35977
Fairmont,41.55614,-88.05923
Fairview Heights,38.58894,-89.99038
Farmer City,40.24337,-88.64257
Farmington,40.69809,-90.00595
Fayette County,39.00019,-89.02414
Fisher,40.31476,-88.35005
Flanagan,40.87809,-88.86118
Flora,38.66894,-88.4856
Flossmoor,41.54281,-87.68477
Ford,40.59718,-88.22326
Ford Heights,41.50642,-87.59171
Forest Lake,42.20752,-88.05563
Forest Park,41.87948,-87.81367
Forrest,40.75198,-88.41116
Forreston,42.12614,-89.57928
Forsyth,39.93254,-88.95119
Fox Lake,42.39669,-88.1837
Fox Lake Hills,42.40808,-88.13175
Fox River Grove,42.20086,-88.21453
Frankfort,41.49587,-87.84866
Frankfort Square,41.51892,-87.8031
Franklin County,37.99229,-88.92415
Franklin Park,41.93531,-87.86562
Freeburg,38.42755,-89.91371
Freeport,42.29669,-89.62123
Fulton,41.86725,-90.15957
Fulton County,40.47277,-90.20747
Gage Park,41.79503,-87.69616
Gages Lake,42.35169,-87.98258
Galena,42.41667,-90.42902
Galesburg,40.94782,-90.37124
Gallatin,37.76275,-88.2305
Galva,41.16754,-90.04261
Gardner,41.18559,-88.30978
Geneseo,41.44809,-90.15428
Geneva,41.88753,-88.30535
