city_name,latitude,longitude
Aberdeen,41.43893,-87.11142
Adams County,40.74566,-84.93665
Akron,41.03838,-86.02805
Albany,40.30088,-85.24191
Albion,41.3956,-85.42442
Alexandria,40.26282,-85.67581
Allen,41.09087,-85.06656
Anderson,40.10532,-85.68025
Andrews,40.86254,-85.60165
Angola,41.63477,-84.99941
Arcadia,40.17587,-86.02165
Argos,41.2378,-86.21465
Attica,40.2942,-87.2489
Auburn,41.36699,-85.05886
Aurora,39.057,-84.90134
Austin,38.75839,-85.80803
Avilla,41.36588,-85.23886
Avon,39.76282,-86.39972
Bargersville,39.52088,-86.16777
Bartholomew,39.20597,-85.8976
Bass Lake,41.20726,-86.60196
Batesville,39.30005,-85.22218
Battle Ground,40.50837,-86.84168
Bedford,38.86116,-86.48721
Beech Grove,39.72199,-86.08998
Benton County,40.60626,-87.31091
Berne,40.65782,-84.95191
Bicknell,38.77421,-87.30779
Blackford,40.4736,-85.32482
Bloomfield,39.02699,-86.93751
Bloomington,39.16533,-86.52639
Bluffton,40.73866,-85.17164
Boone County,40.0508,-86.4687
Boonville,38.04921,-87.27417
Bourbon,41.2956,-86.11639
Brazil,39.52365,-87.12502
Bremen,41.44644,-86.14806
Bright,39.21839,-84.85606
Bristol,41.72144,-85.81749
Broad Ripple,39.86671,-86.14165
Brooklyn,39.53921,-86.36916
Brookston,40.60281,-86.86723
Brookville,39.42311,-85.01274
Brown,39.19621,-86.22737
Brownsburg,39.84338,-86.39777
Brownstown,38.87894,-86.04192
Burns Harbor,41.62587,-87.13337
Butler,41.42977,-84.87135
Cambridge City,39.81255,-85.17163
Cannelton,37.91144,-86.74443
Carmel,39.97837,-86.11804
Carroll County,40.58286,-86.56348
Cass,40.76149,-86.34595
Cayuga,39.94865,-87.45974
Cedar Lake,41.36476,-87.44115
Centerville,39.81782,-84.99635
Chandler,38.04171,-87.36806
Charlestown,38.45312,-85.67024
Chesterfield,40.11254,-85.59692
Chesterton,41.61059,-87.0642
Churubusco,41.2306,-85.31942
Cicero,40.12393,-86.01332
Clark County,38.47718,-85.70728
Clarksville,38.29674,-85.75996
Clay County,39.39273,-87.11576
Clermont,39.80977,-86.32249
Clinton,39.65698,-87.39807
Clinton County,40.30169,-86.47516
Cloverdale,39.51477,-86.7939
Columbia City,41.15727,-85.48831
Columbus,39.20144,-85.92138
Connersville,39.64116,-85.14107
Converse,40.57754,-85.87332
Cordry Sweetwater Lakes,39.30464,-86.11837
Corydon,38.21201,-86.12192
Country Squire Lakes,39.03478,-85.69858
Covington,40.1417,-87.39474
Crawford,38.29241,-86.45171
Crawfordsville,40.04115,-86.87445
Crothersville,38.80061,-85.84164
Crown Point,41.41698,-87.36531
Culver,41.21893,-86.42306
Cumberland,39.77615,-85.9572
Dale,38.16894,-86.99
Daleville,40.12115,-85.55803
Danville,39.7606,-86.52639
Darmstadt,38.09921,-87.57891
Daviess,38.70241,-87.07207
Dayton,40.3742,-86.7689
Dearborn,39.14519,-84.97326
Decatur,40.8306,-84.92913
Decatur County,39.307,-85.50114
DeKalb County,41.39758,-84.99909
Delaware County,40.22753,-85.3969
Delphi,40.58754,-86.67501
DeMotte,41.19504,-87.19864
Dillsboro,39.01783,-85.05884
Dubois,38.36428,-86.8798
Dunkirk,40.75643,-86.39361
Dunlap,41.63783,-85.92166
Dyer,41.4942,-87.52171
East Chicago,41.6392,-87.45476
Eaton,40.34032,-85.3508
Edgewood,40.10337,-85.73414
Edinburgh,39.35422,-85.96666
Elkhart,41.68199,-85.97667
Elkhart County,41.59738,-85.85876
Ellettsville,39.23393,-86.625
Elwood,40.27698,-85.84192
English,38.3345,-86.46415
Evansville,37.97476,-87.55585
Fairfield Heights,39.82861,-86.38224
Fairmount,40.41532,-85.65053
Fairview Park,39.68031,-87.41752
Farmersburg,39.24865,-87.38196
Farmland,40.18782,-85.12747
Fayette County,39.64006,-85.17873
Ferdinand,38.22394,-86.86222
Fish Lake,41.56671,-86.55196
Fishers,39.95559,-86.01387
Flora,40.54726,-86.52444
Floyd County,38.31891,-85.90687
Fort Branch,38.25116,-87.58113
Fort Wayne,41.1306,-85.12886
Fortville,39.93226,-85.84804
Fountain,40.12087,-87.24199
Fowler,40.6167,-87.32085
Frankfort,40.27948,-86.51084
Franklin,39.48061,-86.05499
Franklin County,39.41486,-85.06028
Frankton,40.22282,-85.77887
Fremont,41.73088,-84.93274
French Lick,38.54894,-86.61999
Fulton County,41.04696,-86.26358
Galena,38.35173,-85.94164
Galveston,40.57893,-86.19027
Garrett,41.34949,-85.13553
Gary,41.59337,-87.34643
Gas City,40.48726,-85.61303
Geneva,40.59199,-84.95719
Georgetown,40.7406,-86.50473
Gibson,38.31183,-87.58459
Goodland,40.76337,-87.29363
Goshen,41.58227,-85.83444
Grabill,41.21088,-84.96691
Granger,41.75338,-86.11084
Grant County,40.51584,-85.65473
Greencastle,39.64449,-86.86473
Greendale,39.11256,-84.86412
Greene County,39.03633,-86.96205
Greenfield,39.78504,-85.76942
Greensburg,39.33727,-85.48358
Greentown,40.47809,-85.96665
Greenwood,39.61366,-86.10665
Griffith,41.52837,-87.42365
Grissom Air Force Base,40.65753,-86.14755
Gulivoire Park,41.61338,-86.24528
Hagerstown,39.91116,-85.16163
Hamilton,41.53366,-84.91274
Hamilton County,40.07249,-86.05201
Hammond,41.58337,-87.50004
Hancock County,39.82355,-85.77324
Hanover,38.71423,-85.47357
Harlan,41.19616,-84.91969
Harrison County,38.19512,-86.11131
Hartford City,40.45115,-85.36997
Haubstadt,38.20504,-87.57419
Hebron,41.31865,-87.20031
Hendricks,39.76952,-86.50998
Henry County,39.93104,-85.39644
Henryville,38.54173,-85.76774
Heritage Lake,39.72779,-86.71022
Hidden Valley,39.16228,-84.84301
Highland,41.55365,-87.45198
Hobart,41.53226,-87.25504
Hope,39.30394,-85.77137
Howard,40.48359,-86.11693
Hudson Lake,41.71032,-86.53419
Huntertown,41.22838,-85.17247
Huntingburg,38.29894,-86.955
Huntington,40.8831,-85.49748
Huntington County,40.82924,-85.48817
Indian Heights,40.42726,-86.12555
Indianapolis,39.76838,-86.15804
Ingalls,39.95699,-85.80526
Jackson County,38.90642,-86.03754
Jasonville,39.1631,-87.19918
Jasper,38.39144,-86.93111
Jasper County,41.023,-87.11612
Jay,40.43792,-85.00564
Jefferson County,38.78582,-85.43857
Jeffersonville,38.27757,-85.73718
Jennings,38.99693,-85.62806
Johnson County,39.48997,-86.10164
Jonesboro,40.47976,-85.62775
Kendallville,41.44144,-85.26498
Kentland,40.77032,-87.4453
Kingsford Heights,41.4806,-86.69169
Knightstown,39.7956,-85.52636
Knox,41.29588,-86.62501
Knox County,38.68909,-87.41801
Kokomo,40.48643,-86.1336
Koontz Lake,41.4181,-86.48585
Kosciusko,41.2441,-85.86072
Kouts,41.31671,-87.02586
La Porte,41.60774,-86.71389
Lafayette,40.4167,-86.87529
Lagrange,41.64172,-85.41665
LaGrange County,41.64261,-85.4265
Lake,41.47221,-87.37637
Lake Dalecarlia,41.33087,-87.39476
Lake Station,41.57504,-87.23892
Lakes of the Four Seasons,41.41032,-87.21309
Lapel,40.06837,-85.84831
LaPorte,41.54902,-86.74237
Lawrence,39.83865,-86.02526
Lawrence County,38.84116,-86.48345
Lawrenceburg,39.09089,-84.84995
Lebanon,40.04837,-86.46917
Leo-Cedarville,41.21255,-85.01664
Liberty,39.6356,-84.93107
Ligonier,41.46588,-85.58748
Linton,39.03477,-87.16585
Logansport,40.75448,-86.35667
Long Beach,41.73893,-86.85697
Loogootee,38.67699,-86.91417
Lowell,41.29142,-87.42059
Lynn,40.04977,-84.93969
Madison,38.73589,-85.37996
Madison County,40.16166,-85.71935
Marion,40.55837,-85.65914
Marion County,39.78171,-86.13847
Markle,40.82462,-85.33884
Marshall County,41.32485,-86.26176
Martin,38.70801,-86.80307
Martinsville,39.42783,-86.42833
McCordsville,39.9081,-85.92276
Melody Hill,38.02615,-87.51585
Meridian Hills,39.89004,-86.15721
Merrillville,41.48281,-87.33281
Miami,40.7695,-86.04502
Michigan City,41.70754,-86.89503
Middlebury,41.67533,-85.7061
Middletown,40.05727,-85.5372
Milan,39.12117,-85.13135
Milford,41.40977,-85.84555
Mishawaka,41.66199,-86.15862
Mitchell,38.73283,-86.4736
Monon,40.86782,-86.8789
Monroe County,39.16092,-86.52314
Monroeville,40.97477,-84.8683
Monrovia,39.57894,-86.48222
Montgomery County,40.04038,-86.8933
Monticello,40.74532,-86.76473
Montpelier,40.55393,-85.27747
Mooresville,39.61282,-86.37416
Morgan County,39.48155,-86.44621
Morocco,40.94615,-87.45336
Morristown,39.67338,-85.69859
Mount Vernon,37.93227,-87.89503
Mulberry,40.34448,-86.66528
Muncie,40.19338,-85.38636
Munster,41.56448,-87.51254
Nappanee,41.44283,-86.00139
Nashville,39.20727,-86.2511
New Albany,38.28562,-85.82413
New Carlisle,41.70032,-86.50946
New Castle,39.92894,-85.37025
New Chicago,41.55837,-87.27448
New Haven,41.0706,-85.01441
New Palestine,39.72199,-85.88915
New Paris,41.50033,-85.82805
New Pekin,38.50506,-86.01692
New Whiteland,39.5581,-86.09526
Newburgh,37.94449,-87.40529
Newport,39.8842,-87.40863
Newton County,40.95585,-87.39754
Noble County,41.3986,-85.41747
Noblesville,40.04559,-86.0086
North Judson,41.21504,-86.77585
North Liberty,41.53421,-86.42723
North Madison,38.76784,-85.39663
North Manchester,41.0006,-85.7686
North Terre Haute,39.52781,-87.3603
North Vernon,39.00617,-85.62358
North Webster,41.3256,-85.69776
Notre Dame,41.70019,-86.23793
Oak Park,38.30562,-85.69635
Oakland City,38.33866,-87.34501
Odon,38.84283,-86.9914
Ogden Dunes,41.62281,-87.1917
Ohio,38.9501,-84.96503
Oolitic,38.90088,-86.52527
Orange County,38.54178,-86.49507
Orleans,38.66172,-86.45166
Osceola,41.66505,-86.07584
Osgood,39.12922,-85.29163
Ossian,40.8806,-85.16636
Otterbein,40.49059,-87.0964
Owen,39.31281,-86.83765
Owensville,38.27199,-87.6878
Oxford,40.51976,-87.24779
Paoli,38.55617,-86.46832
Parke,39.77363,-87.20636
Parker City,40.18893,-85.20413
Pendleton,39.99754,-85.74664
Perry County,38.07965,-86.63803
Peru,40.75365,-86.06888
Petersburg,38.49199,-87.27862
Pierceton,41.20032,-85.70554
Pike,38.39878,-87.23216
Pittsboro,39.86393,-86.46694
Plainfield,39.70421,-86.39944
Plymouth,41.34366,-86.30973
Portage,41.57587,-87.17615
Porter,41.61559,-87.0742
Porter County,41.50884,-87.07332
Portland,40.43449,-84.97775
Posey,38.02189,-87.86847
Poseyville,38.17004,-87.78308
Princes Lakes,39.35366,-86.09805
Princeton,38.35532,-87.56752
Pulaski County,41.04183,-86.69878
Putnam,39.66626,-86.845
Randolph,40.15764,-85.01131
Redkey,40.34893,-85.14997
Remington,40.76087,-87.15085
Rensselaer,40.9367,-87.15086
Richmond,39.82894,-84.89024
Ripley,39.10345,-85.26239
Rising Sun,38.9495,-84.85384
Roanoke,40.96255,-85.37331
Rochester,41.06476,-86.21583
Rockport,37.88311,-87.04944
Rockville,39.76254,-87.22918
Rome City,41.49616,-85.37665
Roselawn,41.1417,-87.31475
Rossville,40.41698,-86.59472
Rush,39.61995,-85.46576
Rushville,39.60921,-85.44636
Russiaville,40.41754,-86.27138
Saint John,41.45004,-87.47004
Saint Joseph County,41.61672,-86.28986
Saint Paul,39.4281,-85.62831
Salem,38.60561,-86.10109
Santa Claus,38.12005,-86.91416
Schererville,41.47892,-87.45476
Scott,38.68507,-85.74747
Scottsburg,38.68561,-85.77025
Seelyville,39.49198,-87.26724
Sellersburg,38.39812,-85.75496
Seymour,38.95922,-85.89025
Shadeland,40.37365,-86.9489
Shelburn,39.17837,-87.39363
Shelby County,39.52369,-85.7917
Shelbyville,39.52144,-85.77692
Sheridan,40.13504,-86.22055
Shoals,38.66644,-86.79111
Shorewood Forest,41.46315,-87.14472
Simonton Lake,41.75422,-85.975
Smithville-Sanders,39.05969,-86.51077
South Bend,41.68338,-86.25001
South Haven,41.54198,-87.13726
South Whitley,41.08477,-85.62804
Southport,39.66505,-86.12776
Speedway,39.80227,-86.26721
Spencer,39.28671,-86.76251
Spencer County,38.01406,-87.00771
Starke,41.28093,-86.64765
Steuben,41.64387,-85.00077
Sullivan,39.09532,-87.40585
Sullivan County,39.08883,-87.41469
Sunman,39.237,-85.09468
Sweetser,40.57198,-85.76915
Switzerland,38.82616,-85.037
Syracuse,41.42783,-85.75249
Tell City,37.95144,-86.76777
Terre Haute,39.4667,-87.41391
Thorntown,40.12948,-86.60667
Tippecanoe,40.38862,-86.8941
Tipton,40.28226,-86.0411
Tipton County,40.31135,-86.05186
Topeka,41.53922,-85.53971
Trafalgar,39.41616,-86.15082
Trail Creek,41.69837,-86.8592
Tri-Lakes,41.24588,-85.44192
Union City,40.20199,-84.80913
Union County,39.62555,-84.92514
Upland,40.4756,-85.49442
Valparaiso,41.47309,-87.06114
Vanderburgh,38.02514,-87.58578
Veedersburg,40.11309,-87.26251
Vermillion,39.8538,-87.46397
Versailles,39.072,-85.2519
Vevay,38.74784,-85.06717
Vigo,39.43064,-87.38996
Vincennes,38.67727,-87.52863
Wabash,40.79782,-85.82054
Wabash County,40.84569,-85.79401
Wakarusa,41.53616,-86.02083
Walkerton,41.46671,-86.48307
Walton,40.66087,-86.24194
Wanatah,41.4306,-86.89836
Warren,40.68282,-85.4272
Warren County,40.3469,-87.35331
Warren Park,39.78199,-86.05026
Warrick,38.09217,-87.27205
Warsaw,41.2381,-85.85305
Washington,38.65922,-87.17279
Washington County,38.59998,-86.10531
Waterloo,41.43199,-85.01997
Wayne County,39.86442,-85.00988
Wells,40.72919,-85.22122
West Lafayette,40.42587,-86.90807
West Terre Haute,39.46504,-87.45002
Westfield,40.04282,-86.12749
Westport,39.17589,-85.57303
Westville,41.54143,-86.90058
White,40.74977,-86.86547
Whiteland,39.55005,-86.07971
Whitestown,39.99726,-86.34583
Whiting,41.67976,-87.49449
Whitley,41.13938,-85.50512
Williamsport,40.28837,-87.2939
Winamac,41.05143,-86.60306
Winchester,40.17199,-84.98135
Winfield,41.40531,-87.27531
Winona Lake,41.22727,-85.82193
Wolcottville,41.52588,-85.36665
Woodburn,41.12533,-84.8533
Worthington,39.12504,-86.97945
Yorktown,40.17365,-85.49414
Zionsville,39.95087,-86.26194
