city_name,latitude,longitude
Abbeville,29.97465,-92.13429
Abita Springs,30.47864,-90.04008
Acadia,30.29053,-92.41198
Addis,30.3538,-91.26539
Albany,30.50436,-90.58231
Alexandria,31.31129,-92.44514
Allen,30.65287,-92.82788
Ama,29.95215,-90.29647
Amelia,29.66632,-91.10204
Amite,30.72657,-90.50898
Arabi,29.95437,-90.00535
Arcadia,32.54904,-92.92016
Arnaudville,30.3977,-91.93151
Ascension,30.20354,-90.91129
Assumption,29.90077,-91.06259
Avondale,29.91298,-90.20369
Avoyelles,31.07624,-92.00138
Baker,30.58824,-91.16816
Baldwin,29.83798,-91.54428
Ball,31.41546,-92.4118
Banks Springs,32.0821,-92.09291
Barataria,29.72327,-90.12369
Basile,30.4852,-92.59597
Bastrop,32.77828,-91.91144
Baton Rouge,30.44332,-91.18747
Bawcomville,32.47042,-92.16736
Bayou Cane,29.6241,-90.7512
Bayou Gauche,29.78743,-90.41314
Bayou Vista,29.68965,-91.27094
Beauregard,30.64847,-93.34334
Belle Chasse,29.85493,-89.99063
Belle Rose,30.05048,-91.04149
Benton,32.69487,-93.74185
Bernice,32.82209,-92.65793
Berwick,29.69465,-91.21899
Bienville,32.34722,-93.05595
Blanchard,32.58098,-93.89268
Bogalusa,30.79102,-89.84869
Bossier,32.67899,-93.605
Bossier City,32.51599,-93.73212
Bourg,29.55355,-90.60231
Boutte,29.90243,-90.38814
Breaux Bridge,30.27353,-91.89928
Bridge City,29.93326,-90.17007
Broussard,30.14715,-91.96123
Brownsfield,30.54658,-91.12066
Brownsville,32.48709,-92.1543
Brusly,30.39436,-91.25372
Bunkie,30.95325,-92.18263
Caddo Parish,32.58017,-93.88235
Cade,30.08742,-91.9054
Calcasieu,30.22922,-93.35795
Caldwell Parish,32.09227,-92.11661
Cameron,29.79772,-93.32515
Cameron Parish,29.84687,-93.1989
Campti,31.8935,-93.11822
Carencro,30.31714,-92.04901
Carlyss,30.16882,-93.37599
Carville,30.21742,-91.09621
Catahoula,30.21464,-91.709
Catahoula Parish,31.66617,-91.84707
Cecilia,30.33714,-91.85317
Central,30.55435,-91.03677
Chackbay,29.88354,-90.79732
Chalmette,29.94296,-89.96537
Charenton,29.88159,-91.52511
Chauvin,29.43855,-90.59537
Church Point,30.40298,-92.21513
Claiborne,32.51598,-92.1918
Claiborne Parish,32.82269,-92.99573
Clarks,32.02655,-92.13903
Clinton,30.86574,-91.01566
Colfax,31.51906,-92.70682
Columbia,32.10516,-92.07791
Concordia,31.44584,-91.64006
Convent,30.02076,-90.82982
Cottonport,30.98408,-92.05346
Coushatta,32.01488,-93.34212
Covington,30.47549,-90.10042
Crowley,30.21409,-92.37458
Cullen,32.96903,-93.45073
Cut Off,29.54272,-90.33814
De Soto,32.05545,-93.73728
Delcambre,29.94826,-91.98873
Delhi,32.45764,-91.49317
Denham Springs,30.4874,-90.95753
DeQuincy,30.45048,-93.43322
DeRidder,30.84631,-93.28905
Des Allemands,29.82382,-90.47508
Destrehan,29.94322,-90.35345
Deville,31.3574,-92.16541
Donaldsonville,30.10114,-90.99412
Dulac,29.38883,-90.71398
Duson,30.23576,-92.1854
East Baton Rouge,30.53824,-91.09562
East Carroll,32.73255,-91.23507
East Feliciana,30.84507,-91.04554
Eastwood,32.55626,-93.56712
Eden Isle,30.22853,-89.79867
Edgard,30.04326,-90.56009
Elmwood,29.95659,-90.1898
Elton,30.48131,-92.6957
Erath,29.95826,-92.03596
Erwinville,30.53102,-91.40789
Estelle,29.84576,-90.10674
Eunice,30.49437,-92.41763
Evangeline,30.72894,-92.4059
Farmerville,32.77347,-92.4057
Ferriday,31.63017,-91.55456
Fort Polk North,31.10302,-93.17913
Fort Polk South,31.0511,-93.21578
Franklin,29.79604,-91.5015
Franklin Parish,32.13322,-91.67377
Franklinton,30.84731,-90.15527
French Settlement,30.29599,-90.7963
Galliano,29.44216,-90.29925
Gardere,30.34575,-91.14011
Garyville,30.05604,-90.61926
Glenmora,30.97658,-92.58514
Golden Meadow,29.37911,-90.26008
Gonzales,30.23853,-90.9201
Grambling,32.52765,-92.71404
Gramercy,30.04742,-90.68981
Grand Isle,29.23662,-89.98729
Grand Point,30.06131,-90.75343
Grant Parish,31.5997,-92.55952
Gray,29.69771,-90.78648
Greensburg,30.83074,-90.67176
Greenwood,32.44293,-93.97296
Gretna,29.91465,-90.05396
Gueydan,30.02604,-92.50847
Hackberry,29.99605,-93.3421
Hahnville,29.97659,-90.40897
Hammond,30.50463,-90.46293
Harahan,29.94048,-90.20313
Harrisonburg,31.77211,-91.82152
Harvey,29.90354,-90.07729
Haughton,32.53265,-93.50406
Haynesville,32.96208,-93.14016
Henderson,30.31325,-91.79039
Homer,32.79192,-93.05503
Houma,29.59577,-90.71953
Iberia,29.51353,-91.83964
Iberville,30.2585,-91.34936
Independence,30.63551,-90.50335
Inniswold,30.40491,-91.08344
Iota,30.33131,-92.49569
Iowa,30.23687,-93.01376
Jackson,30.8374,-91.21761
Jackson Parish,32.30203,-92.55774
Jean Lafitte,29.73604,-90.12674
Jeanerette,29.91104,-91.66345
Jefferson,29.96604,-90.15313
Jefferson Davis,30.26772,-92.81412
Jefferson Parish,29.68097,-90.09798
Jena,31.68323,-92.13374
Jennings,30.22243,-92.65708
Jonesboro,32.24127,-92.71599
Jonesville,31.62656,-91.81818
Kaplan,29.99798,-92.28485
Kenner,29.99409,-90.24174
Kentwood,30.93824,-90.50898
Killian,30.35881,-90.5862
Kinder,30.48548,-92.8507
Krotz Springs,30.53686,-91.75289
La Salle,31.67673,-92.16044
Labadieville,29.83743,-90.95621
Lacombe,30.31353,-89.94313
Lafayette,30.22409,-92.01984
Lafayette Parish,30.20677,-92.06388
Lafourche,29.50033,-90.40259
Lake Arthur,30.08076,-92.67153
Lake Charles,30.21309,-93.2044
Lake Providence,32.80499,-91.17098
Lakeshore,32.53514,-92.02958
Laplace,30.06698,-90.48147
Larose,29.57244,-90.38175
Lawtell,30.51853,-92.18485
Lecompte,31.09463,-92.40041
Leesville,31.14352,-93.261
Leonville,30.47047,-91.97845
Lincoln Parish,32.60164,-92.66482
Livingston,30.50213,-90.74787
Livingston Parish,30.44014,-90.72791
Livonia,30.55908,-91.55594
Lockport,29.64605,-90.53925
Lockport Heights,29.65049,-90.54647
Logansport,31.97545,-93.99797
Luling,29.93215,-90.36647
Lutcher,30.04048,-90.69898
Madison Parish,32.3644,-91.24258
Mamou,30.63381,-92.4193
Mandeville,30.35825,-90.06563
Mansfield,32.03766,-93.70018
Mansura,31.05797,-92.04901
Many,31.56878,-93.48406
