city_name,latitude,longitude
Adrian,41.89755,-84.03717
Albion,42.2431,-84.75303
Alcona,44.71161,-83.34366
Alger,46.4511,-86.54755
Algonac,42.61858,-82.5323
Allegan,42.5292,-85.8553
Allegan County,42.51766,-85.91034
Allen Park,42.25754,-83.21104
Allendale,42.97225,-85.95365
Alma,43.37892,-84.65973
Almont,42.92058,-83.04493
Alpena,45.06168,-83.43275
Alpena County,45.0635,-83.46039
Ann Arbor,42.27756,-83.74088
Antrim,45.00737,-85.17579
Arenac,44.04289,-83.74725
Argentine,42.79142,-83.84634
Armada,42.8442,-82.88437
Athens,42.08866,-85.23471
Atlanta,45.00473,-84.14389
Au Sable,44.41085,-83.33219
Auburn,43.60336,-84.0697
Auburn Hills,42.68753,-83.2341
Bad Axe,43.80196,-83.00078
Baldwin,43.90112,-85.85173
Bangor,42.31254,-86.11308
Baraga,46.77854,-88.48902
Baraga County,46.69976,-88.35215
Barnes Lake-Millers Lake,43.17956,-83.3123
Barry,42.59503,-85.30897
Bath,42.81864,-84.44859
Battle Creek,42.3173,-85.17816
Bay,43.72137,-83.94184
Bay City,43.59447,-83.88886
Bay Harbor,45.36413,-85.08208
Beaverton,43.88225,-84.48473
Beecher,43.09003,-83.6944
Beechwood,42.79697,-86.12588
Belding,43.09781,-85.22891
Bellaire,44.98028,-85.21117
Belleville,42.20476,-83.48521
Bellevue,42.44337,-85.01805
Benton Harbor,42.11671,-86.45419
Benton Heights,42.13115,-86.40724
Benzie,44.61687,-86.13899
Berkley,42.50309,-83.18354
Berrien,41.91863,-86.42807
Berrien Springs,41.94643,-86.3389
Bessemer,46.48134,-90.05295
Beulah,44.63194,-86.09092
Beverly Hills,42.52392,-83.22326
Big Rapids,43.69808,-85.48366
Bingham Farms,42.51587,-83.27326
Birch Run,43.25086,-83.79413
Birmingham,42.5467,-83.21132
Blissfield,41.83255,-83.86244
Bloomfield Hills,42.58364,-83.24549
Boyne City,45.21668,-85.01394
Branch,41.91611,-85.05903
Breckenridge,43.40808,-84.475
Bridgeport,43.35947,-83.88164
Bridgman,41.9431,-86.55697
Brighton,42.52948,-83.78022
Bronson,41.87227,-85.1947
Brooklyn,42.10587,-84.24828
Brown City,43.21225,-82.98966
Brownlee Park,42.31893,-85.14249
Buchanan,41.82727,-86.36112
Buena Vista,43.4203,-83.89858
Burt,43.23669,-83.90636
Burton,42.99947,-83.61634
Byron Center,42.81225,-85.72281
