city_name,latitude,longitude
Ada,47.29969,-96.51535
Adrian,43.63497,-95.9328
Afton,44.90275,-92.78354
Aitkin,46.53301,-93.71025
Aitkin County,46.60826,-93.41543
Albany,45.62996,-94.57
Albert Lea,43.64801,-93.36827
Albertville,45.23774,-93.65441
Alexandria,45.88524,-95.37754
Andover,45.2333,-93.29134
Annandale,45.26274,-94.12443
Anoka,45.19774,-93.38718
Anoka County,45.27324,-93.24645
Apple Valley,44.73191,-93.21772
Appleton,45.19691,-96.01977
Arden Hills,45.05024,-93.15661
Arlington,44.6083,-94.08053
Arnold,46.88022,-92.09047
Atwater,45.13885,-94.77806
Aurora,47.52993,-92.23712
Austin,43.66663,-92.97464
Avon,45.60913,-94.45167
Babbitt,47.70853,-91.9446
Bagley,47.52162,-95.39835
Barnesville,46.65218,-96.41979
Baudette,48.71247,-94.59993
Baxter,46.3433,-94.28667
Bayport,45.02136,-92.78104
Becker,45.3933,-93.87692
Becker County,46.93465,-95.67392
Belle Plaine,44.62274,-93.76857
Beltrami,47.97378,-94.93765
Bemidji,47.47356,-94.88028
Benson,45.31496,-95.60003
Benton County,45.69913,-93.99884
Big Lake,45.33246,-93.74608
Big Stone,45.4261,-96.41092
Birchwood,45.06108,-92.97605
Blaine,45.1608,-93.23495
Blooming Prairie,43.86663,-93.05103
Bloomington,44.8408,-93.29828
Blue Earth,43.63746,-94.10218
Blue Earth County,44.03459,-94.06703
Braham,45.72274,-93.17078
Brainerd,46.35802,-94.20083
Branch,45.48524,-92.96188
Breckenridge,46.26357,-96.58813
Breezy Point,46.59001,-94.21982
Brooklyn Center,45.07608,-93.33273
Brooklyn Park,45.09413,-93.35634
Brown,44.24217,-94.72748
Buffalo,45.17191,-93.87469
Burnsville,44.76774,-93.27772
Byron,44.03274,-92.64546
Caledonia,43.63469,-91.49681
Cambridge,45.57274,-93.22439
Canby,44.70885,-96.27643
Cannon Falls,44.50691,-92.90548
Carlton,46.66383,-92.42491
Carlton County,46.5924,-92.67705
Carver,44.76357,-93.62579
Carver County,44.82076,-93.80258
Cass,46.94959,-94.32535
Center City,45.39385,-92.8166
Centerville,45.16302,-93.05578
Champlin,45.18885,-93.39745
Chanhassen,44.86219,-93.53079
Chaska,44.78941,-93.60218
Chatfield,43.84552,-92.18905
Chippewa,45.02234,-95.56669
Chisago,45.50247,-92.90834
Chisago City,45.37358,-92.88994
Chisholm,47.4891,-92.8838
Circle Pines,45.14858,-93.15161
Clara City,44.95496,-95.3664
Clay County,46.89234,-96.49065
Clearwater,45.41941,-94.04887
Clearwater County,47.57766,-95.37903
Cloquet,46.72161,-92.45936
Cohasset,47.26356,-93.62022
Cokato,45.0758,-94.18998
Cold Spring,45.4558,-94.42888
Coleraine,47.28883,-93.42771
Collegeville,45.59441,-94.36305
Cologne,44.77163,-93.78135
Columbia Heights,45.0408,-93.263
Columbus,45.26522,-93.05015
Cook,47.81684,-90.54108
Coon Rapids,45.11997,-93.28773
Corcoran,45.09524,-93.54746
Cottage Grove,44.82774,-92.94382
Cottonwood,44.60885,-95.67419
Cottonwood County,44.00711,-95.18115
Crookston,47.77414,-96.60812
Crosby,46.48218,-93.95776
Cross Lake,46.65941,-94.11387
Crow Wing,46.48237,-94.07087
Crystal,45.03274,-93.36023
Dakota,44.67189,-93.06544
Dassel,45.08163,-94.30693
Dawson,44.93274,-96.05448
Dayton,45.24385,-93.51496
Deephaven,44.92969,-93.52246
Delano,45.04191,-93.78913
Dellwood,45.08997,-92.97244
Detroit Lakes,46.81718,-95.84533
Dilworth,46.87663,-96.70341
Dodge,44.02259,-92.86205
Dodge Center,44.02802,-92.85464
Douglas County,45.93372,-95.45352
Duluth,46.78327,-92.10658
Dundas,44.42941,-93.20188
Eagan,44.80413,-93.16689
Eagle Lake,44.16497,-93.88134
East Bethel,45.31941,-93.20245
East Grand Forks,47.92998,-97.02452
East Gull Lake,46.40802,-94.35584
Eden Prairie,44.85469,-93.47079
Eden Valley,45.32607,-94.54611
Edgerton,43.87247,-96.12864
Edina,44.88969,-93.34995
Elbow Lake,45.99413,-95.97672
Elgin,44.13024,-92.25156
Elk River,45.30385,-93.56718
Elko New Market,44.56472,-93.32694
Ely,47.90324,-91.86709
Esko,46.70578,-92.36325
Eveleth,47.46243,-92.53991
Excelsior,44.9033,-93.56635
Eyota,43.9883,-92.2285
Fairfax,44.52913,-94.72082
Fairmont,43.65218,-94.46108
Falcon Heights,44.99163,-93.16633
Faribault,44.29496,-93.26883
Faribault County,43.67393,-93.948
Farmington,44.64024,-93.14355
Fergus Falls,46.28302,-96.07756
Fillmore,43.674,-92.09017
Foley,45.66469,-93.9097
Forest Lake,45.27886,-92.98522
Fosston,47.57635,-95.75141
Frazee,46.72801,-95.70088
Freeborn,43.67384,-93.34882
Fridley,45.08608,-93.26328
Fulda,43.87052,-95.60029
Gaylord,44.55302,-94.22053
Gilbert,47.48882,-92.46491
Glencoe,44.76913,-94.15164
Glenwood,45.65024,-95.38976
Glyndon,46.87524,-96.57896
Golden Valley,45.00969,-93.34912
Goodhue,44.40052,-92.6238
Goodhue County,44.40985,-92.72259
Goodview,44.06246,-91.69571
Grand Marais,47.75045,-90.33427
Grand Meadow,43.7058,-92.57212
Grand Rapids,47.23717,-93.53021
Granite Falls,44.80996,-95.54558
Grant,45.08441,-92.91049
Grant County,45.93405,-96.01218
Greenfield,45.1033,-93.69135
Hallock,48.77443,-96.94645
Ham Lake,45.25024,-93.24995
Hanover,45.1558,-93.66635
Harris,45.58635,-92.97466
Hastings,44.7433,-92.85243
Hawley,46.88079,-96.31673
Hayfield,43.89052,-92.84769
Hector,44.74385,-94.71555
Hennepin,45.00458,-93.47688
Hermantown,46.80689,-92.23825
Hibbing,47.42715,-92.93769
Hinckley,46.01134,-92.94437
Hopkins,44.92496,-93.46273
Houston County,43.67144,-91.49283
Howard Lake,45.0608,-94.07331
Hoyt Lakes,47.51965,-92.13851
Hubbard,47.10865,-94.91664
Hugo,45.15997,-92.99327
Hutchinson,44.88774,-94.36971
Independence,45.02524,-93.70746
International Falls,48.60105,-93.41098
Inver Grove Heights,44.84802,-93.04272
Isanti,45.49024,-93.24773
Isanti County,45.56149,-93.29518
Itasca,47.50953,-93.632
Ivanhoe,44.4633,-96.24726
