city_name,latitude,longitude
Abbottstown,39.88649,-76.9847
Adams County,39.87145,-77.21789
Adamstown,40.2412,-76.05633
Akron,40.15676,-76.20217
Albion,41.89061,-80.36645
Alburtis,40.51093,-75.60297
Aldan,39.9215,-75.28796
Aliquippa,40.63673,-80.24006
Allegheny,40.46883,-79.98119
Alleghenyville,40.23426,-75.98855
Allentown,40.60843,-75.49018
Allison Park,40.55951,-79.95867
Almedia,41.01453,-76.38105
Altoona,40.51868,-78.39474
Ambler,40.15455,-75.22157
Ambridge,40.58923,-80.22506
Amity Gardens,40.27426,-75.73519
Ancient Oaks,40.54732,-75.58935
Annville,40.32954,-76.51524
Apollo,40.58145,-79.56643
Archbald,41.4948,-75.53685
Ardmore,40.00678,-75.28546
Arlington Heights,40.99009,-75.21629
Armstrong,40.81229,-79.46454
Arnold,40.58007,-79.76672
Ashland,40.78175,-76.34578
Ashley,41.21036,-75.89659
Aspinwall,40.49146,-79.90477
Atglen,39.94927,-75.97356
Athens,41.9573,-76.518
Audubon,40.12788,-75.43185
Avalon,40.5009,-80.06756
Avis,41.18479,-77.31386
Avoca,41.3398,-75.7363
Avon,40.34565,-76.38996
Avondale,39.82344,-75.78327
Avonia,42.04561,-80.26979
Back Mountain,41.33591,-75.99631
Baden,40.63507,-80.22812
Baidland,40.19479,-79.97088
Bainbridge,40.09093,-76.66747
Bakerstown,40.6509,-79.93644
Bala-Cynwyd,40.00761,-75.23407
Baldwin,40.33813,-79.97894
Bally,40.40232,-75.58713
Bangor,40.86565,-75.20657
Barnesboro,40.66257,-78.78003
Bath,40.72565,-75.39407
Bear Rocks,40.12285,-79.4617
Beaver,40.69534,-80.30478
Beaver County,40.68226,-80.34929
Beaver Falls,40.75201,-80.31923
Beaverdale,40.32202,-78.69696
Bedford,40.01869,-78.50391
Bedford County,40.00656,-78.49032
Bedminster,40.42594,-75.17906
Beech Mountain Lakes,41.04158,-75.93545
Belfast,40.78065,-75.27796
Bell Acres,40.59007,-80.16645
Belle Vernon,40.12507,-79.86644
Bellefonte,40.91339,-77.77833
Belleville,40.60507,-77.72555
Bellevue,40.49396,-80.05172
Bellwood,40.6034,-78.32474
Belmont,40.2873,-78.88947
Ben Avon,40.50812,-80.08311
Bentleyville,40.11674,-80.00839
Berks,40.4163,-75.926
Berlin,39.92064,-78.9578
Berwick,41.05453,-76.23327
Berwyn,40.04483,-75.43881
Bessemer,40.97478,-80.49368
Bethel Park,40.32757,-80.0395
Bethlehem,40.62593,-75.37046
Big Bass Lake,41.25383,-75.47644
Big Beaver,40.82451,-80.36284
Biglerville,39.93037,-77.24804
Birchwood Lakes,41.25454,-74.9185
Birdsboro,40.26454,-75.80409
Black Lick,40.4725,-79.18688
Blair,40.481,-78.3486
Blairsville,40.43118,-79.26087
Blakely,41.48091,-75.59463
Blandon,40.4412,-75.88687
Blawnox,40.4934,-79.86061
Bloomfield,40.4609,-79.95089
Bloomsburg,41.0037,-76.45495
Blossburg,41.67952,-77.06386
Blue Ball,40.11871,-76.04717
Blue Bell,40.15233,-75.26629
Boalsburg,40.77562,-77.7925
Boiling Springs,40.14981,-77.12831
Bonneauville,39.81204,-77.13721
Boothwyn,39.83011,-75.44158
Boswell,40.16147,-79.02892
Bowmansville,40.19676,-76.01744
Boyertown,40.33371,-75.63741
Brackenridge,40.60812,-79.74116
Braddock,40.4034,-79.86838
Braddock Hills,40.41729,-79.86505
Bradford,41.9559,-78.64392
Bradford County,41.78867,-76.51545
Bradford Woods,40.63757,-80.08172
Breinigsville,40.53676,-75.6313
Brentwood,40.37063,-79.97477
Bressler,40.22953,-76.81997
Brickerville,40.22593,-76.30246
Bridgeport,40.10511,-75.34518
Bridgeville,40.35618,-80.11006
Bristol,40.10067,-74.85183
Brittany Farms-Highlands,40.26901,-75.21401
Brockway,41.24923,-78.79947
Brodheadsville,40.92454,-75.39379
Brookhaven,39.86928,-75.38241
Brookville,41.16117,-79.08309
Broomall,39.9815,-75.35658
Brownstown,40.12371,-76.21384
Brownsville,40.02369,-79.88394
Browntown,41.3098,-75.78742
Bryn Athyn,40.1315,-75.06739
Bryn Mawr,40.01983,-75.30463
Bucks,40.33694,-75.10687
Burgettstown,40.38201,-80.39284
Burnham,40.63868,-77.56861
Butler,40.86118,-79.89533
Butler County,40.91172,-79.91299
California,40.06563,-79.89171
Caln,39.99094,-75.78022
Calumet,40.2109,-79.48532
Cambria,40.49529,-78.7137
Cambridge Springs,41.80367,-80.05644
Cameron County,41.4368,-78.20378
Camp Hill,40.23981,-76.91997
Campbelltown,40.27759,-76.58525
Canonsburg,40.26257,-80.18728
Canton,41.65646,-76.85329
Carbon,40.91818,-75.70882
Carbondale,41.57369,-75.50185
Carlisle,40.20148,-77.18887
Carnegie,40.40868,-80.08339
Carnot-Moon,40.51856,-80.21736
Carroll Valley,39.74926,-77.38304
Castanea,41.12479,-77.4297
Castle Shannon,40.36479,-80.02228
Catasauqua,40.65482,-75.47463
Catawissa,40.95203,-76.45967
Cecil-Bishop,40.31819,-80.19331
Cementon,40.68926,-75.50768
Center City,39.9512,-75.15923
Centerville,40.04535,-79.97561
Central City,40.11063,-78.80197
Centre,40.91934,-77.81995
Centre Hall,40.84756,-77.68611
Cetronia,40.58676,-75.52963
Chalfont,40.28844,-75.20906
Chambersburg,39.93759,-77.6611
Charleroi,40.13785,-79.8981
Cherryville,40.75398,-75.53852
Chester,39.84967,-75.35707
Chester County,39.97314,-75.74845
Chester Heights,39.89011,-75.47548
Chester Springs,40.0951,-75.61687
Chesterbrook,40.07566,-75.45908
Cheswick,40.54173,-79.79922
Chevy Chase Heights,40.63673,-79.1442
Chicora,40.94812,-79.74283
Chinchilla,41.47508,-75.67713
Christiana,39.95483,-75.99689
Church Hill,40.68201,-77.59861
Churchill,40.4384,-79.8431
Churchville,40.18622,-75.01878
Clairton,40.29229,-79.88171
Clarion,41.21479,-79.38532
Clarion County,41.19239,-79.42096
Clarks Green,41.49286,-75.69964
Clarks Summit,41.48869,-75.70852
Clay,40.21843,-76.25551
Claysburg,40.29674,-78.44974
Clearfield,41.02728,-78.43919
Clearfield County,41.00019,-78.47411
Cleona,40.33731,-76.47552
Clifton Heights,39.92928,-75.2963
Clinton County,41.23405,-77.63811
Clymer,40.66812,-79.0117
Coaldale,40.82287,-75.90687
Coatesville,39.98316,-75.82384
Cochranton,41.52005,-80.04839
Collegeville,40.18566,-75.45157
Collingdale,39.91178,-75.27713
Collinsburg,40.22424,-79.76838
Colonial Park,40.30064,-76.80969
Colony Park,40.34683,-75.9824
Columbia,40.03371,-76.50441
Columbia County,41.04865,-76.40515
Colwyn,39.91234,-75.25379
Conashaugh Lakes,41.30593,-74.98962
Conemaugh,40.32674,-78.90808
Conestoga,39.94066,-76.34635
Conneaut Lakeshore,41.62711,-80.31008
Connellsville,40.01785,-79.58948
Conshohocken,40.07928,-75.30157
Conway,40.65979,-80.23923
Conyngham,40.99203,-76.05659
Coopersburg,40.51149,-75.39046
Coplay,40.6701,-75.49546
Coraopolis,40.5184,-80.16672
Cornwall,40.2737,-76.40607
Cornwells Heights,40.07678,-74.94878
Corry,41.92033,-79.64033
Coudersport,41.77479,-78.02056
Crafton,40.43507,-80.06617
Cranberry Township,40.68496,-80.10714
Crawford,41.6847,-80.10628
Cresson,40.45979,-78.59168
Cressona,40.62676,-76.19272
Croydon,40.08733,-74.9035
Cumberland County,40.16363,-77.26555
Curtisville,40.64229,-79.85089
Curwensville,40.97561,-78.52502
Dallas,41.33619,-75.96325
Dallastown,39.89954,-76.64025
Dalton,41.53424,-75.73603
Danville,40.96342,-76.61273
Darby,39.91845,-75.25907
Dauphin,40.41544,-76.77947
Davidsville,40.22702,-78.93641
Delaware County,39.91681,-75.3989
Delmont,40.41312,-79.57032
Denver,40.23315,-76.13717
Derry,40.33396,-79.29976
Devon,40.04928,-75.42908
Dewart,41.10925,-76.87663
Dickson City,41.47147,-75.60769
Dillsburg,40.11093,-77.03498
Donora,40.1734,-79.85755
Dormont,40.3959,-80.03311
Dorneyville,40.5751,-75.51963
Dover,40.00176,-76.85025
Downingtown,40.0065,-75.70327
Doylestown,40.31011,-75.12989
Dravosburg,40.35063,-79.88616
Dresher,40.14094,-75.16684
Drexel Hill,39.94706,-75.29213
Dublin,40.37177,-75.20156
DuBois,41.11923,-78.76003
Duboistown,41.22258,-77.03691
Dunbar,39.97785,-79.61448
Duncannon,40.39814,-77.02303
Duncansville,40.42341,-78.4339
Dunmore,41.4198,-75.63241
Dunnstown,41.1459,-77.42137
Dupont,41.32508,-75.74547
Duquesne,40.38146,-79.85977
Duryea,41.34397,-75.73853
Eagleview,40.05938,-75.68076
Eagleville,40.15955,-75.40824
Earlston,40.00619,-78.37001
East Bangor,40.87954,-75.18379
East Berlin,39.9376,-76.97859
East Berwick,41.06203,-76.22243
East Conemaugh,40.34868,-78.88364
East Earl,40.1101,-76.03272
East Greenville,40.40649,-75.50185
East Lansdowne,39.94567,-75.26129
East McKeesport,40.38312,-79.80644
East Petersburg,40.1001,-76.35413
East Pittsburgh,40.39562,-79.83866
East Stroudsburg,40.99954,-75.18129
East Uniontown,39.8998,-79.69782
East Washington,40.17368,-80.23756
East York,39.97371,-76.68636
Eastlawn Gardens,40.75065,-75.29573
Easton,40.68843,-75.22073
Ebensburg,40.48507,-78.72474
Economy,40.60007,-80.22478
Eddington,40.08456,-74.94489
Eddystone,39.86011,-75.34436
Edgewood,40.43201,-79.88144
Edgeworth,40.55118,-80.19284
Edinboro,41.87422,-80.13172
Edwardsville,41.26953,-75.91631
Effort,40.93926,-75.43491
Egypt,40.6801,-75.52991
Elim,40.29785,-78.94253
Elizabeth,40.26924,-79.88977
