city_name,latitude,longitude
Adjuntas,18.16277778,-66.72222222
Aguada,18.37944444,-67.18833333
Aguadilla,18.42745,-67.15407
Aguas Buenas,18.256944,-66.103056
Aguas Claras,18.24417,-65.66278
Aguilita,18.02333333,-66.53472222
Aibonito,18.14,-66.266111
Añasco,18.31611111,-67.13972222
Animas,18.44555556,-66.635
Antón Ruiz,18.18527778,-65.80861111
Arecibo,18.47055556,-66.72083333
Arroyo,17.965833,-66.061389
Bairoa,18.25916667,-66.04055556
Bajadero,18.42666667,-66.68333333
Bajandas,18.16278,-65.78167
Barahona,18.35138889,-66.44555556
Barceloneta,18.45633,-66.54128
Barranquitas,18.20357,-66.31211
Bartolo,18.36138889,-65.83861111
Bayamon,18.17777778,-66.11333333
Benitez,18.27361111,-65.87916667
Betances,18.02861111,-67.135
Boqueron,18.2075,-65.84861111
Boquerón Cabo Rojo,18.02691,-67.16907
Brenas,18.46722222,-66.34111111
Buena Vista,17.99638889,-66.05194444
Bufalo,18.41833333,-66.57333333
Caban,18.44333333,-67.13611111
Cabo Rojo,18.08666667,-67.14583333
Cabo Rojo Municipio,18.05635,-67.14685
Cacao,18.44028,-66.93861
Caguas,18.23333333,-66.03333333
Campanilla,18.42138889,-66.23694444
Campo Rico,18.33722222,-65.89805556
Camuy,18.483889,-66.845
Candelaria,18.40416667,-66.20888889
Candelaria Arenas,18.41722222,-66.2175
Candelero Arriba,18.1056,-65.8342
Canóvanas,18.379167,-65.901389
Capitanejo,18.01454,-66.53372
Carolina,18.38888889,-65.96666667
Carrizales,18.48194444,-66.79
Cataño,18.44134,-66.11822
Cayey,18.115,-66.16139
Cayuco,18.29194,-66.73528
Ceiba,18.44638889,-66.35083333
Ceiba Municipio,18.26051,-65.67183
Celada,18.27166667,-65.96611111
Central Aguirre,17.95472,-66.22611
Ciales,18.336111,-66.468889
Ciales Municipio,18.29162,-66.51628
Cidra,18.17583333,-66.16138889
Coamo,18.08,-66.35805556
Coco,18.00722222,-66.25944444
Comerío,18.21801,-66.226
Comerío Municipio,18.22718,-66.22183
Comunas,18.08722222,-65.84388889
Coquí,17.97416667,-66.22722222
Corazón,17.99277778,-66.085
Corcovado,18.45861111,-66.77638889
Corozal,18.34166667,-66.31694444
Corozal Municipio,18.30912,-66.326
Coto Laurel,18.04969,-66.55128
Coto Norte,18.43078,-66.43989
Culebra,18.31666667,-65.29027778
Culebra barrio-pueblo,18.3064695,-65.30258
Daguao,18.22638889,-65.68333333
Dorado,18.458889,-66.267778
Dorado Municipio,18.43967,-66.28295
El Mangó,18.23416667,-65.87972222
El Negro,18.0375,-65.85138889
El Ojo,18.00388889,-66.39166667
Emajagua,18.00055556,-65.88277778
Esperanza,18.09722222,-65.47083333
Espino,18.27638889,-67.11944444
Estancias de Florida,18.36666667,-66.56972222
Fajardo,18.32579,-65.65238
Fajardo Municipio,18.31051,-65.676
Florida,18.364953,-66.566161
Franquez,18.34027778,-66.42777778
Fuig,17.98777778,-66.91611111
G. L. Garcia,18.1275,-66.10416667
Galateo,18.3625,-66.25888889
Garrochales,18.45361111,-66.56638889
Guánica,17.97166667,-66.90805556
Guánica Municipio,17.9883,-66.91212
Guayabal,18.08138889,-66.50138889
Guayama,17.99361111,-66.13083333
Guayama Municipio,18.01663,-66.13072
Guayanilla,18.01916667,-66.79194444
Guaynabo,18.36666667,-66.1
Gurabo,18.2544,-65.97294
Gurabo Municipio,18.27162,-65.97183
H. Rivera Colon,18.34777778,-66.27388889
Hatillo,18.48633,-66.82545
Hatillo Municipio,18.40773,-66.79323
Hato Arriba,18.35583333,-67.03416667
Hato Candal,18.37444444,-65.78722222
Hormigueros,18.13968,-67.1274
Hormigueros Municipio,18.14162,-67.11629
Humacao,18.149722,-65.8275
Imbery,18.43694444,-66.5525
Indios,17.99416667,-66.81944444
Ingenio,18.44222222,-66.22611111
Isabel Segunda,18.14916667,-65.44277778
Isabela,18.51305556,-67.07
Jagual,18.16166667,-65.99555556
Jauca,17.96916667,-66.36583333
Jayuya,18.218611,-66.591667
Jobos,17.95527778,-66.16555556
Juana Díaz,18.05246,-66.50656
Juana Díaz Municipio,18.04802,-66.49267
Juncal,18.31388889,-66.91916667
Juncos,18.2275,-65.921111
La Alianza,18.3975,-66.6025
La Dolores,18.37555556,-65.85583333
La Fermina,18.17417,-65.85139
La Luisa,18.44888889,-66.51
La Parguera,17.97497,-67.04657
La Playa,18.2875,-67.18694444
La Plena,18.04663,-66.20461
Lajas,18.05193889,-67.05971944
Lajas Municipio,18.0133,-67.0399
Lamboglia,17.98136,-65.98572
Lares,18.29467,-66.87712
